Day,Confirmed,Deaths,Recovered,Active
2020/10/16,700203,18370,629260,52573
2020/10/17,702131,18408,630436,53287
2020/10/18,703793,18471,634543,50779
2020/10/19,705254,18492,635257,51505
2020/10/20,706304,18656,639568,48080
2020/10/21,708359,18741,641706,47912
2020/10/22,710515,18843,642560,49112
2020/10/23,712412,18891,643523,49998
2020/10/24,714246,18944,644641,50661
2020/10/25,715868,18968,646170,50730
2020/10/26,716759,19008,646721,51030
2020/10/27,717851,19053,647833,50965
2020/10/28,719714,19111,648654,51949
2020/10/29,721770,19164,649935,52671
2020/10/30,723682,19230,653052,51400
2020/10/31,725452,19276,654182,51994
2020/11/01,726823,19411,655330,52082
2020/11/02,727595,19465,657500,50630
2020/11/03,728836,19539,659259,50038
2020/11/04,730548,19585,660185,50778
2020/11/05,732414,19677,671579,41158
2020/11/06,734175,19749,675593,38833
2020/11/07,735906,19789,678738,37379
2020/11/08,737278,19809,679688,37781
2020/11/09,738525,19845,680726,37954
2020/11/10,740254,19951,683194,37109
2020/11/11,742394,20011,686458,35925
2020/11/12,744732,20076,690903,33753
