Day,Confirmed,Deaths,Recovered,Active
2020-02-24,1,0,0,1
2020-02-25,1,0,0,1
2020-02-26,1,0,0,1
2020-02-27,1,0,0,1
2020-02-28,1,0,0,1
2020-02-29,1,0,0,1
2020-03-01,1,0,0,1
2020-03-02,1,0,0,1
2020-03-03,1,0,0,1
2020-03-04,1,0,0,1
2020-03-05,1,0,0,1
2020-03-06,1,0,0,1
2020-03-07,1,0,0,1
2020-03-08,4,0,0,4
2020-03-09,4,0,0,4
2020-03-10,5,0,0,5
2020-03-11,7,0,0,7
2020-03-12,7,0,0,7
2020-03-13,7,0,0,7
2020-03-14,11,0,0,11
2020-03-15,16,0,0,16
2020-03-16,21,0,1,20
2020-03-17,22,0,1,21
2020-03-18,22,0,1,21
2020-03-19,22,0,1,21
2020-03-20,24,0,1,23
2020-03-21,24,0,1,23
2020-03-22,40,1,1,38
2020-03-23,40,1,1,38
2020-03-24,74,1,1,72
2020-03-25,84,2,2,80
2020-03-26,94,4,2,88
2020-03-27,110,4,2,104
2020-03-28,110,4,2,104
2020-03-29,120,4,2,114
2020-03-30,170,4,2,164
2020-03-31,174,4,5,165
2020-04-01,237,4,5,228
2020-04-02,273,6,10,257
2020-04-03,281,6,10,265
2020-04-04,299,7,10,282
2020-04-05,349,7,15,327
2020-04-06,367,11,18,338
2020-04-07,423,14,18,391
2020-04-08,444,14,29,401
2020-04-09,484,15,32,437
2020-04-10,521,15,32,474
2020-04-11,555,18,32,505
2020-04-12,607,18,32,557
2020-04-13,665,21,32,612
2020-04-14,714,23,40,651
2020-04-15,784,25,43,716
2020-04-16,840,30,54,756
2020-04-17,906,30,99,777
2020-04-18,933,30,112,791
2020-04-19,996,33,131,832
2020-04-20,1026,36,135,855
2020-04-21,1092,36,150,906
2020-04-22,1176,40,166,970
2020-04-23,1279,42,179,1058
2020-04-24,1351,43,188,1120
2020-04-25,1463,47,188,1228
2020-04-26,1531,50,207,1274
2020-04-27,1703,57,220,1426
2020-04-28,1828,58,228,1542
2020-04-29,1939,60,252,1627
2020-04-30,2171,64,260,1847
2020-05-01,2335,68,310,1957
2020-05-02,2469,72,331,2066
2020-05-03,2704,85,345,2274
2020-05-04,2894,90,397,2407
2020-05-05,3224,95,421,2708
2020-05-06,3392,104,458,2830
2020-05-07,3563,106,468,2989
2020-05-08,3778,109,472,3197
2020-05-09,4033,115,502,3416
2020-05-10,4402,120,558,3724
2020-05-11,4687,122,558,4007
2020-05-12,4963,127,610,4226
2020-05-13,5226,132,648,4446
2020-05-14,5639,136,691,4812
2020-05-15,6053,153,745,5155
2020-05-16,6402,168,745,5489
2020-05-17,6664,169,778,5717
2020-05-18,7072,173,801,6098
2020-05-19,7653,178,850,6625
2020-05-20,8145,187,930,7028
2020-05-21,8676,193,938,7545
2020-05-22,9216,205,996,8015
2020-05-23,9998,216,1040,8742
2020-05-24,10582,218,1075,9289
2020-05-25,11173,219,1097,9857
2020-05-26,11831,220,1128,10483
2020-05-27,12456,227,1138,11091
2020-05-28,13036,235,1209,11592
2020-05-29,13659,246,1259,12154
2020-05-30,14525,249,1303,12973
