Day,Confirmed,Deaths,Recovered,Active
2020-03-09,2,0,0,2
2020-03-10,10,0,0,10
2020-03-11,12,1,0,11
2020-03-12,23,1,0,22
2020-03-13,33,1,0,32
2020-03-14,38,1,0,37
2020-03-15,42,1,0,41
2020-03-16,51,1,0,50
2020-03-17,55,1,0,54
2020-03-18,59,2,0,57
2020-03-19,64,2,0,62
2020-03-20,70,2,0,68
2020-03-21,76,2,2,72
2020-03-22,89,2,2,85
2020-03-23,104,4,2,98
2020-03-24,123,5,10,108
2020-03-25,146,5,17,124
2020-03-26,174,6,17,151
2020-03-27,186,8,31,147
2020-03-28,197,10,31,156
2020-03-29,212,10,33,169
2020-03-30,223,11,44,168
2020-03-31,243,15,52,176
2020-04-01,259,15,67,177
2020-04-02,277,16,76,185
2020-04-03,304,17,89,198
2020-04-04,333,20,99,214
2020-04-05,361,20,104,237
2020-04-06,377,21,116,240
2020-04-07,383,22,131,230
2020-04-08,400,22,154,224
2020-04-09,409,23,165,221
2020-04-10,416,23,182,211
2020-04-11,433,23,197,213
2020-04-12,446,23,217,206
2020-04-13,467,23,232,212
2020-04-14,475,24,248,203
2020-04-15,494,25,251,218
2020-04-16,518,26,277,215
2020-04-17,539,26,283,230
2020-04-18,548,26,302,220
2020-04-19,562,26,314,222
2020-04-20,584,26,327,231
2020-04-21,609,26,345,238
2020-04-22,634,27,356,251
2020-04-23,663,27,385,251
2020-04-24,678,27,394,257
2020-04-25,712,27,403,282
2020-04-26,726,28,410,288
2020-04-27,736,28,422,286
2020-04-28,750,30,431,289
2020-04-29,766,30,455,281
2020-04-30,773,31,470,272
2020-05-01,782,31,488,263
2020-05-02,789,31,519,239
2020-05-03,795,31,531,233
2020-05-04,803,31,543,229
2020-05-05,820,31,570,219
2020-05-06,832,31,595,206
2020-05-07,842,31,605,206
2020-05-08,850,31,620,199
2020-05-09,856,31,627,198
2020-05-10,868,31,650,187
2020-05-11,872,31,654,187
2020-05-12,876,31,682,163
2020-05-13,880,31,688,161
2020-05-14,898,31,694,173
2020-05-15,916,31,705,180
2020-05-16,933,31,714,188
2020-05-17,946,31,715,200
2020-05-18,948,31,727,190
2020-05-19,949,31,742,176
2020-05-20,964,31,758,175
2020-05-21,969,31,771,167
2020-05-22,981,31,777,173
2020-05-23,989,31,783,175
2020-05-24,998,32,789,177
2020-05-25,1004,32,795,177
2020-05-26,1029,33,803,193
2020-05-27,1050,33,812,205
2020-05-28,1076,33,823,220
2020-05-29,1099,33,851,215
2020-05-30,1122,33,857,232
2020-05-31,1137,33,872,232
2020-06-01,1143,33,877,233
2020-06-02,1164,33,891,240
2020-06-03,1184,33,898,253
2020-06-04,1197,33,898,266
2020-06-05,1212,33,910,269
2020-06-06,1232,34,925,273
2020-06-07,1246,34,938,274
2020-06-08,1263,34,945,284
2020-06-09,1299,34,960,305
2020-06-10,1341,34,980,327
2020-06-11,1385,35,1001,349
2020-06-12,1416,36,1034,346
2020-06-13,1464,36,1039,389
2020-06-14,1521,36,1044,441
2020-06-15,1590,36,1055,499
2020-06-16,1672,37,1064,571
2020-06-17,1722,38,1077,607
2020-06-18,1788,39,1086,663
2020-06-19,1838,42,1114,682
2020-06-20,1891,43,1126,722
2020-06-21,1962,44,1134,784
2020-06-22,1995,44,1159,792
2020-06-23,2047,45,1195,807
2020-06-24,2114,47,1217,850
2020-06-25,2192,49,1250,893
2020-06-26,2269,51,1298,920
2020-06-27,2330,53,1346,931
2020-06-28,2402,55,1384,963
2020-06-29,2466,58,1438,970
2020-06-30,2535,62,1459,1014
2020-07-01,2580,65,1516,999
2020-07-02,2662,69,1559,1034
2020-07-03,2752,72,1592,1088
2020-07-04,2819,74,1637,1108
2020-07-05,2893,76,1657,1160
2020-07-06,2964,79,1702,1183
2020-07-07,3038,81,1744,1213
2020-07-08,3106,83,1791,1232
2020-07-09,3188,83,1832,1273
2020-07-10,3278,85,1875,1318
2020-07-11,3371,89,1881,1401
2020-07-12,3454,93,1946,1415
2020-07-13,3571,95,2014,1462
2020-07-14,3667,97,2062,1508
2020-07-15,3752,101,2091,1560
2020-07-16,3851,104,2137,1610
2020-07-17,3906,107,2214,1585
2020-07-18,4008,111,2264,1633
2020-07-19,4090,112,2311,1667
2020-07-20,4171,113,2352,1706
2020-07-21,4290,117,2397,1776
2020-07-22,4358,120,2463,1775
2020-07-23,4466,123,2523,1820
2020-07-24,4570,128,2608,1834
2020-07-25,4637,134,2637,1866
2020-07-26,4763,138,2682,1943
2020-07-27,4880,144,2745,1991
2020-07-28,4997,148,2789,2060
2020-07-29,5105,150,2830,2125
2020-07-30,5197,154,2883,2160
2020-07-31,5276,157,2952,2167
2020-08-01,5396,161,2961,2274
2020-08-02,5519,166,3018,2335
2020-08-03,5620,172,3031,2417
2020-08-04,5750,176,3031,2543
2020-08-05,5889,182,3123,2584
2020-08-06,6016,188,3155,2673
2020-08-07,6151,189,3227,2735
2020-08-08,6275,193,3268,2814
2020-08-09,6411,199,3342,2870
2020-08-10,6536,200,3379,2957
2020-08-11,6676,205,3480,2991
2020-08-12,6817,208,3552,3057
2020-08-13,6971,213,3616,3142
2020-08-14,7117,219,3695,3203
2020-08-15,7260,225,3746,3289
2020-08-16,7380,228,3794,3358
2020-08-17,7499,230,3816,3453
2020-08-18,7654,232,3871,3551
2020-08-19,7812,234,3928,3650
2020-08-20,7967,238,3986,3743
2020-08-21,8119,240,4096,3783
2020-08-22,8275,245,4184,3846
2020-08-23,8427,250,4332,3845
2020-08-24,8605,254,4413,3938
2020-08-25,8759,259,4530,3970
2020-08-26,8927,263,4633,4031
2020-08-27,9083,266,4791,4026
2020-08-28,9195,271,4923,4001
2020-08-29,9279,275,5020,3984
2020-08-30,9380,280,5139,3961
2020-08-31,9513,284,5214,4015
2020-09-01,9606,290,5441,3875
2020-09-02,9728,296,5582,3850
2020-09-03,9844,301,5732,3811
2020-09-04,9967,306,5882,3779
2020-09-05,10102,312,5976,3814
2020-09-06,10255,316,6106,3833
2020-09-07,10406,319,6186,3901
2020-09-08,10553,321,6239,3993
2020-09-09,10704,322,6284,4098
2020-09-10,10860,324,6346,4190
2020-09-11,11021,327,6443,4251
2020-09-12,11185,330,6494,4361
2020-09-13,11353,334,6569,4450
2020-09-14,11520,338,6615,4567
2020-09-15,11672,340,6668,4664
2020-09-16,11816,343,6733,4740
2020-09-17,11948,347,6788,4813
2020-09-18,12073,353,6831,4889
2020-09-19,12226,358,6888,4980
2020-09-20,12385,362,6940,5083
2020-09-21,12535,364,6995,5176
2020-09-22,12666,367,7042,5257
2020-09-23,12787,370,7139,5278
2020-09-24,12921,370,7239,5312
2020-09-25,13045,373,7309,5363
2020-09-26,13153,375,7397,5381
2020-09-27,13259,377,7397,5485
2020-09-28,13391,380,7629,5382
2020-09-29,13518,384,7732,5402
2020-09-30,13649,387,7847,5415
2020-10-01,13806,388,8077,5341
2020-10-02,13965,389,8342,5234
2020-10-03,14117,392,8536,5189
2020-10-04,14266,396,8675,5195
2020-10-05,14410,400,8825,5185
2020-10-06,14568,403,8965,5200
2020-10-07,14730,407,9115,5208
2020-10-08,14899,411,9215,5273
2020-10-09,15066,413,9304,5349
2020-10-10,15231,416,9406,5409
2020-10-11,15399,420,9500,5479
2020-10-12,15570,424,9585,5561
2020-10-13,15752,429,9675,5648
2020-10-14,15955,434,9762,5759
2020-10-15,16212,439,9864,5909
2020-10-16,16501,443,9957,6101
2020-10-17,16774,448,10001,6325
2020-10-18,17055,451,10071,6533
2020-10-19,17350,454,10167,6729
2020-10-20,17651,458,10225,6968
2020-10-21,17948,462,10341,7145
2020-10-22,18250,465,10395,7390
2020-10-23,18556,469,10466,7621
2020-10-24,18858,473,10548,7837
2020-10-25,19157,477,10654,8026
