Day,Confirmed,Deaths,Recovered,Active
2020-03-03,1,0,0,1
2020-03-04,1,0,0,1
2020-03-05,1,0,0,1
2020-03-06,2,0,0,2
2020-03-07,8,0,0,8
2020-03-08,12,1,0,11
2020-03-09,12,1,0,11
2020-03-10,17,1,0,16
2020-03-11,19,1,0,18
2020-03-12,19,1,0,18
2020-03-13,31,2,0,29
2020-03-14,34,2,1,31
2020-03-15,45,2,1,42
2020-03-16,56,2,1,53
2020-03-17,68,2,3,63
2020-03-18,79,2,3,74
2020-03-19,97,3,3,91
2020-03-20,128,3,3,122
2020-03-21,158,4,3,151
2020-03-22,266,4,27,235
2020-03-23,266,4,27,235
2020-03-24,387,6,52,329
2020-03-25,387,8,52,327
2020-03-26,502,9,63,430
2020-03-27,589,13,72,504
2020-03-28,690,18,72,600
2020-03-29,745,19,72,654
2020-03-30,820,23,228,569
2020-03-31,1054,27,240,787
2020-04-01,1054,28,248,778
2020-04-02,1133,36,256,841
2020-04-03,1265,39,266,960
2020-04-04,1451,43,279,1129
2020-04-05,1451,44,280,1127
2020-04-06,1554,48,325,1181
2020-04-07,1628,56,338,1234
2020-04-08,1715,63,358,1294
2020-04-09,1795,72,365,1358
2020-04-10,1975,82,375,1518
2020-04-11,1975,83,440,1452
2020-04-12,2142,90,468,1584
2020-04-13,2208,97,515,1596
2020-04-14,2277,102,559,1616
2020-04-15,2443,111,596,1736
2020-04-16,2571,115,631,1825
2020-04-17,2669,123,666,1880
2020-04-18,2758,129,685,1944
2020-04-19,2839,132,709,1998
2020-04-20,2941,136,737,2068
2020-04-21,3031,147,840,2044
2020-04-22,3144,152,872,2120
2020-04-23,3435,165,919,2351
2020-04-24,3607,176,976,2455
2020-04-25,3780,185,1030,2565
2020-04-26,3892,192,1107,2593
2020-04-27,4003,197,1140,2666
2020-04-28,4127,207,1162,2758
2020-04-29,4285,214,1192,2879
2020-04-30,4428,218,1256,2954
2020-05-01,4532,225,1292,3015
2020-05-02,4681,237,1320,3124
2020-05-03,4783,246,1354,3183
2020-05-04,4887,260,1442,3185
2020-05-05,5020,264,1472,3284
2020-05-06,5208,273,1524,3411
2020-05-07,5371,282,1601,3488
2020-05-08,5611,293,1659,3659
2020-05-09,5776,300,1728,3748
2020-05-10,6034,305,1757,3972
2020-05-11,6278,314,1837,4127
2020-05-12,6563,319,1862,4382
2020-05-13,6879,329,2266,4284
2020-05-14,7134,353,2385,4396
2020-05-15,7479,356,2497,4626
2020-05-16,7805,363,2534,4908
2020-05-17,8068,373,2569,5126
2020-05-18,8371,382,2625,5364
2020-05-19,8809,393,2872,5544
2020-05-20,9283,403,2933,5947
2020-05-21,9931,416,3032,6483
2020-05-22,10649,433,3062,7154
2020-05-23,11353,445,3530,7378
2020-05-24,12076,452,3732,7892
2020-05-25,12628,467,3999,8162
2020-05-26,13228,484,4167,8577
2020-05-27,13933,500,4349,9084
2020-05-28,14702,508,4617,9577
2020-05-29,15419,520,4788,10111
2020-05-30,16214,528,4788,10898
2020-05-31,16851,539,5336,10976
2020-06-01,17415,556,5521,11338
2020-06-02,18319,569,5709,12041
2020-06-03,19268,583,5896,12789
2020-06-04,20197,608,5993,13596
2020-06-05,21037,632,6088,14317
2020-06-06,22020,648,6180,15192
2020-06-07,22794,664,6909,15221
2020-06-08,23620,693,7305,15622
2020-06-09,24761,717,7568,16476
2020-06-10,25987,735,7991,17261
2020-06-11,27373,765,8332,18276
2020-06-12,28764,785,8743,19236
2020-06-13,30295,815,9083,20397
2020-06-14,31577,833,9564,21180
2020-06-15,32785,854,9891,22040
2020-06-16,34159,878,10174,23107
2020-06-17,35552,913,10512,24127
2020-06-18,37510,948,10721,25841
2020-06-19,39570,979,11851,26740
2020-06-20,41204,992,12206,28006
2020-06-21,42785,1011,12728,29046
2020-06-22,44931,1043,13153,30735
2020-06-23,47203,1078,13576,32549
2020-06-24,49851,1116,13816,34919
2020-06-25,52457,1150,14788,36519
2020-06-26,55343,1184,18416,35743
2020-06-27,57744,1207,19143,37394
2020-06-28,59933,1232,20134,38567
2020-06-29,62268,1280,21138,39850
2020-06-30,64530,1307,22028,41195
2020-07-01,67197,1351,23040,42806
2020-07-02,69941,1385,24186,44370
2020-07-03,72786,1437,25224,46125
2020-07-04,75376,1481,25930,47965
2020-07-05,77815,1507,27597,48711
2020-07-06,80447,1582,28531,50334
2020-07-07,83426,1644,30095,51687
2020-07-08,87030,1694,36502,48834
2020-07-09,90693,1720,38313,50660
2020-07-10,94060,1774,38984,53302
2020-07-11,97509,1810,41408,54291
2020-07-12,100166,1845,42694,55627
2020-07-13,103265,1903,44173,57189
2020-07-14,106910,1968,45467,59475
2020-07-15,111146,2050,47298,61798
2020-07-16,114783,2112,49120,63551
2020-07-17,119301,2178,49780,67343
2020-07-18,122524,2220,52607,67697
2020-07-19,126755,2260,54105,70390
2020-07-20,130774,2373,55913,72488
2020-07-21,136118,2490,58598,75030
2020-07-22,141900,2588,60531,78781
2020-07-23,148027,2702,62815,82510
2020-07-24,153520,2807,65447,85266
2020-07-25,158334,2893,68022,87419
2020-07-26,162526,2939,70518,89069
2020-07-27,167416,3059,72575,91782
2020-07-28,173355,3179,75083,95093
2020-07-29,178996,3288,77855,97853
2020-07-30,185373,3441,80596,101336
2020-07-31,191302,3543,83780,103979
2020-08-01,196543,3596,86499,106448
2020-08-02,201919,3648,89026,109245
2020-08-03,206743,3813,91302,111628
2020-08-04,213535,3979,94129,115427
2020-08-05,220682,4106,96948,119628
2020-08-06,228195,4251,99852,124092
2020-08-07,235677,4411,103297,127969
2020-08-08,241811,4523,108242,129046
2020-08-09,246499,4606,108242,133651
2020-08-10,253868,4764,108242,140862
2020-08-11,260911,5004,181389,74518
2020-08-12,268574,5213,187283,76078
2020-08-13,276072,5362,192434,78276
2020-08-14,282437,5527,199005,77905
2020-08-15,289100,5637,205697,77766
2020-08-16,294569,5703,211702,77164
2020-08-17,299126,5814,217850,75462
2020-08-18,305966,6048,223531,76387
2020-08-19,312659,6330,228725,77604
2020-08-20,320884,6517,233651,80716
2020-08-21,329043,6730,239806,82507
2020-08-22,336802,6848,245781,84173
2020-08-23,342154,6985,251400,83769
2020-08-24,350867,7366,256789,86712
2020-08-25,359638,7563,263202,88873
2020-08-26,370188,7839,268801,93548
2020-08-27,380292,8050,274458,97784
2020-08-28,392009,8271,280165,103573
2020-08-29,401239,8353,287220,105666
2020-08-30,408426,8457,294007,105962
2020-08-31,417735,8660,301195,107880
2020-09-01,428239,8919,308376,110944
2020-09-02,439172,9118,315530,114524
2020-09-03,451198,9361,322461,119376
2020-09-04,461882,9623,331621,120638
2020-09-05,471806,9739,340381,121686
2020-09-06,478792,9859,349132,119801
2020-09-07,488007,10129,357388,120490
2020-09-08,500034,10405,366590,123039
2020-09-09,512293,10658,382490,119145
2020-09-10,524198,10907,390098,123193
2020-09-11,535705,11148,400121,124436
2020-09-12,546481,11263,409771,125447
2020-09-13,555537,11352,419513,124672
2020-09-14,565446,11667,428953,124826
2020-09-15,577338,11852,438883,126603
2020-09-16,589012,12116,448263,128633
2020-09-17,601713,12460,456347,132906
2020-09-18,613658,12656,467286,133716
2020-09-19,622934,12799,478077,132058
2020-09-20,631365,13053,488231,130081
2020-09-21,640147,13482,508563,118102
2020-09-22,652174,13952,517228,120994
2020-09-23,664799,14376,525486,124937
2020-09-24,678266,14766,536589,126911
2020-09-25,691235,15208,546924,129103
2020-09-26,702484,15543,556489,130452
2020-09-27,711325,15749,565935,129641
2020-09-28,723132,16113,576715,130304
2020-09-29,736609,16519,585857,134233
2020-09-30,751001,16937,594645,139419
2020-10-01,765002,20288,603140,141574
2020-10-02,779689,20599,614515,144575
2020-10-03,790818,20795,626114,143909
2020-10-04,798486,21018,636672,140796
2020-10-05,809728,21468,649017,139243
2020-10-06,824468,21827,660272,142369
2020-10-07,840915,22226,670725,147964
2020-10-08,856369,22710,684844,148815
2020-10-09,871468,23225,697141,151102
2020-10-10,883882,23581,709464,150837
2020-10-11,894206,23868,721380,148958
2020-10-12,903730,24186,732582,146962
2020-10-13,917035,24572,742235,150228
2020-10-14,931967,24921,751146,155900
2020-10-15,949063,25342,764859,158862
2020-10-16,965609,25723,778501,161385
2020-10-17,979119,26107,791174,161838
2020-10-18,989680,26267,803965,159448
2020-10-19,1002662,26716,803965,171981
2020-10-20,1018999,27100,829647,162252
2020-10-21,1037325,27519,840520,169286
2020-10-22,1053650,27957,851854,173839
2020-10-23,1069368,28338,866695,174335
2020-10-24,1081336,28613,881113,171610
2020-10-25,1090589,28896,894819,166874
