Day,Confirmed,Deaths,Recovered,Active
2020-01-27,1,0,0,1
2020-01-28,1,0,0,1
2020-01-29,1,0,0,1
2020-01-30,2,0,0,2
2020-01-31,3,0,0,3
2020-02-01,4,0,0,4
2020-02-02,4,0,0,4
2020-02-03,4,0,0,4
2020-02-04,4,0,0,4
2020-02-05,4,0,0,4
2020-02-06,4,0,0,4
2020-02-07,4,0,0,4
2020-02-08,4,0,0,4
2020-02-09,4,0,0,4
2020-02-10,4,0,0,4
2020-02-11,4,0,0,4
2020-02-12,4,0,0,4
2020-02-13,4,0,4,0
2020-02-14,4,0,4,0
2020-02-15,4,0,4,0
2020-02-16,4,0,4,0
2020-02-17,4,0,4,0
2020-02-18,4,0,4,0
2020-02-19,4,0,4,0
2020-02-20,4,0,4,0
2020-02-21,4,0,4,0
2020-02-22,4,0,4,0
2020-02-23,4,0,4,0
2020-02-24,4,0,4,0
2020-02-25,4,0,4,0
2020-02-26,4,0,4,0
2020-02-27,4,0,4,0
2020-02-28,4,0,4,0
2020-02-29,7,0,4,3
2020-03-01,7,0,4,3
2020-03-02,9,0,4,5
2020-03-03,9,0,4,5
2020-03-04,10,0,4,6
2020-03-05,10,0,7,3
2020-03-06,10,0,7,3
2020-03-07,11,0,7,4
2020-03-08,11,0,7,4
2020-03-09,15,0,7,8
2020-03-10,18,0,7,11
2020-03-11,21,0,7,14
2020-03-12,21,0,7,14
2020-03-13,36,0,8,28
2020-03-14,49,0,8,41
2020-03-15,57,0,8,49
2020-03-16,71,0,8,63
2020-03-17,94,0,8,86
2020-03-18,121,0,8,113
2020-03-19,121,0,8,113
2020-03-20,121,0,8,113
2020-03-21,229,0,8,221
