Day,Confirmed,Deaths,Recovered,Active
2020-02-04,1,0,0,1
2020-02-05,1,0,0,1
2020-02-06,1,0,0,1
2020-02-07,1,0,0,1
2020-02-08,1,0,0,1
2020-02-09,1,0,0,1
2020-02-10,1,0,0,1
2020-02-11,1,0,0,1
2020-02-12,1,0,0,1
2020-02-13,1,0,0,1
2020-02-14,1,0,0,1
2020-02-15,1,0,0,1
2020-02-16,1,0,0,1
2020-02-17,1,0,1,0
2020-02-18,1,0,1,0
2020-02-19,1,0,1,0
2020-02-20,1,0,1,0
2020-02-21,1,0,1,0
2020-02-22,1,0,1,0
2020-02-23,1,0,1,0
2020-02-24,1,0,1,0
2020-02-25,1,0,1,0
2020-02-26,1,0,1,0
2020-02-27,1,0,1,0
2020-02-28,1,0,1,0
2020-02-29,1,0,1,0
2020-03-01,2,0,1,1
2020-03-02,8,0,1,7
2020-03-03,13,0,1,12
2020-03-04,23,0,1,22
2020-03-05,50,0,1,49
2020-03-06,109,0,1,108
2020-03-07,169,0,1,168
2020-03-08,200,0,1,199
2020-03-09,239,0,1,238
2020-03-10,267,0,1,266
2020-03-11,314,3,1,310
2020-03-12,314,3,1,310
2020-03-13,559,3,1,555
2020-03-14,689,4,1,684
2020-03-15,886,4,1,881
2020-03-16,1058,5,1,1052
2020-03-17,1243,10,1,1232
2020-03-18,1486,14,31,1441
2020-03-19,1795,21,31,1743
2020-03-20,2257,37,1,2219
2020-03-21,2815,67,263,2485
2020-03-22,3401,75,263,3063
2020-03-23,3743,88,401,3254
2020-03-24,4269,122,461,3686
2020-03-25,4937,178,547,4212
2020-03-26,6235,220,675,5340
2020-03-27,7284,289,858,6137
2020-03-28,9134,353,1063,7718
2020-03-29,10836,431,1359,9046
2020-03-30,11899,513,1527,9859
2020-03-31,12775,705,1696,10374
2020-04-01,13964,828,2132,11004
2020-04-02,15348,1011,2495,11842
2020-04-03,16770,1143,2872,12755
2020-04-04,18431,1283,3247,13901
2020-04-05,19691,1447,3751,14493
2020-04-06,20814,1632,3986,15196
2020-04-07,22194,2035,4157,16002
2020-04-08,23403,2240,4681,16482
2020-04-09,24983,2523,5164,17296
2020-04-10,26667,3019,5568,18080
2020-04-11,28018,3346,5986,18686
2020-04-12,29647,3600,6463,19584
2020-04-13,30589,3903,6707,19979
2020-04-14,31119,4157,6868,20094
2020-04-15,33573,4440,7107,22026
2020-04-16,34809,4857,7562,22390
2020-04-17,36138,5163,7961,23014
2020-04-18,37183,5453,8348,23382
2020-04-19,38496,5683,8757,24056
2020-04-20,39983,5828,8895,25260
2020-04-21,40956,5998,9002,25956
2020-04-22,41889,6262,9433,26194
2020-04-23,42797,6490,9800,26507
2020-04-24,44293,6679,10122,27492
2020-04-25,45325,6917,10417,27991
2020-04-26,46134,7094,10785,28255
