Day,Confirmed,Deaths,Recovered,Active
2020-03-05,2,0,0,2
2020-03-06,2,0,0,2
2020-03-07,3,0,0,3
2020-03-08,3,0,0,3
2020-03-09,3,0,0,3
2020-03-10,5,0,0,5
2020-03-11,7,0,0,7
2020-03-12,11,0,0,11
2020-03-13,13,0,0,13
2020-03-14,18,0,0,18
2020-03-15,24,0,0,24
2020-03-16,25,0,0,25
2020-03-17,26,0,2,24
2020-03-18,38,0,2,36
2020-03-19,63,0,2,61
2020-03-20,89,0,2,87
2020-03-21,93,1,2,90
2020-03-22,126,1,2,123
2020-03-23,132,1,2,129
2020-03-24,166,3,2,161
2020-03-25,176,3,2,171
2020-03-26,191,3,2,186
2020-03-27,237,4,5,228
2020-03-28,258,5,5,248
2020-03-29,323,6,8,309
2020-03-30,368,10,17,341
2020-03-31,420,13,17,390
2020-04-01,459,13,19,427
2020-04-02,533,16,20,497
2020-04-03,579,17,27,535
2020-04-04,624,21,30,573
2020-04-05,654,23,30,601
2020-04-06,674,29,47,598
2020-04-07,764,33,68,663
2020-04-08,804,34,79,691
2020-04-09,858,35,101,722
2020-04-10,901,36,129,736
2020-04-11,946,37,139,770
2020-04-12,1009,39,193,777
2020-04-13,1037,39,206,792
2020-04-14,1083,40,236,807
2020-04-15,1110,41,253,816
2020-04-16,1167,43,277,847
2020-04-17,1214,46,320,848
2020-04-18,1268,47,338,883
2020-04-19,1285,48,347,890
2020-04-20,1309,49,381,879
2020-04-21,1342,51,437,854
2020-04-22,1368,53,460,855
2020-04-23,1413,54,485,874
2020-04-24,1421,55,538,828
2020-04-25,1486,57,592,837
2020-04-26,1516,59,624,833
2020-04-27,1565,60,659,846
2020-04-28,1585,63,682,840
2020-04-29,1677,65,710,902
2020-04-30,1757,69,727,961
2020-05-01,1781,70,755,956
2020-05-02,1839,72,779,988
2020-05-03,1857,77,825,955
2020-05-04,1926,78,855,993
2020-05-05,1946,79,911,956
2020-05-06,1987,86,928,973
2020-05-07,2027,90,954,983
2020-05-08,2070,98,960,1012
2020-05-09,2090,102,1059,929
2020-05-10,2117,107,1106,904
2020-05-11,2141,113,1114,914
2020-05-12,2158,117,1168,873
2020-05-13,2181,120,1228,833
2020-05-14,2218,122,1272,824
2020-05-15,2236,128,1336,772
2020-05-16,2267,129,1355,783
2020-05-17,2290,133,1436,721
2020-05-18,2304,133,1464,707
2020-05-19,2321,134,1522,665
2020-05-20,2338,136,1557,645
2020-05-21,2350,140,1596,614
2020-05-22,2372,141,1614,617
2020-05-23,2391,141,1662,588
2020-05-24,2401,144,1680,577
2020-05-25,2406,146,1696,564
2020-05-26,2416,149,1721,546
2020-05-27,2435,151,1744,540
2020-05-28,2462,153,1781,528
2020-05-29,2485,153,1803,529
2020-05-30,2494,153,1831,510
2020-05-31,2510,153,1862,495
2020-06-01,2524,154,1888,482
2020-06-02,2535,157,1910,468
2020-06-03,2551,157,1939,455
2020-06-04,2594,159,1951,484
2020-06-05,2606,159,1968,479
2020-06-06,2606,159,1968,479
2020-06-07,2606,159,1968,479
2020-06-08,2704,160,2023,521
2020-06-09,2728,160,2049,519
2020-06-10,2775,161,2063,551
2020-06-11,2832,161,2100,571
2020-06-12,2893,163,2119,611
2020-06-13,2893,163,2119,611
2020-06-14,2893,163,2119,611
2020-06-15,3040,165,2162,713
2020-06-16,3085,168,2178,739
2020-06-17,3141,168,2197,776
2020-06-18,3174,168,2219,787
2020-06-19,3273,169,2241,863
2020-06-20,3273,169,2241,863
2020-06-21,3273,169,2241,863
2020-06-22,3525,171,2270,1084
2020-06-23,3588,172,2285,1131
2020-06-24,3676,173,2297,1206
2020-06-25,3796,175,2322,1299
2020-06-26,3935,178,2338,1419
2020-06-27,3935,178,2338,1419
2020-06-28,3935,178,2338,1419
2020-06-29,4325,184,2366,1775
2020-06-30,4453,186,2402,1865
2020-07-01,4606,188,2432,1986
2020-07-02,4788,189,2515,2084
2020-07-03,4962,191,2550,2221
2020-07-04,4962,191,2550,2221
2020-07-05,4962,191,2550,2221
2020-07-06,5458,199,2598,2661
2020-07-07,5621,207,2693,2721
2020-07-08,5869,209,2769,2891
2020-07-09,6086,214,2815,3057
2020-07-10,6402,216,3037,3149
2020-07-11,6719,219,3078,3422
2020-07-12,6877,221,3115,3541
2020-07-13,6981,226,3179,3576
2020-07-14,6981,226,3179,3576
2020-07-15,7411,235,3335,3841
2020-07-16,7681,240,3534,3907
2020-07-17,7908,245,3612,4051
2020-07-18,8161,246,3648,4267
2020-07-19,8340,249,3669,4422
2020-07-20,8479,255,3755,4469
2020-07-21,8787,264,4003,4520
2020-07-22,9115,268,4159,4688
2020-07-23,9462,274,4367,4821
2020-07-24,9767,280,4555,4932
2020-07-25,9767,280,4555,4932
2020-07-26,9767,280,4555,4932
2020-07-27,10498,294,4930,5274
2020-07-28,10766,297,5220,5249
2020-07-29,11127,316,5441,5370
2020-07-30,11444,328,5586,5530
2020-07-31,11876,339,5959,5578
2020-08-01,11876,339,5959,5578
2020-08-02,12296,352,6312,5632
2020-08-03,12462,362,6359,5741
2020-08-04,12856,373,6592,5891
2020-08-05,13138,379,6839,5920
2020-08-06,13396,384,7042,5970
2020-08-07,13687,394,7373,5920
2020-08-08,13687,394,7373,5920
2020-08-09,13687,394,7373,5920
2020-08-10,14498,425,8159,5914
2020-08-11,14708,447,8411,5850
2020-08-12,14961,453,8827,5681
2020-08-13,15184,458,9156,5570
2020-08-14,15535,469,9344,5722
2020-08-15,15801,471,9619,5711
2020-08-16,15801,471,9619,5711
2020-08-17,16111,486,9856,5769
2020-08-18,16351,495,10279,5577
2020-08-19,16691,507,10711,5473
2020-08-20,17029,515,10881,5633
2020-08-21,17396,526,11157,5713
2020-08-22,17715,532,11329,5854
2020-08-23,17715,532,11329,5854
2020-08-24,18029,547,11861,5621
2020-08-25,18326,560,12081,5685
2020-08-26,18609,571,12336,5702
2020-08-27,18920,582,12480,5858
2020-08-28,19214,591,12733,5890
2020-08-29,19550,594,12858,6098
2020-08-30,19793,598,12961,6234
2020-08-31,19964,609,13095,6260
2020-09-01,20234,620,13435,6179
2020-09-02,20517,627,13626,6264
2020-09-03,20804,636,14120,6048
2020-09-04,21142,639,14476,6027
2020-09-05,21439,651,14636,6152
2020-09-06,21560,655,14709,6196
2020-09-07,21660,664,14830,6166
2020-09-08,21961,669,15172,6120
2020-09-09,22258,675,15208,6375
2020-09-10,22544,680,15273,6591
2020-09-11,22834,686,15672,6476
2020-09-12,23138,690,15922,6526
2020-09-13,23465,696,16038,6731
2020-09-14,23635,705,16166,6764
2020-09-15,23929,725,16701,6503
2020-09-16,24211,736,16990,6485
2020-09-17,24605,747,17219,6639
2020-09-18,24897,752,17365,6780
2020-09-19,25217,758,17489,6970
2020-09-20,25428,763,17878,6787
2020-09-21,25521,770,18109,6642
2020-09-22,25737,778,18359,6600
2020-09-23,26081,790,18634,6657
2020-09-24,26316,802,19142,6372
2020-09-25,26564,808,19507,6249
2020-09-26,26797,820,19746,6231
2020-09-27,26920,822,19746,6352
2020-09-28,27001,829,20005,6167
2020-09-29,27226,843,20322,6061
2020-09-30,27469,856,20616,5997
2020-10-01,27749,861,20947,5941
2020-10-02,27975,871,21108,5996
2020-10-03,27975,871,21108,5996
2020-10-04,28354,879,21859,5616
2020-10-05,28449,888,22032,5529
2020-10-06,28710,903,22274,5533
2020-10-07,29075,908,22614,5553
2020-10-08,29528,913,22939,5676
2020-10-09,29917,926,23241,5750
2020-10-10,30345,927,23370,6048
2020-10-11,30647,928,23461,6258
2020-10-12,30837,936,23587,6314
2020-10-13,31173,947,23777,6449
2020-10-14,31655,958,24074,6623
2020-10-15,32224,972,24356,6896
2020-10-16,32845,980,24603,7262
2020-10-17,33561,981,24773,7807
2020-10-18,34112,984,24995,8133
2020-10-19,34661,997,25442,8222
