Day,Confirmed,Deaths,Recovered,Active
2020-03-08,4,0,0,4
2020-03-09,4,0,0,4
2020-03-10,4,0,0,4
2020-03-11,7,1,0,6
2020-03-12,7,1,0,6
2020-03-13,23,1,0,22
2020-03-14,41,2,0,39
2020-03-15,51,2,0,49
2020-03-16,52,2,0,50
2020-03-17,67,2,0,65
2020-03-18,92,2,0,90
2020-03-19,94,3,0,91
2020-03-20,127,3,0,124
2020-03-21,163,3,3,157
2020-03-22,187,3,3,181
2020-03-23,201,3,3,195
2020-03-24,218,3,3,212
2020-03-25,242,3,4,235
2020-03-26,264,3,8,253
2020-03-27,293,3,9,281
2020-03-28,331,7,11,313
2020-03-29,346,8,14,324
2020-03-30,359,8,17,334
2020-03-31,399,8,17,374
2020-04-01,422,10,20,392
2020-04-02,457,10,25,422
2020-04-03,485,14,30,441
2020-04-04,503,17,34,452
2020-04-05,531,20,37,474
2020-04-06,549,22,39,488
2020-04-07,577,23,42,512
2020-04-08,593,24,42,527
2020-04-09,618,24,48,546
2020-04-10,635,25,54,556
2020-04-11,661,28,62,571
2020-04-12,675,29,68,578
2020-04-13,685,32,71,582
2020-04-14,713,35,81,597
2020-04-15,747,36,105,606
2020-04-16,800,38,122,640
2020-04-17,846,41,141,664
2020-04-18,878,41,153,684
2020-04-19,894,42,161,691
2020-04-20,929,43,167,719
2020-04-21,975,45,170,760
2020-04-22,1024,49,174,801
2020-04-23,1097,52,190,855
2020-04-24,1234,54,197,983
2020-04-25,1247,55,197,995
2020-04-26,1300,56,205,1039
2020-04-27,1363,58,206,1099
2020-04-28,1399,58,222,1119
2020-04-29,1447,64,243,1140
2020-04-30,1506,66,266,1174
2020-05-01,1555,68,276,1211
2020-05-02,1594,72,287,1235
2020-05-03,1618,73,308,1237
2020-05-04,1652,78,321,1253
2020-05-05,1704,80,342,1282
2020-05-06,1778,84,360,1334
2020-05-07,1829,84,384,1361
2020-05-08,1872,86,401,1385
2020-05-09,1921,90,422,1409
2020-05-10,1965,91,444,1430
2020-05-11,1990,93,461,1436
2020-05-12,2023,95,476,1452
2020-05-13,2069,96,499,1474
2020-05-14,2100,99,531,1470
2020-05-15,2138,102,545,1491
2020-05-16,2175,105,573,1497
2020-05-17,2211,108,598,1505
2020-05-18,2235,110,612,1513
2020-05-19,2259,112,646,1501
2020-05-20,2292,116,684,1492
2020-05-21,2331,120,727,1484
2020-05-22,2372,125,769,1478
2020-05-23,2408,126,808,1474
2020-05-24,2427,130,840,1457
2020-05-25,2433,130,862,1441
2020-05-26,2443,130,880,1433
2020-05-27,2460,133,912,1415
2020-05-28,2477,134,965,1378
2020-05-29,2485,136,1016,1333
2020-05-30,2499,139,1064,1296
2020-05-31,2513,140,1074,1299
2020-06-01,2519,140,1090,1289
2020-06-02,2538,144,1123,1271
2020-06-03,2560,146,1206,1208
2020-06-04,2585,147,1322,1116
2020-06-05,2627,159,1390,1078
2020-06-06,2711,160,1545,1006
2020-06-07,2727,160,1548,1019
2020-06-08,2810,164,1587,1059
2020-06-09,2889,167,1623,1099
2020-06-10,2993,167,1664,1162
2020-06-11,3086,168,1688,1230
2020-06-12,3191,172,1716,1303
2020-06-13,3266,172,1723,1371
2020-06-14,3290,174,1730,1386
2020-06-15,3341,176,1784,1381
2020-06-16,3453,181,1817,1455
2020-06-17,3542,184,1880,1478
2020-06-18,3674,190,1941,1543
2020-06-19,3755,193,2008,1554
2020-06-20,3872,199,2027,1646
2020-06-21,3905,199,2074,1632
2020-06-22,3984,207,2171,1606
2020-06-23,4114,208,2217,1689
2020-06-24,4242,209,2263,1770
2020-06-25,4408,211,2370,1827
2020-06-26,4513,215,2457,1841
2020-06-27,4625,216,2475,1934
2020-06-28,4691,219,2508,1964
2020-06-29,4831,223,2582,2026
2020-06-30,4989,230,2676,2083
2020-07-01,5154,232,2722,2200
2020-07-02,5315,232,2802,2281
2020-07-03,5497,239,2892,2366
2020-07-04,5677,241,2898,2538
2020-07-05,5740,246,2915,2579
2020-07-06,5914,250,3000,2664
2020-07-07,6102,254,3037,2811
2020-07-08,6342,259,3166,2917
2020-07-09,6672,262,3229,3181
2020-07-10,6964,267,3308,3389
2020-07-11,7175,267,3311,3597
2020-07-12,7252,268,3319,3665
2020-07-13,7411,276,3517,3618
2020-07-14,7645,283,3663,3699
2020-07-15,7877,289,3841,3747
2020-07-16,8144,293,3927,3924
2020-07-17,8442,297,4033,4112
2020-07-18,8638,299,4081,4258
2020-07-19,8733,300,4106,4327
2020-07-20,8929,308,4205,4416
2020-07-21,9254,313,4521,4420
2020-07-22,9584,321,4643,4620
2020-07-23,9853,329,5031,4493
2020-07-24,10123,337,5252,4534
2020-07-25,10312,338,5306,4668
2020-07-26,10427,340,5355,4732
2020-07-27,10621,347,5585,4689
2020-07-28,10871,355,5766,4750
2020-07-29,11155,368,5971,4816
2020-07-30,11420,374,6173,4873
2020-07-31,11690,383,6319,4988
2020-08-01,11836,385,6396,5055
2020-08-02,11955,388,6420,5147
2020-08-03,12159,404,6684,5071
2020-08-04,12414,415,6964,5035
2020-08-05,12717,424,7154,5139
2020-08-06,13014,435,7374,5205
2020-08-07,13209,442,7622,5145
2020-08-08,13343,445,7718,5180
2020-08-09,13396,447,7772,5177
2020-08-10,13512,459,7980,5073
2020-08-11,13722,471,8154,5097
2020-08-12,13893,482,8479,4932
2020-08-13,13893,482,8479,4932
2020-08-14,14243,492,9114,4637
2020-08-15,14333,495,9161,4677
2020-08-16,14365,498,9186,4681
2020-08-17,14500,512,9442,4546
2020-08-18,14669,519,9699,4451
2020-08-19,14820,527,9931,4362
2020-08-20,14962,532,10087,4343
2020-08-21,15131,539,10282,4310
