Day,Confirmed,Deaths,Recovered,Active
2020-03-10,1,0,0,1
2020-03-11,2,0,0,2
2020-03-12,2,0,0,2
2020-03-13,2,0,0,2
2020-03-14,2,0,0,2
2020-03-15,3,0,0,3
2020-03-16,15,0,0,15
2020-03-17,15,0,0,15
2020-03-18,20,1,0,19
2020-03-19,33,1,0,32
2020-03-20,40,1,0,39
2020-03-21,64,2,5,57
2020-03-22,75,4,5,66
2020-03-23,99,4,5,90
2020-03-24,114,4,7,103
2020-03-25,146,4,10,132
2020-03-26,152,7,10,135
2020-03-27,180,9,12,159
2020-03-28,207,11,21,175
2020-03-29,222,12,23,187
2020-03-30,246,12,31,203
2020-03-31,261,14,32,215
2020-04-01,282,16,46,220
2020-04-02,288,16,50,222
2020-04-03,302,16,50,236
2020-04-04,318,16,66,236
2020-04-05,345,17,90,238
2020-04-06,364,18,108,238
2020-04-07,384,19,127,238
2020-04-08,414,23,134,257
2020-04-09,443,24,146,273
2020-04-10,443,24,146,273
2020-04-11,484,27,155,302
2020-04-12,497,27,161,309
2020-04-13,497,27,161,309
2020-04-14,528,30,177,321
2020-04-15,542,32,226,284
2020-04-16,546,32,257,257
2020-04-17,557,35,294,228
2020-04-18,565,36,321,208
2020-04-19,576,36,338,202
2020-04-20,581,38,357,186
2020-04-21,600,38,362,200
2020-04-22,609,39,389,181
2020-04-23,616,41,410,165
2020-04-24,629,41,425,163
2020-04-25,629,41,442,146
2020-04-26,632,42,453,137
2020-04-27,635,42,469,124
2020-04-28,638,42,476,120
2020-04-29,641,43,498,100
2020-04-30,645,43,506,96
2020-05-01,649,44,517,88
2020-05-02,652,44,535,73
2020-05-03,662,45,540,77
2020-05-04,672,46,545,81
2020-05-05,688,48,548,92
2020-05-06,729,48,555,126
2020-05-07,736,48,562,126
2020-05-08,744,48,566,130
2020-05-09,748,48,569,131
2020-05-10,751,49,577,125
2020-05-11,760,50,584,126
2020-05-12,766,51,588,127
2020-05-13,773,51,592,130
2020-05-14,773,51,592,130
2020-05-15,780,51,595,134
2020-05-16,782,51,604,127
2020-05-17,796,51,644,101
2020-05-18,796,51,652,93
2020-05-19,796,51,652,93
2020-05-20,809,52,661,96
2020-05-21,812,52,669,91
2020-05-22,814,52,672,90
2020-05-23,814,52,672,90
2020-05-24,814,52,672,90
2020-05-25,832,52,672,108
2020-05-26,832,52,672,108
2020-05-27,845,53,672,120
2020-05-28,847,53,719,75
2020-05-29,847,53,720,74
2020-05-30,847,53,720,74
2020-05-31,847,53,720,74
2020-06-01,847,53,720,74
2020-06-02,881,53,720,108
2020-06-03,884,53,753,78
2020-06-04,885,53,760,72
2020-06-05,888,53,760,75
2020-06-06,888,53,765,70
2020-06-07,889,53,765,71
2020-06-08,890,53,765,72
2020-06-09,891,53,765,73
2020-06-10,891,53,765,73
2020-06-11,892,53,790,49
2020-06-12,892,53,791,48
2020-06-13,892,53,799,40
2020-06-14,894,53,799,42
2020-06-15,894,53,804,37
2020-06-16,895,53,807,35
2020-06-17,899,53,809,37
2020-06-18,899,53,810,36
2020-06-19,900,53,810,37
2020-06-20,901,53,810,38
2020-06-21,903,53,814,36
2020-06-22,903,53,814,36
2020-06-23,907,53,823,31
2020-06-24,919,53,825,41
2020-06-25,934,53,826,55
2020-06-26,941,53,830,58
2020-06-27,941,53,830,58
2020-06-28,959,53,830,76
2020-06-29,959,53,830,76
2020-06-30,962,53,838,71
2020-07-01,962,53,838,71
2020-07-02,967,53,846,68
2020-07-03,980,53,852,75
2020-07-04,987,53,854,80
2020-07-05,987,53,854,80
2020-07-06,1000,53,858,89
2020-07-07,1003,53,860,90
2020-07-08,1003,53,861,89
2020-07-09,1005,53,862,90
2020-07-10,1020,53,862,105
2020-07-11,1033,53,869,111
2020-07-12,1036,53,869,114
2020-07-13,1036,53,869,114
2020-07-14,1037,53,873,111
2020-07-15,1038,53,882,103
2020-07-16,1038,53,882,103
2020-07-17,1045,53,887,105
2020-07-18,1047,53,887,107
2020-07-19,1052,53,901,98
2020-07-20,1065,53,901,111
2020-07-21,1065,53,901,111
2020-07-22,1066,53,917,96
2020-07-23,1070,53,919,98
2020-07-24,1075,53,920,102
2020-07-25,1086,53,920,113
2020-07-26,1086,53,920,113
2020-07-27,1100,53,926,121
2020-07-28,1105,53,926,126
2020-07-29,1105,53,931,121
2020-07-30,1106,53,935,118
2020-07-31,1106,53,935,118
2020-08-01,1143,53,935,155
2020-08-02,1143,53,945,145
2020-08-03,1150,53,947,150
2020-08-04,1153,54,947,152
2020-08-05,1153,54,947,152
2020-08-06,1158,54,961,143
2020-08-07,1158,54,961,143
2020-08-08,1175,54,974,147
2020-08-09,1175,54,974,147
2020-08-10,1204,54,984,166
2020-08-11,1211,54,990,167
2020-08-12,1213,54,995,164
2020-08-13,1228,54,997,177
2020-08-14,1238,54,1005,179
2020-08-15,1240,54,1006,180
2020-08-16,1267,55,1013,199
2020-08-17,1280,55,1018,207
2020-08-18,1280,55,1018,207
2020-08-19,1285,55,1023,207
2020-08-20,1297,55,1034,208
2020-08-21,1297,55,1034,208
2020-08-22,1297,55,1034,208
2020-08-23,1320,55,1043,222
2020-08-24,1338,55,1050,233
2020-08-25,1338,55,1050,233
2020-08-26,1352,55,1058,239
2020-08-27,1352,55,1058,239
2020-08-28,1352,55,1058,239
2020-08-29,1352,55,1058,239
2020-08-30,1357,55,1058,244
2020-08-31,1368,55,1058,255
2020-09-01,1370,55,1075,240
2020-09-02,1370,55,1075,240
2020-09-03,1375,55,1075,245
2020-09-04,1408,55,1098,255
2020-09-05,1408,55,1098,255
2020-09-06,1452,55,1103,294
2020-09-07,1463,56,1112,295
2020-09-08,1466,56,1112,298
2020-09-09,1476,56,1118,302
2020-09-10,1486,56,1123,307
2020-09-11,1499,56,1127,316
2020-09-12,1514,56,1127,331
2020-09-13,1707,56,1135,516
2020-09-14,1717,56,1137,524
2020-09-15,1733,56,1141,536
2020-09-16,1748,56,1162,530
2020-09-17,1767,56,1166,545
2020-09-18,1797,56,1173,568
2020-09-19,1816,56,1176,584
2020-09-20,1846,56,1187,603
2020-09-21,1896,56,1189,651
2020-09-22,1907,56,1252,599
2020-09-23,1929,56,1252,621
2020-09-24,1950,56,1260,634
2020-09-25,1962,56,1263,643
2020-09-26,1973,56,1264,653
2020-09-27,2008,56,1276,676
2020-09-28,2028,57,1279,692
2020-09-29,2032,58,1309,665
2020-09-30,2056,58,1335,663
2020-10-01,2088,58,1363,667
2020-10-02,2123,59,1385,679
2020-10-03,2154,59,1397,698
2020-10-04,2167,59,1419,689
2020-10-05,2184,59,1420,705
2020-10-06,2197,59,1441,697
2020-10-07,2222,59,1478,685
2020-10-08,2241,60,1506,675
2020-10-09,2254,60,1516,678
2020-10-10,2271,61,1542,668
2020-10-11,2271,61,1542,668
2020-10-12,2294,63,1571,660
2020-10-13,2305,63,1581,661
2020-10-14,2305,63,1581,661
2020-10-15,2335,65,1645,625
2020-10-16,2343,65,1718,560
2020-10-17,2343,65,1718,560
2020-10-18,2381,65,1774,542
2020-10-19,2387,65,1802,520
2020-10-20,2406,65,1824,517
2020-10-21,2406,65,1824,517
2020-10-22,2414,65,1869,480
2020-10-23,2433,65,1996,372
2020-10-24,2444,65,1997,382
2020-10-25,2451,65,2019,367
