Day,Confirmed,Deaths,Recovered,Active
2020-03-31,2,0,0,2
2020-04-01,2,0,0,2
2020-04-02,3,0,0,3
2020-04-03,3,0,0,3
2020-04-04,3,0,0,3
2020-04-05,3,0,0,3
2020-04-06,3,0,0,3
2020-04-07,3,0,0,3
2020-04-08,3,0,0,3
2020-04-09,3,0,0,3
2020-04-10,3,0,0,3
2020-04-11,5,0,0,5
2020-04-12,5,0,0,5
2020-04-13,5,1,0,4
2020-04-14,5,1,0,4
2020-04-15,5,1,0,4
2020-04-16,5,1,0,4
2020-04-17,5,1,0,4
2020-04-18,5,1,0,4
2020-04-19,5,1,0,4
2020-04-20,5,1,4,0
2020-04-21,5,1,4,0
2020-04-22,11,1,4,6
2020-04-23,11,1,4,6
2020-04-24,11,1,4,6
2020-04-25,11,1,4,6
2020-04-26,11,1,4,6
2020-04-27,11,1,4,6
2020-04-28,11,1,4,6
2020-04-29,11,1,4,6
2020-04-30,11,1,4,6
2020-05-01,11,1,4,6
2020-05-02,15,1,7,7
2020-05-03,15,1,7,7
2020-05-04,15,1,7,7
2020-05-05,15,1,7,7
2020-05-06,15,1,7,7
2020-05-07,15,1,7,7
2020-05-08,15,1,7,7
2020-05-09,15,1,7,7
2020-05-10,15,1,7,7
2020-05-11,15,1,7,7
2020-05-12,15,1,7,7
2020-05-13,15,1,7,7
2020-05-14,15,1,7,7
2020-05-15,15,1,7,7
2020-05-16,15,1,7,7
2020-05-17,23,1,15,7
2020-05-18,42,1,20,21
2020-05-19,42,1,20,21
2020-05-20,42,1,20,21
2020-05-21,42,1,20,21
2020-05-22,42,1,20,21
2020-05-23,42,1,20,21
2020-05-24,42,1,20,21
2020-05-25,42,1,20,21
2020-05-26,42,1,20,21
2020-05-27,42,1,20,21
2020-05-28,42,1,20,21
2020-05-29,42,1,20,21
2020-05-30,63,1,33,29
2020-05-31,63,1,33,29
2020-06-01,63,1,33,29
2020-06-02,63,1,33,29
2020-06-03,63,1,33,29
2020-06-04,63,1,33,29
2020-06-05,63,1,33,29
2020-06-06,83,1,45,37
2020-06-07,83,1,45,37
2020-06-08,83,1,45,37
2020-06-09,83,1,45,37
2020-06-10,83,1,45,37
2020-06-11,85,1,45,39
2020-06-12,85,1,45,39
2020-06-13,85,1,45,39
2020-06-14,85,1,45,39
2020-06-15,85,1,45,39
2020-06-16,104,1,75,28
2020-06-17,104,1,75,28
2020-06-18,104,1,75,28
2020-06-19,104,1,75,28
2020-06-20,104,1,75,28
2020-06-21,144,1,93,50
2020-06-22,144,1,93,50
2020-06-23,144,1,93,50
2020-06-24,144,1,93,50
2020-06-25,144,1,93,50
2020-06-26,144,1,93,50
2020-06-27,170,1,115,54
2020-06-28,170,1,115,54
2020-06-29,170,1,115,54
2020-06-30,170,1,115,54
2020-07-01,170,1,115,54
2020-07-02,170,1,115,54
2020-07-03,191,1,118,72
2020-07-04,191,1,118,72
2020-07-05,191,1,118,72
2020-07-06,191,1,118,72
2020-07-07,191,1,118,72
2020-07-08,191,1,118,72
2020-07-09,191,1,118,72
2020-07-10,191,1,118,72
2020-07-11,191,1,118,72
2020-07-12,191,1,118,72
2020-07-13,269,1,207,61
2020-07-14,269,1,207,61
2020-07-15,269,1,207,61
2020-07-16,303,1,207,95
2020-07-17,310,1,207,102
2020-07-18,310,1,207,102
2020-07-19,310,1,207,102
2020-07-20,322,1,207,114
2020-07-21,328,1,207,120
2020-07-22,328,1,207,120
2020-07-23,345,1,270,74
2020-07-24,345,1,270,74
2020-07-25,361,1,279,81
2020-07-26,361,1,279,81
2020-07-27,378,1,301,76
2020-07-28,378,1,301,76
2020-07-29,387,1,304,82
2020-07-30,387,1,304,82
2020-07-31,387,1,304,82
2020-08-01,395,1,304,90
2020-08-02,395,1,304,90
2020-08-03,395,1,304,90
2020-08-04,395,1,304,90
2020-08-05,395,1,304,90
2020-08-06,400,1,304,95
2020-08-07,400,1,304,95
2020-08-08,405,1,312,92
2020-08-09,408,1,315,92
2020-08-10,408,1,315,92
2020-08-11,408,1,315,92
2020-08-12,409,1,315,93
2020-08-13,410,1,315,94
2020-08-14,412,1,315,96
2020-08-15,412,1,315,96
2020-08-16,413,1,315,97
2020-08-17,413,1,336,76
2020-08-18,416,1,336,79
2020-08-19,422,1,336,85
2020-08-20,422,1,336,85
2020-08-21,426,1,336,89
2020-08-22,429,1,336,92
2020-08-23,430,1,336,93
2020-08-24,430,1,345,84
2020-08-25,430,1,345,84
2020-08-26,430,1,345,84
2020-08-27,431,1,345,85
2020-08-28,433,1,345,87
2020-08-29,445,1,357,87
2020-08-30,445,1,357,87
2020-08-31,445,1,357,87
2020-09-01,445,1,357,87
2020-09-02,448,1,357,90
2020-09-03,448,1,357,90
2020-09-04,451,1,357,93
2020-09-05,460,1,357,102
2020-09-06,462,1,357,104
2020-09-07,466,1,374,91
2020-09-08,466,1,374,91
2020-09-09,466,1,374,91
2020-09-10,469,1,374,94
2020-09-11,469,1,374,94
2020-09-12,471,1,374,96
2020-09-13,472,1,374,97
2020-09-14,472,1,374,97
2020-09-15,472,1,374,97
2020-09-16,472,1,374,97
2020-09-17,473,1,374,98
2020-09-18,473,1,374,98
2020-09-19,473,1,374,98
2020-09-20,473,1,462,10
2020-09-21,474,1,462,11
2020-09-22,474,1,462,11
2020-09-23,476,1,462,13
2020-09-24,477,1,462,14
2020-09-25,483,1,462,20
2020-09-26,485,1,472,12
2020-09-27,485,1,472,12
2020-09-28,502,1,472,29
2020-09-29,506,1,472,33
2020-09-30,508,1,472,35
2020-10-01,510,1,472,37
2020-10-02,513,1,472,40
2020-10-03,513,1,472,40
2020-10-04,513,1,472,40
2020-10-05,514,1,472,41
2020-10-06,514,1,472,41
2020-10-07,515,1,472,42
2020-10-08,515,1,472,42
2020-10-09,515,1,472,42
2020-10-10,517,1,472,44
2020-10-11,524,1,472,51
2020-10-12,525,1,472,52
2020-10-13,529,1,472,56
2020-10-14,529,1,497,31
2020-10-15,529,1,497,31
2020-10-16,531,1,497,33
2020-10-17,536,1,497,38
2020-10-18,542,1,497,44
2020-10-19,549,1,497,51
2020-10-20,550,1,497,52
2020-10-21,550,1,497,52
2020-10-22,551,1,497,53
2020-10-23,553,1,497,55
2020-10-24,555,1,497,57
2020-10-25,557,1,511,45
