Day,Confirmed,Deaths,Recovered,Active
2020-03-19,1,0,0,1
2020-03-20,1,0,0,1
2020-03-21,1,0,0,1
2020-03-22,1,0,0,1
2020-03-23,1,0,0,1
2020-03-24,3,0,0,3
2020-03-25,3,0,0,3
2020-03-26,3,0,0,3
2020-03-27,3,0,0,3
2020-03-28,3,0,0,3
2020-03-29,3,0,0,3
2020-03-30,5,0,0,5
2020-03-31,7,0,0,7
2020-04-01,7,0,0,7
2020-04-02,8,0,0,8
2020-04-03,8,0,0,8
2020-04-04,9,0,0,9
2020-04-05,9,0,0,9
2020-04-06,9,0,0,9
2020-04-07,10,0,2,8
2020-04-08,10,0,2,8
2020-04-09,11,0,2,9
2020-04-10,11,0,2,9
2020-04-11,11,0,2,9
2020-04-12,18,0,2,16
2020-04-13,23,0,2,21
2020-04-14,23,0,2,21
2020-04-15,23,0,2,21
2020-04-16,27,0,5,22
2020-04-17,27,0,5,22
2020-04-18,33,0,8,25
2020-04-19,33,0,8,25
2020-04-20,33,0,8,25
2020-04-21,33,0,8,25
2020-04-22,33,0,8,25
2020-04-23,33,0,8,25
2020-04-24,40,0,8,32
2020-04-25,46,0,15,31
2020-04-26,46,0,15,31
2020-04-27,46,0,15,31
2020-04-28,52,2,19,31
2020-04-29,52,2,19,31
2020-04-30,73,5,33,35
2020-05-01,73,5,33,35
2020-05-02,117,10,39,68
2020-05-03,117,10,39,68
2020-05-04,117,10,39,68
2020-05-05,170,17,43,110
2020-05-06,170,17,43,110
2020-05-07,253,27,50,176
2020-05-08,260,28,50,182
2020-05-09,322,31,53,238
2020-05-10,322,31,53,238
2020-05-11,322,31,53,238
2020-05-12,357,40,76,241
2020-05-13,372,42,78,252
2020-05-14,399,46,83,270
2020-05-15,428,48,88,292
2020-05-16,474,50,111,313
2020-05-17,503,53,117,333
2020-05-18,519,53,117,349
2020-05-19,545,56,139,350
2020-05-20,565,57,177,331
2020-05-21,588,58,186,344
2020-05-22,611,58,196,357
2020-05-23,648,60,204,384
2020-05-24,675,60,215,400
2020-05-25,687,61,244,382
2020-05-26,700,62,303,335
