Day,Confirmed,Deaths,Recovered,Active
2020-03-03,1,0,0,1
2020-03-04,1,0,0,1
2020-03-05,4,0,0,4
2020-03-06,4,0,0,4
2020-03-07,4,0,0,4
2020-03-08,8,0,0,8
2020-03-09,8,0,0,8
2020-03-10,13,0,0,13
2020-03-11,23,0,0,23
2020-03-12,23,0,0,23
2020-03-13,43,0,0,43
2020-03-14,61,0,0,61
2020-03-15,74,0,0,74
2020-03-16,155,0,0,155
2020-03-17,201,0,0,201
2020-03-18,238,0,0,238
2020-03-19,238,0,0,238
2020-03-20,434,0,6,428
2020-03-21,537,0,6,531
2020-03-22,632,1,8,623
2020-03-23,746,2,11,733
2020-03-24,922,2,17,903
2020-03-25,1142,3,22,1117
2020-03-26,1306,4,22,1280
2020-03-27,1610,5,43,1562
2020-03-28,1909,6,61,1842
2020-03-29,2139,7,75,2057
2020-03-30,2449,8,156,2285
2020-03-31,2738,12,156,2570
2020-04-01,3031,16,234,2781
2020-04-02,3404,18,335,3051
2020-04-03,3737,22,427,3288
2020-04-04,4161,27,528,3606
2020-04-05,4471,34,618,3819
2020-04-06,4815,37,728,4050
2020-04-07,5116,43,898,4175
2020-04-08,5546,48,1115,4383
2020-04-09,5972,57,1274,4641
2020-04-10,6501,65,1571,4865
2020-04-11,6927,73,1864,4990
2020-04-12,7213,80,2059,5074
2020-04-13,7525,82,2367,5076
2020-04-14,7917,92,2646,5179
2020-04-15,8273,94,2937,5242
2020-04-16,8807,105,3299,5403
2020-04-17,9252,116,3621,5515
2020-04-18,9730,126,4035,5569
2020-04-19,10088,133,4338,5617
2020-04-20,10507,139,4676,5692
2020-04-21,10832,147,4969,5716
2020-04-22,11296,160,5386,5750
2020-04-23,11812,168,5804,5840
2020-04-24,12306,174,6327,5805
2020-04-25,12858,181,6746,5931
2020-04-26,13331,189,7024,6118
2020-04-27,13813,198,7327,6288
2020-04-28,14365,207,7710,6448
2020-04-29,14885,216,8057,6612
2020-04-30,16023,227,8580,7216
2020-05-01,17008,234,9018,7756
2020-05-02,18435,247,9572,8616
2020-05-03,19663,260,10041,9362
2020-05-04,20643,270,10415,9958
2020-05-05,22016,275,10710,11031
2020-05-06,23048,281,11189,11578
2020-05-07,24581,285,11664,12632
2020-05-08,25972,294,12160,13518
2020-05-09,27219,304,12667,14248
2020-05-10,28866,312,13112,15442
2020-05-11,30063,323,13605,16135
2020-05-12,31721,335,14125,17261
2020-05-13,34381,346,14865,19170
2020-05-14,37040,368,15655,21017
2020-05-15,39542,394,16614,22534
2020-05-16,41428,421,18014,22993
2020-05-17,43781,450,19213,24118
2020-05-18,46059,478,20165,25416
2020-05-19,49579,509,21507,27563
