Day,Confirmed,Deaths,Recovered,Active
2020-04-30,1,0,0,1
2020-05-01,1,0,0,1
2020-05-02,3,0,0,3
2020-05-03,3,0,0,3
2020-05-04,3,0,0,3
2020-05-05,3,0,0,3
2020-05-06,8,1,0,7
2020-05-07,8,1,0,7
2020-05-08,8,1,0,7
2020-05-09,11,1,0,10
2020-05-10,11,1,0,10
2020-05-11,11,1,0,10
2020-05-12,11,1,0,10
2020-05-13,11,1,0,10
2020-05-14,11,1,3,7
2020-05-15,11,1,3,7
2020-05-16,11,1,3,7
2020-05-17,11,1,3,7
2020-05-18,11,1,3,7
2020-05-19,11,1,3,7
2020-05-20,34,1,8,25
2020-05-21,34,1,8,25
2020-05-22,78,1,18,59
2020-05-23,78,1,18,59
2020-05-24,87,1,21,65
2020-05-25,87,1,21,65
2020-05-26,87,1,21,65
2020-05-27,87,2,24,61
2020-05-28,87,2,24,61
2020-05-29,87,2,24,61
2020-05-30,106,2,26,78
2020-05-31,106,2,26,78
2020-06-01,106,2,26,78
2020-06-02,132,2,27,103
2020-06-03,132,2,27,103
2020-06-04,132,2,55,75
2020-06-05,132,2,55,75
2020-06-06,141,2,67,72
2020-06-07,141,2,67,72
2020-06-08,141,2,67,72
2020-06-09,141,2,67,72
2020-06-10,162,2,97,63
2020-06-11,162,2,97,63
2020-06-12,163,2,97,64
2020-06-13,176,2,114,60
2020-06-14,176,2,114,60
2020-06-15,176,2,114,60
2020-06-16,197,3,127,67
2020-06-17,197,3,127,67
2020-06-18,210,5,129,76
2020-06-19,210,5,129,76
2020-06-20,247,5,159,83
2020-06-21,247,5,159,83
2020-06-22,247,5,159,83
2020-06-23,265,7,159,99
2020-06-24,265,7,159,99
2020-06-25,272,7,161,104
2020-06-26,272,7,161,104
2020-06-27,272,7,161,104
2020-06-28,272,7,161,104
2020-06-29,272,7,161,104
2020-06-30,303,7,200,96
2020-07-01,303,7,200,96
2020-07-02,303,7,200,96
2020-07-03,309,7,241,61
2020-07-04,309,7,241,61
2020-07-05,311,7,266,38
2020-07-06,311,7,266,38
2020-07-07,311,7,266,38
2020-07-08,313,7,272,34
2020-07-09,314,7,272,35
2020-07-10,314,7,272,35
2020-07-11,317,7,296,14
2020-07-12,317,7,296,14
2020-07-13,317,7,296,14
2020-07-14,321,7,302,12
2020-07-15,321,7,302,12
2020-07-16,328,7,311,10
2020-07-17,328,7,311,10
2020-07-18,328,7,311,10
2020-07-19,334,7,313,14
2020-07-20,334,7,313,14
2020-07-21,337,7,319,11
2020-07-22,337,7,319,11
2020-07-23,340,7,324,9
2020-07-24,340,7,324,9
2020-07-25,340,7,324,9
2020-07-26,354,7,328,19
2020-07-27,354,7,328,19
2020-07-28,354,7,328,19
2020-07-29,378,7,330,41
2020-07-30,378,7,330,41
2020-07-31,378,7,330,41
2020-08-01,386,7,330,49
2020-08-02,386,7,330,49
2020-08-03,386,7,330,49
2020-08-04,388,7,340,41
2020-08-05,388,7,340,41
2020-08-06,396,7,340,49
2020-08-07,396,7,353,36
2020-08-08,399,7,369,23
2020-08-09,399,7,369,23
2020-08-10,399,7,369,23
2020-08-11,399,7,379,13
2020-08-12,399,7,379,13
2020-08-13,399,7,379,13
2020-08-14,403,7,379,17
2020-08-15,403,7,379,17
2020-08-16,405,7,379,19
2020-08-17,405,7,379,19
2020-08-18,406,7,393,6
2020-08-19,406,7,393,6
2020-08-20,417,7,396,14
2020-08-21,417,7,396,14
2020-08-22,417,7,396,14
2020-08-23,417,7,396,14
2020-08-24,417,7,396,14
2020-08-25,417,7,399,11
2020-08-26,417,7,399,11
2020-08-27,422,7,399,16
2020-08-28,422,7,399,16
2020-08-29,423,7,399,17
2020-08-30,423,7,399,17
2020-08-31,423,7,399,17
2020-09-01,427,7,410,10
2020-09-02,427,7,410,10
2020-09-03,448,7,410,31
2020-09-04,448,7,410,31
2020-09-05,452,7,410,35
2020-09-06,452,7,410,35
2020-09-07,452,7,410,35
2020-09-08,456,7,415,34
2020-09-09,456,7,415,34
2020-09-10,456,7,415,34
2020-09-11,456,7,415,34
2020-09-12,456,7,415,34
2020-09-13,456,7,415,34
2020-09-14,457,7,427,23
2020-09-15,467,7,446,14
2020-09-16,467,7,446,14
2020-09-17,470,7,449,14
2020-09-18,470,7,449,14
2020-09-19,470,7,450,13
2020-09-20,470,7,450,13
2020-09-21,470,7,450,13
2020-09-22,470,7,453,10
2020-09-23,470,7,453,10
2020-09-24,474,7,453,14
2020-09-25,474,7,453,14
2020-09-26,478,7,458,13
2020-09-27,478,7,458,13
2020-09-28,478,7,458,13
2020-09-29,479,7,464,8
2020-09-30,479,7,464,8
2020-10-01,484,7,466,11
2020-10-02,484,7,466,11
2020-10-03,487,7,466,14
2020-10-04,487,7,466,14
2020-10-05,487,7,466,14
2020-10-06,491,7,468,16
2020-10-07,491,7,468,16
2020-10-08,495,7,475,13
2020-10-09,495,7,475,13
2020-10-10,495,7,475,13
2020-10-11,495,7,475,13
2020-10-12,495,7,475,13
2020-10-13,496,7,484,5
2020-10-14,496,7,484,5
2020-10-15,496,7,484,5
2020-10-16,502,7,485,10
2020-10-17,502,7,485,10
2020-10-18,502,7,485,10
2020-10-19,502,7,485,10
2020-10-20,504,7,494,3
2020-10-21,504,7,494,3
2020-10-22,517,7,494,16
2020-10-23,517,7,494,16
2020-10-24,517,7,494,16
2020-10-25,517,7,494,16
