Day,Confirmed,Deaths,Recovered,Active
2020-03-06,1,0,0,1
2020-03-07,1,0,0,1
2020-03-08,5,0,0,5
2020-03-09,9,0,0,9
2020-03-10,9,0,0,9
2020-03-11,13,0,0,13
2020-03-12,22,0,0,22
2020-03-13,23,0,0,23
2020-03-14,26,0,0,26
2020-03-15,27,0,0,27
2020-03-16,35,0,0,35
2020-03-17,41,0,0,41
2020-03-18,50,0,0,50
2020-03-19,69,1,0,68
2020-03-20,89,1,0,88
2020-03-21,117,2,2,113
2020-03-22,134,2,2,130
2020-03-23,158,2,2,154
2020-03-24,177,2,2,173
2020-03-25,201,2,2,197
2020-03-26,231,2,2,227
2020-03-27,263,2,3,258
2020-03-28,295,2,3,290
2020-03-29,314,2,3,309
2020-03-30,330,2,4,324
2020-03-31,347,2,4,341
2020-04-01,375,2,4,369
2020-04-02,396,2,6,388
2020-04-03,416,2,11,403
2020-04-04,435,2,13,420
2020-04-05,454,2,16,436
2020-04-06,467,2,18,447
2020-04-07,483,2,24,457
2020-04-08,502,3,29,470
2020-04-09,539,3,30,506
2020-04-10,558,3,42,513
2020-04-11,577,3,49,525
2020-04-12,595,3,56,536
2020-04-13,612,3,62,547
2020-04-14,618,3,66,549
2020-04-15,626,4,67,555
2020-04-16,642,4,74,564
2020-04-17,649,4,88,557
2020-04-18,655,4,97,554
2020-04-19,660,5,112,543
2020-04-20,662,6,124,532
2020-04-21,669,6,150,513
2020-04-22,681,6,180,495
2020-04-23,686,6,196,484
2020-04-24,687,6,216,465
2020-04-25,693,6,242,445
2020-04-26,695,6,264,425
2020-04-27,697,6,287,404
2020-04-28,705,6,306,393
2020-04-29,713,6,323,384
2020-04-30,719,6,338,375
2020-05-01,725,6,355,364
2020-05-02,733,6,372,355
2020-05-03,739,6,386,347
2020-05-04,742,6,399,337
2020-05-05,755,6,413,336
2020-05-06,761,6,428,327
2020-05-07,765,6,445,314
2020-05-08,773,6,461,306
2020-05-09,780,6,480,294
2020-05-10,792,7,501,284
2020-05-11,801,7,517,277
2020-05-12,804,7,520,277
2020-05-13,815,8,527,280
