Day,Confirmed,Deaths,Recovered,Active
2020-03-11,1,0,0,1
2020-03-12,1,0,0,1
2020-03-13,1,0,0,1
2020-03-14,1,0,0,1
2020-03-15,1,0,0,1
2020-03-16,1,0,0,1
2020-03-17,5,0,1,4
2020-03-18,6,0,1,5
2020-03-19,9,0,1,8
2020-03-20,9,0,1,8
2020-03-21,14,0,1,13
2020-03-22,14,0,1,13
2020-03-23,25,0,2,23
2020-03-24,73,0,2,71
2020-03-25,80,0,3,77
2020-03-26,96,0,3,93
2020-03-27,101,0,3,98
2020-03-28,101,0,3,98
2020-03-29,165,1,4,160
2020-03-30,168,1,6,161
2020-03-31,179,1,7,171
2020-04-01,190,1,9,180
2020-04-02,194,1,15,178
2020-04-03,218,1,19,198
2020-04-04,245,1,25,219
2020-04-05,261,3,37,221
2020-04-06,323,3,41,279
2020-04-07,349,3,41,305
2020-04-08,384,3,48,333
2020-04-09,444,3,52,389
2020-04-10,444,3,52,389
2020-04-11,533,4,58,471
2020-04-12,574,5,85,484
2020-04-13,626,6,89,531
2020-04-14,638,6,114,518
2020-04-15,638,6,114,518
2020-04-16,654,6,146,502
2020-04-17,688,6,193,489
2020-04-18,801,8,239,554
2020-04-19,847,9,260,578
2020-04-20,847,9,260,578
2020-04-21,916,13,303,600
2020-04-22,952,14,310,628
2020-04-23,1004,14,359,631
2020-04-24,1077,14,419,644
2020-04-25,1077,14,419,644
2020-04-26,1150,14,468,668
2020-04-27,1164,14,499,651
2020-04-28,1183,14,525,644
2020-04-29,1238,14,557,667
2020-04-30,1275,14,574,687
2020-05-01,1333,15,597,721
2020-05-02,1362,15,622,725
2020-05-03,1398,17,653,728
2020-05-04,1432,17,693,722
2020-05-05,1464,18,701,745
2020-05-06,1516,18,721,777
2020-05-07,1571,20,742,809
2020-05-08,1602,20,754,828
2020-05-09,1667,21,769,877
2020-05-10,1700,21,794,885
2020-05-11,1730,21,818,891
2020-05-12,1857,21,820,1016
2020-05-13,1912,24,902,986
2020-05-14,1971,24,930,1017
2020-05-15,2017,24,942,1051
2020-05-16,2061,25,987,1049
2020-05-17,2109,27,1004,1078
2020-05-18,2119,28,1040,1051
2020-05-19,2153,28,1050,1075
2020-05-20,2231,29,1083,1119
2020-05-21,2301,29,1100,1172
2020-05-22,2341,29,1146,1166
2020-05-23,2366,30,1188,1148
2020-05-24,2376,30,1219,1127
2020-05-25,2423,30,1257,1136
2020-05-26,2477,30,1286,1161
2020-05-27,2556,31,1302,1223
2020-05-28,2641,32,1326,1283
2020-05-29,2750,32,1370,1348
2020-05-30,2799,33,1385,1381
2020-05-31,2833,33,1435,1365
2020-06-01,2951,33,1467,1451
2020-06-02,3024,33,1501,1490
2020-06-03,3110,35,1530,1545
2020-06-04,3262,35,1584,1643
2020-06-05,3431,36,1604,1791
2020-06-06,3557,36,1750,1771
2020-06-07,3739,36,1818,1885
2020-06-08,3881,38,1869,1974
2020-06-09,3995,38,2045,1912
2020-06-10,4181,41,2174,1966
2020-06-11,4404,41,2212,2151
2020-06-12,4684,45,2263,2376
2020-06-13,4848,45,2397,2406
2020-06-14,5084,45,2505,2534
2020-06-15,5439,46,2590,2803
2020-06-16,5679,46,2637,2996
2020-06-17,6063,48,2749,3266
2020-06-18,6444,49,2863,3532
2020-06-19,6874,49,2942,3883
2020-06-20,7276,52,2992,4232
2020-06-21,7492,54,3068,4370
2020-06-22,7677,56,3493,4128
2020-06-23,7904,58,3182,4664
2020-06-24,8164,58,3419,4687
2020-06-25,8334,60,3487,4787
2020-06-26,8739,64,3587,5088
2020-06-27,8944,66,3722,5156
2020-06-28,9101,66,3808,5227
2020-06-29,9214,66,3996,5152
2020-06-30,9499,68,4273,5158
2020-07-01,9702,68,4381,5253
2020-07-02,9992,68,4660,5264
2020-07-03,10244,70,4726,5448
2020-07-04,10462,72,4807,5583
2020-07-05,10772,74,5067,5631
2020-07-06,10966,75,5384,5507
2020-07-07,11194,76,5487,5631
2020-07-08,11504,78,5571,5855
2020-07-09,11750,79,5752,5919
2020-07-10,12052,81,6080,5891
2020-07-11,12443,82,6357,6004
2020-07-12,12766,84,6654,6028
2020-07-13,12872,84,6810,5978
2020-07-14,13037,87,6908,6042
2020-07-15,13403,87,7146,6170
2020-07-16,13554,87,7363,6104
2020-07-17,13696,87,7607,6002
2020-07-18,13912,91,8000,5821
2020-07-19,14119,92,8366,5661
2020-07-20,14312,92,8659,5561
2020-07-21,14531,93,8857,5581
2020-07-22,14733,93,8995,5645
2020-07-23,15001,93,9282,5626
2020-07-24,15253,94,9499,5660
2020-07-25,15494,94,9880,5520
2020-07-26,15596,96,10178,5322
2020-07-27,15655,96,10361,5198
2020-07-28,15713,98,10537,5078
2020-07-29,15813,99,10793,4921
2020-07-30,15978,100,11160,4718
2020-07-31,16047,102,11428,4517
2020-08-01,16109,102,11750,4257
2020-08-02,16182,102,11801,4279
2020-08-03,16220,102,11887,4231
2020-08-04,16293,103,11955,4235
2020-08-05,16349,103,12191,4055
2020-08-06,16447,103,12484,3860
2020-08-07,16524,104,12802,3618
2020-08-08,16620,104,12893,3623
2020-08-09,16715,105,12926,3684
2020-08-10,16798,105,13052,3641
2020-08-11,16847,105,13321,3421
2020-08-12,16847,105,13321,3421
2020-08-13,16889,107,13522,3260
2020-08-14,16935,108,13721,3106
2020-08-15,16993,108,13759,3126
2020-08-16,17026,110,13947,2969
2020-08-17,17107,110,13990,3007
2020-08-18,17150,110,14183,2857
2020-08-19,17232,111,14422,2699
2020-08-20,17249,112,14611,2526
2020-08-21,17310,112,14820,2378
2020-08-22,17374,113,15106,2155
2020-08-23,17471,113,15301,2057
2020-08-24,17506,114,15633,1759
2020-08-25,17562,114,15908,1540
2020-08-26,17603,114,15941,1548
2020-08-27,17702,115,16139,1448
2020-08-28,17797,115,16315,1367
2020-08-29,17893,115,16440,1338
2020-08-30,17948,115,16553,1280
2020-08-31,18067,117,16699,1251
2020-09-01,18103,117,16814,1172
2020-09-02,18161,117,16933,1111
2020-09-03,18208,119,17045,1044
2020-09-04,18269,119,17162,988
2020-09-05,18472,119,17323,1030
2020-09-06,18588,119,17472,997
2020-09-07,18701,119,17599,983
2020-09-08,18778,119,17688,971
2020-09-09,18815,119,17770,926
2020-09-10,18869,119,17884,866
2020-09-11,18916,119,17960,837
2020-09-12,18916,119,17960,837
2020-09-13,19013,120,18112,781
2020-09-14,19066,120,18174,772
2020-09-15,19100,120,18228,752
2020-09-16,19132,120,18289,723
2020-09-17,19158,120,18330,708
2020-09-18,19200,120,18392,688
2020-09-19,19269,120,18392,757
2020-09-20,19320,120,18460,740
2020-09-21,19327,120,18630,577
2020-09-22,19343,120,18682,541
2020-09-23,19430,120,18875,435
2020-09-24,19501,120,19003,378
2020-09-25,19556,120,19065,371
2020-09-26,19600,120,19122,358
