Day,Confirmed,Deaths,Recovered,Active
2020-03-09,2,0,0,2
2020-03-10,3,0,0,3
2020-03-11,6,0,0,6
2020-03-12,6,0,0,6
2020-03-13,14,0,0,14
2020-03-14,26,0,0,26
2020-03-15,26,0,0,26
2020-03-16,33,0,0,33
2020-03-17,46,0,0,46
2020-03-18,49,0,0,49
2020-03-19,67,0,0,67
2020-03-20,67,0,0,67
2020-03-21,84,0,0,84
2020-03-22,95,1,3,91
2020-03-23,116,1,3,112
2020-03-24,124,3,3,118
2020-03-25,132,3,3,126
2020-03-26,146,3,4,139
2020-03-27,162,5,15,142
2020-03-28,179,5,15,159
2020-03-29,214,5,15,194
2020-03-30,230,7,22,201
2020-03-31,262,8,23,231
2020-04-01,320,9,28,283
2020-04-02,356,10,28,318
2020-04-03,396,11,28,357
2020-04-04,426,11,33,382
2020-04-05,446,9,37,400
2020-04-06,465,9,45,411
2020-04-07,494,9,47,438
2020-04-08,526,9,52,465
2020-04-09,564,10,53,501
2020-04-10,595,10,58,527
2020-04-11,616,10,61,545
2020-04-12,633,11,65,557
2020-04-13,662,12,65,585
2020-04-14,695,12,65,618
2020-04-15,715,12,65,638
2020-04-16,735,12,77,646
2020-04-17,750,12,77,661
2020-04-18,761,12,79,670
2020-04-19,767,12,81,674
2020-04-20,772,12,81,679
2020-04-21,784,12,98,674
2020-04-22,790,13,98,679
2020-04-23,795,13,98,684
2020-04-24,804,14,98,692
2020-04-25,810,14,148,648
2020-04-26,817,14,148,655
2020-04-27,822,15,148,659
2020-04-28,837,15,148,674
2020-04-29,843,15,148,680
2020-04-30,850,15,296,539
2020-05-01,857,15,296,546
2020-05-02,864,15,296,553
2020-05-03,872,15,296,561
2020-05-04,874,15,296,563
2020-05-05,878,15,296,567
2020-05-06,883,15,296,572
2020-05-07,889,15,400,474
2020-05-08,891,15,400,476
2020-05-09,892,15,401,476
2020-05-10,898,16,401,481
2020-05-11,901,16,401,484
2020-05-12,903,16,449,438
2020-05-13,905,17,449,439
2020-05-14,907,17,481,409
2020-05-15,910,17,481,412
2020-05-16,914,17,515,382
2020-05-17,916,17,515,384
2020-05-18,917,17,515,385
2020-05-19,918,17,515,386
2020-05-20,922,17,516,389
2020-05-21,923,17,561,345
2020-05-22,927,17,561,349
2020-05-23,927,17,594,316
2020-05-24,935,17,594,324
2020-05-25,937,17,594,326
2020-05-26,939,17,594,328
2020-05-27,939,17,594,328
2020-05-28,941,17,784,140
2020-05-29,942,17,784,141
2020-05-30,944,17,790,137
2020-05-31,944,17,790,137
2020-06-01,949,17,790,142
2020-06-02,952,17,790,145
2020-06-03,958,17,790,151
2020-06-04,958,17,790,151
2020-06-05,960,17,807,136
2020-06-06,960,18,807,135
2020-06-07,964,18,807,139
2020-06-08,970,18,807,145
2020-06-09,972,18,807,147
2020-06-10,974,18,807,149
2020-06-11,975,18,807,150
2020-06-12,980,18,807,155
2020-06-13,980,18,807,155
2020-06-14,983,18,807,158
2020-06-15,985,18,807,160
2020-06-16,985,18,816,151
2020-06-17,985,18,816,151
2020-06-18,985,19,818,148
2020-06-19,985,19,818,148
2020-06-20,985,19,824,142
2020-06-21,986,19,824,143
2020-06-22,988,19,824,145
2020-06-23,990,19,824,147
2020-06-24,991,19,824,148
2020-06-25,992,19,824,149
2020-06-26,992,19,824,149
2020-06-27,994,19,824,151
2020-06-28,994,19,833,142
2020-06-29,996,19,833,144
2020-06-30,998,19,833,146
2020-07-01,999,19,833,147
2020-07-02,999,19,833,147
2020-07-03,999,19,839,141
2020-07-04,1002,19,839,144
2020-07-05,1003,19,839,145
2020-07-06,1004,19,839,146
2020-07-07,1005,19,839,147
2020-07-08,1008,19,839,150
2020-07-09,1010,19,839,152
2020-07-10,1013,19,839,155
2020-07-11,1014,19,839,156
2020-07-12,1021,19,839,163
2020-07-13,1022,19,839,164
2020-07-14,1023,19,839,165
2020-07-15,1025,19,839,167
2020-07-16,1031,19,845,167
2020-07-17,1033,19,845,169
2020-07-18,1037,19,845,173
2020-07-19,1038,19,845,174
2020-07-20,1038,19,847,172
2020-07-21,1040,19,847,174
2020-07-22,1040,19,847,174
2020-07-23,1045,19,847,179
2020-07-24,1047,19,847,181
2020-07-25,1053,19,852,182
2020-07-26,1057,19,852,186
2020-07-27,1060,19,852,189
2020-07-28,1067,19,852,196
2020-07-29,1080,19,852,209
2020-07-30,1090,19,852,219
2020-07-31,1114,19,852,243
2020-08-01,1124,19,852,253
2020-08-02,1150,19,856,275
2020-08-03,1155,19,856,280
2020-08-04,1180,19,856,305
2020-08-05,1195,19,856,320
2020-08-06,1208,19,856,333
2020-08-07,1222,19,856,347
2020-08-08,1233,19,856,358
2020-08-09,1242,19,870,353
2020-08-10,1252,19,870,363
2020-08-11,1277,20,870,387
2020-08-12,1291,20,870,401
2020-08-13,1305,20,870,415
2020-08-14,1318,20,870,428
2020-08-15,1332,20,870,442
2020-08-16,1339,20,870,449
2020-08-17,1351,20,870,461
2020-08-18,1359,20,878,461
2020-08-19,1385,20,878,487
2020-08-20,1395,20,878,497
2020-08-21,1406,20,878,508
2020-08-22,1417,20,878,519
2020-08-23,1421,20,878,523
2020-08-24,1451,20,878,553
2020-08-25,1474,20,935,519
2020-08-26,1484,20,935,529
2020-08-27,1467,20,935,512
2020-08-28,1481,20,935,526
2020-08-29,1483,20,935,528
2020-08-30,1487,20,935,532
2020-08-31,1488,20,1139,329
2020-09-01,1490,21,1139,330
2020-09-02,1495,21,1139,335
2020-09-03,1498,21,1139,338
2020-09-04,1502,21,1139,342
2020-09-05,1507,21,1237,249
2020-09-06,1509,21,1237,251
2020-09-07,1510,22,1237,251
2020-09-08,1511,22,1237,252
2020-09-09,1514,22,1237,255
2020-09-10,1517,22,1237,258
2020-09-11,1520,22,1237,261
2020-09-12,1523,22,1281,220
2020-09-13,1526,22,1281,223
2020-09-14,1534,22,1282,230
2020-09-15,1540,22,1282,236
2020-09-16,1548,22,1282,244
2020-09-17,1558,22,1282,254
2020-09-18,1565,22,1282,261
2020-09-19,1590,22,1282,286
2020-09-20,1600,22,1282,296
2020-09-21,1603,22,1369,212
2020-09-22,1618,22,1369,227
2020-09-23,1654,22,1369,263
2020-09-24,1663,22,1369,272
2020-09-25,1671,22,1369,280
2020-09-26,1684,22,1369,293
2020-09-27,1696,22,1369,305
2020-09-28,1713,22,1369,322
2020-09-29,1743,22,1369,352
2020-09-30,1755,22,1369,364
2020-10-01,1772,22,1369,381
2020-10-02,1789,22,1369,398
2020-10-03,1811,22,1369,420
2020-10-04,1824,22,1369,433
2020-10-05,1847,22,1369,456
2020-10-06,1876,23,1369,484
2020-10-07,1897,24,1369,504
2020-10-08,1918,24,1369,525
2020-10-09,1951,25,1369,557
2020-10-10,1986,25,1444,517
2020-10-11,2006,25,1444,537
2020-10-12,2047,25,1444,578
2020-10-13,2130,25,1444,661
2020-10-14,2181,25,1444,712
2020-10-15,2285,25,1444,816
2020-10-16,2379,25,1444,910
2020-10-17,2581,25,1444,1112
2020-10-18,2644,25,1444,1175
2020-10-19,2687,25,1444,1218
2020-10-20,2839,25,1444,1370
2020-10-21,2966,25,1444,1497
2020-10-22,3154,25,1444,1685
2020-10-23,3314,25,1444,1845
2020-10-24,3444,25,1882,1537
2020-10-25,3545,25,1882,1638
