Day,Confirmed,Deaths,Recovered,Active
2020-03-18,1,0,0,1
2020-03-19,1,0,0,1
2020-03-20,1,0,0,1
2020-03-21,1,0,0,1
2020-03-22,1,0,0,1
2020-03-23,3,0,0,3
2020-03-24,3,0,0,3
2020-03-25,11,0,0,11
2020-03-26,11,0,0,11
2020-03-27,12,0,0,12
2020-03-28,14,0,0,14
2020-03-29,18,0,0,18
2020-03-30,18,0,0,18
2020-03-31,30,0,0,30
2020-04-01,33,0,0,33
2020-04-02,40,0,0,40
2020-04-03,49,0,8,41
2020-04-04,50,0,8,42
2020-04-05,59,0,9,50
2020-04-06,90,0,9,81
2020-04-07,90,0,9,81
2020-04-08,135,0,25,110
2020-04-09,135,0,25,110
2020-04-10,150,1,36,113
2020-04-11,187,2,36,149
2020-04-12,214,2,36,176
2020-04-13,298,2,41,255
2020-04-14,363,2,53,308
2020-04-15,435,2,71,362
2020-04-16,591,2,73,516
2020-04-17,732,2,76,654
2020-04-18,732,2,76,654
2020-04-19,846,2,102,742
2020-04-20,846,2,102,742
2020-04-21,945,2,112,831
2020-04-22,974,2,183,789
2020-04-23,986,2,252,732
2020-04-24,999,2,330,667
2020-04-25,1008,2,373,633
2020-04-26,1023,2,411,610
2020-04-27,1035,2,477,556
2020-04-28,1072,2,498,572
2020-04-29,1077,2,599,476
2020-04-30,1089,2,642,445
2020-05-01,1097,2,672,423
2020-05-02,1112,2,686,424
2020-05-03,1112,2,686,424
2020-05-04,1116,2,713,401
2020-05-05,1120,2,745,373
2020-05-06,1124,3,755,366
2020-05-07,1133,3,799,331
2020-05-08,1135,3,824,308
2020-05-09,1189,3,834,352
2020-05-10,1210,3,847,360
2020-05-11,1227,3,872,352
2020-05-12,1256,3,886,367
2020-05-13,1268,3,900,365
2020-05-14,1284,3,905,376
2020-05-15,1309,4,935,370
2020-05-16,1331,4,950,377
2020-05-17,1401,4,972,425
2020-05-18,1518,7,1018,493
2020-05-19,1618,7,1033,578
2020-05-20,1828,9,1052,767
2020-05-21,2047,10,1055,982
2020-05-22,2270,10,1064,1196
2020-05-23,2270,10,1064,1196
2020-05-24,2270,10,1064,1196
2020-05-25,2468,14,1079,1375
2020-05-26,2468,14,1079,1375
2020-05-27,2697,18,1185,1494
2020-05-28,2914,20,1241,1653
2020-05-29,2914,20,1241,1653
2020-05-30,3194,22,1286,1886
2020-05-31,3354,24,1504,1826
2020-06-01,3569,24,1521,2024
2020-06-02,3779,25,1607,2147
2020-06-03,3935,26,1636,2273
2020-06-04,4054,26,1685,2343
2020-06-05,4123,26,1707,2390
2020-06-06,4169,26,1815,2328
2020-06-07,4207,28,1877,2302
2020-06-08,4278,31,2013,2234
2020-06-09,4331,34,2139,2158
2020-06-10,4373,34,2260,2079
2020-06-11,4398,37,2519,1842
2020-06-12,4441,38,2730,1673
2020-06-13,4449,41,2823,1585
2020-06-14,4465,43,2950,1472
2020-06-15,4501,43,3183,1275
2020-06-16,4539,43,3324,1172
2020-06-17,4545,43,3411,1091
2020-06-18,4557,43,3527,987
2020-06-19,4565,45,3565,955
2020-06-20,4565,45,3565,955
2020-06-21,4582,45,3859,678
2020-06-22,4599,48,3952,599
2020-06-23,4617,49,3989,579
2020-06-24,4630,52,4182,396
2020-06-25,4635,52,4269,314
2020-06-26,4643,52,4348,243
2020-06-27,4643,52,4348,243
2020-06-28,4643,52,4348,243
2020-06-29,4656,53,4433,170
2020-06-30,4682,54,4524,104
2020-07-01,4704,55,4550,99
2020-07-02,4715,55,4564,96
2020-07-03,4736,55,4580,101
2020-07-04,4736,55,4580,101
2020-07-05,4792,55,4593,144
2020-07-06,4822,55,4610,157
2020-07-07,4878,55,4621,202
2020-07-08,4889,55,4644,190
2020-07-09,4955,56,4671,228
2020-07-10,4968,56,4689,223
2020-07-11,4968,56,4689,223
2020-07-12,4972,56,4712,204
2020-07-13,4977,56,4729,192
2020-07-14,4979,56,4743,180
2020-07-15,4985,56,4765,164
2020-07-16,4993,56,4796,141
2020-07-17,5003,56,4809,138
2020-07-18,5003,56,4809,138
2020-07-19,5011,56,4838,117
2020-07-20,5020,56,4868,96
2020-07-21,5027,56,4884,87
2020-07-22,5030,58,4904,68
2020-07-23,5031,58,4927,46
2020-07-24,5039,58,4949,32
2020-07-25,5039,58,4949,32
2020-07-26,5050,58,4966,26
2020-07-27,5059,58,4977,24
2020-07-28,5068,58,4992,18
2020-07-29,5081,58,4999,24
2020-07-30,5081,58,4999,24
2020-07-31,5084,58,4999,27
2020-08-01,5084,58,4999,27
2020-08-02,5161,59,5019,83
2020-08-03,5240,59,5028,153
2020-08-04,5248,59,5044,145
2020-08-05,5330,59,5057,214
2020-08-06,5330,59,5057,214
2020-08-07,5338,59,5083,196
2020-08-08,5338,59,5083,196
2020-08-09,5344,59,5106,179
2020-08-10,5347,59,5120,168
2020-08-11,5348,59,5133,156
2020-08-12,5358,59,5150,149
2020-08-13,5358,59,5167,132
2020-08-14,5367,59,5181,127
2020-08-15,5367,59,5181,127
2020-08-16,5369,59,5202,108
2020-08-17,5372,59,5211,102
2020-08-18,5374,59,5216,99
2020-08-19,5374,59,5216,99
2020-08-20,5374,59,5216,99
2020-08-21,5382,60,5233,89
2020-08-22,5382,60,5233,89
2020-08-23,5382,60,5254,68
2020-08-24,5383,60,5273,50
2020-08-25,5383,60,5282,41
2020-08-26,5383,60,5297,26
2020-08-27,5383,60,5307,16
2020-08-28,5383,60,5307,16
2020-08-29,5385,60,5314,11
2020-08-30,5385,60,5319,6
2020-08-31,5387,60,5323,4
2020-09-01,5387,60,5327,0
2020-09-02,5387,60,5327,0
2020-09-03,5387,60,5327,0
2020-09-04,5387,60,5327,0
2020-09-05,5387,60,5327,0
2020-09-06,5388,61,5327,0
2020-09-07,5388,61,5327,0
2020-09-08,5388,61,5327,0
2020-09-09,5391,61,5327,3
2020-09-10,5394,61,5327,6
2020-09-11,5394,61,5327,6
2020-09-12,5394,61,5327,6
2020-09-13,5395,61,5330,4
2020-09-14,5396,61,5331,4
2020-09-15,5396,61,5331,4
2020-09-16,5399,61,5333,5
2020-09-17,5399,61,5333,5
2020-09-18,5403,61,5333,9
2020-09-19,5403,61,5333,9
2020-09-20,5403,61,5335,7
2020-09-21,5404,61,5336,7
2020-09-22,5407,61,5338,8
2020-09-23,5407,61,5338,8
2020-09-24,5407,61,5339,7
2020-09-25,5409,61,5340,8
2020-09-26,5409,61,5340,8
2020-09-27,5409,61,5340,8
2020-09-28,5410,61,5340,9
2020-09-29,5416,61,5344,11
2020-09-30,5416,61,5344,11
2020-10-01,5417,61,5346,10
2020-10-02,5417,61,5346,10
2020-10-03,5418,61,5347,10
2020-10-04,5419,61,5349,9
2020-10-05,5421,61,5352,8
2020-10-06,5423,61,5353,9
2020-10-07,5423,61,5353,9
2020-10-08,5423,61,5355,7
2020-10-09,5423,61,5355,7
2020-10-10,5423,61,5355,7
2020-10-11,5423,61,5355,7
2020-10-12,5426,61,5360,5
2020-10-13,5428,61,5362,5
2020-10-14,5440,61,5366,13
2020-10-15,5443,61,5368,14
2020-10-16,5449,61,5372,16
2020-10-17,5452,61,5373,18
2020-10-18,5459,61,5375,23
2020-10-19,5469,61,5379,29
2020-10-20,5499,61,5384,54
2020-10-21,5512,61,5387,64
2020-10-22,5522,61,5389,72
2020-10-23,5528,61,5393,74
2020-10-24,5530,61,5398,71
2020-10-25,5536,61,5402,73
