Day,Confirmed,Deaths,Recovered,Active
2020-02-26,1,0,0,1
2020-02-27,1,0,0,1
2020-02-28,1,0,0,1
2020-02-29,1,0,0,1
2020-03-01,3,0,0,3
2020-03-02,3,0,0,3
2020-03-03,3,0,0,3
2020-03-04,3,0,0,3
2020-03-05,4,0,0,4
2020-03-06,4,0,0,4
2020-03-07,4,0,0,4
2020-03-08,13,0,0,13
2020-03-09,15,0,0,15
2020-03-10,15,0,0,15
2020-03-11,24,0,0,24
2020-03-12,24,0,0,24
2020-03-13,25,0,0,25
2020-03-14,30,0,0,30
2020-03-15,33,0,0,33
2020-03-16,33,0,1,32
2020-03-17,34,0,1,33
2020-03-18,38,0,1,37
2020-03-19,40,0,1,39
2020-03-20,43,0,1,42
2020-03-21,49,0,1,48
2020-03-22,54,0,1,53
2020-03-23,61,0,8,53
2020-03-24,70,0,9,61
2020-03-25,75,0,10,65
2020-03-26,79,0,11,68
2020-03-27,83,0,14,69
2020-03-28,90,0,14,76
2020-03-29,91,0,18,73
2020-03-30,103,0,20,83
2020-03-31,110,0,21,89
2020-04-01,117,0,23,94
2020-04-02,134,0,26,108
2020-04-03,155,0,28,127
2020-04-04,162,1,36,125
2020-04-05,174,2,36,136
2020-04-06,188,2,39,147
2020-04-07,196,3,46,147
2020-04-08,211,3,50,158
2020-04-09,218,3,51,164
2020-04-10,234,3,54,177
2020-04-11,242,3,60,179
2020-04-12,257,3,67,187
2020-04-13,272,3,68,201
2020-04-14,300,3,69,228
2020-04-15,306,3,71,232
2020-04-16,348,3,76,269
2020-04-17,370,3,79,288
2020-04-18,388,4,86,298
2020-04-19,394,4,93,297
2020-04-20,402,4,95,303
2020-04-21,408,4,97,307
2020-04-22,416,5,107,304
2020-04-23,425,5,111,309
2020-04-24,444,5,132,307
2020-04-25,456,5,139,312
2020-04-26,486,6,149,331
2020-04-27,497,6,156,335
2020-04-28,511,6,168,337
2020-04-29,517,6,178,333
2020-04-30,539,6,184,349
2020-05-01,566,7,207,352
2020-05-02,582,8,207,367
2020-05-03,589,9,223,357
2020-05-04,593,9,223,361
2020-05-05,604,9,240,355
2020-05-06,610,9,269,332
2020-05-07,615,9,275,331
2020-05-08,623,10,288,325
2020-05-09,626,10,297,319
2020-05-10,635,10,309,316
2020-05-11,638,11,317,310
2020-05-12,642,11,349,282
2020-05-13,647,11,372,264
2020-05-14,667,12,383,272
2020-05-15,671,12,393,266
2020-05-16,683,12,419,252
2020-05-17,695,12,425,258
2020-05-18,701,12,432,257
2020-05-19,707,12,456,239
2020-05-20,713,12,475,226
2020-05-21,721,12,485,224
2020-05-22,723,12,495,216
2020-05-23,728,12,509,207
2020-05-24,730,12,522,196
2020-05-25,731,12,526,193
2020-05-26,732,12,537,183
2020-05-27,735,12,557,166
2020-05-28,738,12,573,153
2020-05-29,746,12,576,158
2020-05-30,757,12,600,145
2020-05-31,783,12,605,166
2020-06-01,794,12,624,158
2020-06-02,796,13,634,149
