Day,Confirmed,Deaths,Recovered,Active
2020-03-14,1,0,0,1
2020-03-15,1,0,0,1
2020-03-16,2,1,0,1
2020-03-17,6,1,0,5
2020-03-18,6,1,0,5
2020-03-19,9,1,0,8
2020-03-20,12,1,0,11
2020-03-21,17,1,0,16
2020-03-22,19,1,0,18
2020-03-23,20,1,0,19
2020-03-24,21,1,0,20
2020-03-25,24,1,4,19
2020-03-26,25,1,4,20
2020-03-27,28,1,4,23
2020-03-28,34,1,10,23
2020-03-29,34,1,10,23
2020-03-30,36,1,10,25
2020-03-31,38,1,12,25
2020-04-01,39,1,12,26
2020-04-02,47,1,12,34
2020-04-03,50,1,12,37
2020-04-04,61,2,15,44
2020-04-05,61,2,15,44
2020-04-06,70,3,15,52
2020-04-07,77,3,17,57
2020-04-08,87,3,17,67
2020-04-09,95,3,17,75
2020-04-10,126,3,17,106
2020-04-11,137,3,19,115
2020-04-12,155,5,19,131
2020-04-13,156,5,19,132
2020-04-14,167,5,19,143
2020-04-15,180,5,19,156
2020-04-16,196,5,19,172
2020-04-17,214,7,21,186
2020-04-18,235,7,21,207
2020-04-19,257,7,21,229
2020-04-20,289,7,21,261
2020-04-21,294,7,24,263
2020-04-22,316,8,24,284
2020-04-23,384,11,30,343
2020-04-24,430,11,30,389
2020-04-25,473,13,45,415
2020-04-26,500,15,49,436
2020-04-27,530,15,49,466
2020-04-28,530,15,49,466
2020-04-29,557,16,62,479
2020-04-30,599,16,66,517
2020-05-01,644,16,72,556
2020-05-02,688,17,72,599
2020-05-03,703,17,72,614
2020-05-04,730,19,79,632
2020-05-05,763,19,79,665
2020-05-06,798,21,86,691
2020-05-07,832,23,90,719
2020-05-08,900,24,101,775
2020-05-09,967,24,104,839
2020-05-10,1052,26,110,916
2020-05-11,1114,26,111,977
2020-05-12,1199,27,120,1052
2020-05-13,1342,29,121,1192
2020-05-14,1518,29,129,1360
2020-05-15,1643,30,135,1478
2020-05-16,1763,33,138,1592
2020-05-17,1763,33,138,1592
2020-05-18,1912,35,138,1739
2020-05-19,2133,43,155,1935
2020-05-20,2265,45,159,2061
2020-05-21,2512,48,222,2242
2020-05-22,2743,51,222,2470
2020-05-23,3054,55,244,2755
2020-05-24,3424,58,258,3108
2020-05-25,3760,59,274,3427
2020-05-26,3954,63,289,3602
2020-05-27,4145,68,493,3584
2020-05-28,4348,80,565,3703
2020-05-29,4607,90,648,3869
2020-05-30,4739,102,706,3931
2020-05-31,5087,108,735,4244
2020-06-01,5336,116,795,4425
2020-06-02,5586,123,824,4639
2020-06-03,5760,143,929,4688
2020-06-04,6154,158,979,5017
2020-06-05,6485,216,1053,5216
2020-06-06,6792,230,1133,5429
2020-06-07,7055,252,1261,5542
2020-06-08,7502,267,1323,5912
2020-06-09,7866,289,1413,6164
2020-06-10,8221,316,1504,6401
2020-06-11,8561,334,1567,6660
2020-06-12,8982,351,1702,6929
2020-06-13,9491,367,1804,7320
2020-06-14,9845,384,1886,7575
2020-06-15,10272,399,1966,7907
2020-06-16,10706,418,2096,8192
2020-06-17,11251,432,2200,8619
2020-06-18,11868,449,2290,9129
2020-06-19,12509,483,2419,9607
2020-06-20,12755,514,2558,9683
2020-06-21,13145,531,2711,9903
2020-06-22,13769,547,2818,10404
2020-06-23,14540,582,2897,11061
2020-06-24,14819,601,2930,11288
2020-06-25,15619,623,2949,12047
2020-06-26,15828,672,3028,12128
2020-06-27,16397,706,3123,12568
2020-06-28,16930,727,3152,13051
2020-06-29,17409,746,3170,13493
2020-06-30,18096,773,3194,14129
2020-07-01,19011,817,3231,14963
2020-07-02,20072,843,3279,15950
2020-07-03,21293,880,3315,17098
2020-07-04,22501,920,3330,18251
2020-07-05,23248,947,3382,18919
2020-07-06,23972,981,3429,19562
2020-07-07,24787,1004,3575,20208
2020-07-08,25411,1053,3718,20640
2020-07-09,26658,1092,3797,21769
2020-07-10,27619,1139,4024,22456
2020-07-11,28598,1172,4073,23353
2020-07-12,29355,1219,4214,23922
2020-07-13,29742,1244,4321,24177
2020-07-14,30872,1302,4453,25117
2020-07-15,32074,1350,4624,26100
