Day,Confirmed,Deaths,Recovered,Active
2020-03-25,2,0,0,2
2020-03-26,2,0,0,2
2020-03-27,2,0,0,2
2020-03-28,2,0,0,2
2020-03-29,2,0,0,2
2020-03-30,8,0,0,8
2020-03-31,8,0,0,8
2020-04-01,9,0,0,9
2020-04-02,9,0,0,9
2020-04-03,15,0,0,15
2020-04-04,18,0,0,18
2020-04-05,18,0,0,18
2020-04-06,18,0,0,18
2020-04-07,33,0,0,33
2020-04-08,33,0,0,33
2020-04-09,36,0,0,36
2020-04-10,36,0,0,36
2020-04-11,38,0,0,38
2020-04-12,38,0,0,38
2020-04-13,38,0,0,38
2020-04-14,38,0,0,38
2020-04-15,43,0,0,43
2020-04-16,43,0,0,43
2020-04-17,43,0,0,43
2020-04-18,46,0,0,46
2020-04-19,50,0,3,47
2020-04-20,50,0,3,47
2020-04-21,50,0,3,47
2020-04-22,50,0,3,47
2020-04-23,50,0,3,47
2020-04-24,52,0,3,49
2020-04-25,52,0,3,49
2020-04-26,53,1,3,49
2020-04-27,73,1,18,54
2020-04-28,73,1,18,54
2020-04-29,205,1,19,185
2020-04-30,205,1,19,185
2020-05-01,257,1,19,237
2020-05-02,257,1,19,237
2020-05-03,257,1,19,237
2020-05-04,413,1,19,393
2020-05-05,413,1,19,393
2020-05-06,475,2,24,449
2020-05-07,564,2,25,537
2020-05-08,594,2,25,567
2020-05-09,641,3,25,613
2020-05-10,726,3,26,697
2020-05-11,761,3,26,732
2020-05-12,820,3,26,791
2020-05-13,836,3,26,807
2020-05-14,913,3,26,884
2020-05-15,913,3,26,884
2020-05-16,969,4,26,939
2020-05-17,990,4,26,960
2020-05-18,1032,4,38,990
2020-05-19,1038,6,42,990
2020-05-20,1089,6,42,1041
2020-05-21,1109,6,42,1061
2020-05-22,1114,6,42,1066
2020-05-23,1114,6,42,1066
2020-05-24,1114,6,42,1066
2020-05-25,1178,7,42,1129
2020-05-26,1178,7,42,1129
2020-05-27,1195,7,42,1146
2020-05-28,1195,8,42,1145
2020-05-29,1256,8,42,1206
2020-05-30,1256,8,42,1206
2020-05-31,1256,8,42,1206
2020-06-01,1339,8,53,1278
2020-06-02,1339,8,53,1278
2020-06-03,1339,8,53,1278
2020-06-04,1339,8,53,1278
2020-06-05,1368,12,153,1203
2020-06-06,1368,12,153,1203
2020-06-07,1368,12,153,1203
2020-06-08,1389,12,153,1224
2020-06-09,1389,12,153,1224
2020-06-10,1389,12,153,1224
2020-06-11,1389,12,153,1224
2020-06-12,1460,15,153,1292
2020-06-13,1460,15,153,1292
2020-06-14,1460,15,153,1292
2020-06-15,1492,15,153,1324
2020-06-16,1492,15,153,1324
2020-06-17,1492,15,153,1324
2020-06-18,1492,15,153,1324
2020-06-19,1541,17,153,1371
2020-06-20,1541,17,153,1371
2020-06-21,1541,17,153,1371
2020-06-22,1556,19,191,1346
2020-06-23,1556,19,191,1346
2020-06-24,1556,19,191,1346
2020-06-25,1556,19,191,1346
2020-06-26,1614,22,191,1401
2020-06-27,1614,22,317,1275
2020-06-28,1614,22,317,1275
2020-06-29,1654,24,317,1313
2020-06-30,1654,24,317,1313
2020-07-01,1654,24,317,1313
2020-07-02,1654,24,317,1313
2020-07-03,1765,25,676,1064
2020-07-04,1765,25,676,1064
2020-07-05,1765,25,676,1064
2020-07-06,1790,25,760,1005
2020-07-07,1790,25,760,1005
2020-07-08,1790,25,760,1005
2020-07-09,1790,25,760,1005
2020-07-10,1842,26,773,1043
