Day,Confirmed,Deaths,Recovered,Active
2020-03-04,2,0,0,2
2020-03-05,2,0,0,2
2020-03-06,2,0,0,2
2020-03-07,4,0,0,4
2020-03-08,7,0,0,7
2020-03-09,9,0,0,9
2020-03-10,9,0,0,9
2020-03-11,13,0,0,13
2020-03-12,13,0,0,13
2020-03-13,19,0,0,19
2020-03-14,30,0,1,29
2020-03-15,32,1,1,30
2020-03-16,39,1,1,37
2020-03-17,50,1,2,47
2020-03-18,58,1,2,55
2020-03-19,73,1,2,70
2020-03-20,85,3,2,80
2020-03-21,103,4,7,92
2020-03-22,131,6,16,109
2020-03-23,167,7,16,144
2020-03-24,187,9,21,157
2020-03-25,226,10,21,195
2020-03-26,261,10,28,223
2020-03-27,300,10,34,256
2020-03-28,343,11,34,298
2020-03-29,408,13,34,361
2020-03-30,447,15,34,398
2020-03-31,492,16,37,439
2020-04-01,525,20,40,465
2020-04-02,585,21,42,522
2020-04-03,623,26,43,554
2020-04-04,678,32,58,588
2020-04-05,733,34,66,633
2020-04-06,744,38,67,639
2020-04-07,817,47,71,699
2020-04-08,895,58,94,743
2020-04-09,980,66,96,818
2020-04-10,1190,77,112,1001
2020-04-11,1310,85,115,1110
2020-04-12,1410,99,118,1193
2020-04-13,1458,109,120,1229
2020-04-14,1512,122,122,1268
2020-04-15,1579,134,192,1253
2020-04-16,1652,142,199,1311
2020-04-17,1763,156,207,1400
2020-04-18,1834,172,231,1431
2020-04-19,1916,189,250,1477
2020-04-20,1984,199,267,1518
2020-04-21,2098,213,287,1598
2020-04-22,2168,225,295,1648
2020-04-23,2284,239,390,1655
2020-04-24,2443,262,458,1723
2020-04-25,2443,262,458,1723
2020-04-26,2500,272,485,1743
2020-04-27,2583,280,498,1805
2020-04-28,2649,291,516,1842
2020-04-29,2727,300,536,1891
2020-04-30,2775,312,581,1882
2020-05-01,2863,323,609,1931
2020-05-02,2942,335,625,1982
2020-05-03,2998,340,629,2029
2020-05-04,3035,351,630,2054
2020-05-05,3065,363,709,1993
2020-05-06,3111,373,759,1979
2020-05-07,3150,383,801,1966
2020-05-08,3178,392,865,1921
2020-05-09,3213,405,904,1904
2020-05-10,3263,413,933,1917
2020-05-11,3284,421,958,1905
2020-05-12,3313,425,1007,1881
2020-05-13,3341,430,1102,1809
2020-05-14,3380,436,1169,1775
2020-05-15,3417,442,1287,1688
2020-05-16,3473,448,1371,1654
2020-05-17,3509,451,1396,1662
2020-05-18,3535,462,1400,1673
2020-05-19,3556,467,1412,1677
2020-05-20,3598,470,1454,1674
2020-05-21,3641,473,1509,1659
2020-05-22,3678,476,1587,1615
2020-05-23,3713,482,1655,1576
2020-05-24,3741,486,1690,1565
2020-05-25,3756,491,1711,1554
2020-05-26,3771,499,1836,1436
2020-05-27,3793,505,1856,1432
2020-05-28,3816,509,1996,1311
2020-05-29,3841,517,2024,1300
2020-05-30,3867,524,2142,1201
2020-05-31,3876,526,2147,1203
2020-06-01,3892,527,2156,1209
2020-06-02,3921,532,2160,1229
2020-06-03,3931,534,2190,1207
2020-06-04,3954,539,2205,1210
2020-06-05,3970,542,2245,1183
2020-06-06,3990,545,2279,1166
2020-06-07,4008,546,2279,1183
2020-06-08,4014,548,2284,1182
2020-06-09,4017,550,2324,1143
2020-06-10,4027,551,2355,1121
2020-06-11,4039,553,2391,1095
2020-06-12,4053,555,2447,1051
2020-06-13,4064,559,2476,1029
2020-06-14,4069,562,2482,1025
2020-06-15,4076,563,2485,1028
2020-06-16,4077,565,2516,996
2020-06-17,4078,567,2547,964
2020-06-18,4079,568,2564,947
2020-06-19,4081,568,2581,932
2020-06-20,4086,570,2585,931
2020-06-21,4094,570,2589,935
2020-06-22,4102,572,2590,940
2020-06-23,4107,573,2600,934
2020-06-24,4114,576,2618,920
2020-06-25,4123,577,2640,906
2020-06-26,4127,578,2663,886
2020-06-27,4138,578,2681,879
2020-06-28,4142,581,2685,876
2020-06-29,4145,585,2685,875
2020-06-30,4155,585,2692,878
2020-07-01,4157,586,2714,857
2020-07-02,4166,587,2721,858
2020-07-03,4172,588,2752,832
2020-07-04,4174,589,2784,801
2020-07-05,4183,589,2811,783
2020-07-06,4189,589,2860,740
2020-07-07,4205,589,2874,742
2020-07-08,4210,589,2885,736
2020-07-09,4220,591,2887,742
2020-07-10,4223,593,2941,689
2020-07-11,4229,595,2974,660
2020-07-12,4234,595,3036,603
2020-07-13,4247,595,3073,579
2020-07-14,4258,595,3106,557
2020-07-15,4263,595,3126,542
2020-07-16,4279,595,3156,528
2020-07-17,4293,595,3220,478
2020-07-18,4315,596,3222,497
2020-07-19,4333,596,3223,514
2020-07-20,4339,596,3232,511
2020-07-21,4347,596,3257,494
2020-07-22,4366,596,3283,487
2020-07-23,4380,596,3300,484
2020-07-24,4398,596,3312,490
2020-07-25,4424,596,3324,504
2020-07-26,4435,596,3329,510
2020-07-27,4448,596,3329,523
2020-07-28,4456,596,3331,529
2020-07-29,4465,596,3339,530
2020-07-30,4484,596,3346,542
2020-07-31,4505,596,3353,556
2020-08-01,4526,597,3364,565
2020-08-02,4535,597,3389,549
2020-08-03,4544,597,3413,534
2020-08-04,4553,598,3415,540
2020-08-05,4564,599,3431,534
2020-08-06,4597,600,3463,534
2020-08-07,4621,602,3464,555
2020-08-08,4653,602,3491,560
2020-08-09,4696,602,3499,595
2020-08-10,4731,605,3525,601
2020-08-11,4746,605,3527,614
2020-08-12,4768,605,3529,634
2020-08-13,4813,607,3561,645
2020-08-14,4853,607,3590,656
2020-08-15,4877,607,3606,664
2020-08-16,4916,608,3623,685
2020-08-17,4946,608,3630,708
2020-08-18,4970,609,3631,730
