Day,Confirmed,Deaths,Recovered,Active
2020-01-30,1,0,0,1
2020-01-31,1,0,0,1
2020-02-01,1,0,0,1
2020-02-02,2,0,0,2
2020-02-03,3,0,0,3
2020-02-04,3,0,0,3
2020-02-05,3,0,0,3
2020-02-06,3,0,0,3
2020-02-07,3,0,0,3
2020-02-08,3,0,0,3
2020-02-09,3,0,0,3
2020-02-10,3,0,0,3
2020-02-11,3,0,0,3
2020-02-12,3,0,0,3
2020-02-13,3,0,0,3
2020-02-14,3,0,0,3
2020-02-15,3,0,0,3
2020-02-16,3,0,3,0
2020-02-17,3,0,3,0
2020-02-18,3,0,3,0
2020-02-19,3,0,3,0
2020-02-20,3,0,3,0
2020-02-21,3,0,3,0
2020-02-22,3,0,3,0
2020-02-23,3,0,3,0
2020-02-24,3,0,3,0
2020-02-25,3,0,3,0
2020-02-26,3,0,3,0
2020-02-27,3,0,3,0
2020-02-28,3,0,3,0
2020-02-29,3,0,3,0
2020-03-01,3,0,3,0
2020-03-02,5,0,3,2
2020-03-03,5,0,3,2
2020-03-04,28,0,3,25
2020-03-05,30,0,3,27
2020-03-06,31,0,3,28
2020-03-07,34,0,3,31
2020-03-08,39,0,3,36
2020-03-09,43,0,3,40
2020-03-10,56,0,4,52
2020-03-11,62,1,4,57
2020-03-12,73,1,4,68
2020-03-13,82,2,4,76
2020-03-14,102,2,4,96
2020-03-15,113,2,13,98
2020-03-16,119,2,13,104
2020-03-17,142,3,14,125
2020-03-18,156,3,14,139
2020-03-19,194,4,15,175
2020-03-20,244,5,20,219
2020-03-21,330,4,23,303
2020-03-22,396,7,24,365
2020-03-23,499,10,34,455
2020-03-24,536,10,40,486
2020-03-25,657,12,43,602
2020-03-26,727,20,45,662
2020-03-27,887,20,73,794
2020-03-28,987,24,84,879
2020-03-29,1024,27,95,902
2020-03-30,1251,32,102,1117
2020-03-31,1397,35,123,1239
2020-04-01,1998,58,148,1792
2020-04-02,2543,72,191,2280
2020-04-03,2567,72,192,2303
2020-04-04,3082,86,229,2767
2020-04-05,3588,99,229,3260
2020-04-06,4778,136,375,4267
2020-04-07,5311,150,421,4740
2020-04-08,5916,178,506,5232
2020-04-09,6725,226,620,5879
2020-04-10,7598,246,774,6578
2020-04-11,8446,288,969,7189
2020-04-12,9205,331,1080,7794
2020-04-13,10453,358,1181,8914
2020-04-14,11487,393,1359,9735
2020-04-15,12322,405,1432,10485
2020-04-16,13430,448,1768,11214
2020-04-17,14352,486,2041,11825
2020-04-18,15722,521,2463,12738
2020-04-19,17615,559,2854,14202
2020-04-20,18539,592,3273,14674
2020-04-21,20080,645,3975,15460
2020-04-22,21370,681,4370,16319
2020-04-23,23077,721,5012,17344
2020-04-24,24530,780,5498,18252
2020-04-25,26283,825,5939,19519
2020-04-26,27890,881,6523,20486
2020-04-27,29451,939,7137,21375
2020-04-28,31324,1008,7747,22569
2020-04-29,33062,1079,8437,23546
2020-04-30,34863,1154,9068,24641
2020-05-01,37257,1223,10007,26027
2020-05-02,39699,1323,10819,27557
2020-05-03,42505,1391,11775,29339
2020-05-04,46437,1566,12847,32024
2020-05-05,49400,1693,14142,33565
2020-05-06,52987,1785,15331,35871
2020-05-07,56351,1889,16776,37686
2020-05-08,59695,1985,17887,39823
2020-05-09,62808,2101,19301,41406
2020-05-10,67161,2212,20969,43980
2020-05-11,70768,2294,22549,45925
2020-05-12,74292,2415,24420,47457
2020-05-13,78055,2551,26400,49104
2020-05-14,81997,2649,27969,51379
2020-05-15,85784,2753,30258,52773
2020-05-16,90648,2871,34224,53553
2020-05-17,95698,3025,36795,55878
2020-05-18,100328,3156,39233,57939
2020-05-19,106475,3302,42309,60864
2020-05-20,112028,3434,45422,63172
2020-05-21,118226,3584,48553,66089
2020-05-22,124794,3726,51824,69244
2020-05-23,131423,3868,54385,73170
2020-05-24,138536,4024,57692,76820
2020-05-25,144950,4172,60706,80072
2020-05-26,150793,4344,64277,82172
2020-05-27,158086,4534,67749,85803
2020-05-28,165386,4711,70920,89755
2020-05-29,173491,4980,82627,85884
2020-05-30,181827,5185,86936,89706
2020-05-31,190609,5408,91852,93349
2020-06-01,198370,5608,95754,97008
2020-06-02,207191,5829,100285,101077
2020-06-03,216824,6088,104071,106665
2020-06-04,226713,6363,108450,111900
2020-06-05,236184,6649,113233,116302
2020-06-06,246622,6946,118695,120981
2020-06-07,257486,7207,123848,126431
2020-06-08,265928,7473,129095,129360
2020-06-09,276146,7750,134670,133726
