Day,Confirmed,Deaths,Recovered,Active
2020-02-24,1,0,0,1
2020-02-25,1,0,0,1
2020-02-26,5,0,0,5
2020-02-27,7,0,0,7
2020-02-28,7,0,0,7
2020-02-29,13,0,0,13
2020-03-01,19,0,0,19
2020-03-02,26,0,0,26
2020-03-03,32,0,0,32
2020-03-04,35,2,0,33
2020-03-05,35,2,0,33
2020-03-06,40,3,0,37
2020-03-07,54,4,0,50
2020-03-08,60,6,0,54
2020-03-09,60,6,9,45
2020-03-10,71,7,3,61
2020-03-11,71,7,15,49
2020-03-12,71,8,15,48
2020-03-13,101,9,24,68
2020-03-14,110,10,26,74
2020-03-15,116,10,26,80
2020-03-16,124,10,26,88
2020-03-17,154,11,32,111
2020-03-18,164,12,43,109
2020-03-19,192,13,43,136
2020-03-20,208,17,49,142
2020-03-21,214,17,51,146
2020-03-22,233,20,57,156
2020-03-23,266,23,62,181
2020-03-24,316,27,75,214
2020-03-25,346,29,103,214
2020-03-26,382,36,105,241
2020-03-27,458,40,122,296
2020-03-28,506,42,131,333
2020-03-29,547,42,143,362
2020-03-30,630,46,152,432
2020-03-31,694,50,170,474
2020-04-01,728,52,182,494
2020-04-02,772,54,202,516
2020-04-03,820,54,226,540
2020-04-04,878,56,259,563
2020-04-05,961,61,279,621
2020-04-06,1031,64,344,623
2020-04-07,1122,65,373,684
2020-04-08,1202,69,452,681
2020-04-09,1232,69,496,667
2020-04-10,1279,70,550,659
2020-04-11,1318,72,601,645
2020-04-12,1352,76,640,636
2020-04-13,1378,78,717,583
2020-04-14,1400,78,766,556
2020-04-15,1415,79,812,524
2020-04-16,1434,80,856,498
2020-04-17,1482,81,906,495
2020-04-18,1513,82,953,478
2020-04-19,1539,82,1009,448
2020-04-20,1574,82,1043,449
2020-04-21,1602,83,1096,423
2020-04-22,1631,83,1146,402
2020-04-23,1677,83,1171,423
2020-04-24,1708,86,1204,418
2020-04-25,1763,86,1224,453
2020-04-26,1820,87,1263,470
2020-04-27,1847,88,1286,473
2020-04-28,1928,90,1319,519
2020-04-29,2003,92,1346,565
2020-04-30,2085,93,1375,617
2020-05-01,2153,94,1414,645
2020-05-02,2219,95,1473,651
2020-05-03,2296,97,1490,709
2020-05-04,2346,98,1544,704
2020-05-05,2431,102,1571,758
2020-05-06,2480,102,1602,776
2020-05-07,2543,102,1626,815
2020-05-08,2603,104,1661,838
2020-05-09,2679,107,1702,870
2020-05-10,2767,109,1734,924
2020-05-11,2818,110,1790,918
2020-05-12,2913,112,1903,898
2020-05-13,3032,115,1966,951
2020-05-14,3143,115,2028,1000
2020-05-15,3193,117,2089,987
2020-05-16,3260,121,2126,1013
2020-05-17,3404,123,2218,1063
2020-05-18,3554,127,2310,1117
2020-05-19,3611,131,2366,1114
2020-05-20,3724,134,2438,1152
2020-05-21,3877,140,2483,1254
2020-05-22,3964,147,2532,1285
2020-05-23,4272,152,2585,1535
2020-05-24,4469,160,2738,1571
2020-05-25,4632,163,2811,1658
2020-05-26,4848,169,2852,1827
2020-05-27,5135,175,2904,2056
2020-05-28,5457,179,2971,2307
2020-05-29,5873,185,3044,2644
