Day,Confirmed,Deaths,Recovered,Active
2020-02-26,2,0,0,2
2020-02-27,3,0,1,2
2020-02-28,4,0,1,3
2020-02-29,7,0,1,6
2020-03-01,10,0,1,9
2020-03-02,10,0,1,9
2020-03-03,12,0,1,11
2020-03-04,15,0,1,14
2020-03-05,16,0,1,15
2020-03-06,21,0,2,19
2020-03-07,21,0,2,19
2020-03-08,39,0,2,37
2020-03-09,39,0,2,37
2020-03-10,58,0,4,54
2020-03-11,109,0,4,105
2020-03-12,131,0,4,127
2020-03-13,161,0,4,157
2020-03-14,193,0,4,189
2020-03-15,251,0,4,247
2020-03-16,255,0,4,251
2020-03-17,337,0,11,326
2020-03-18,433,0,11,422
2020-03-19,677,0,11,666
2020-03-20,705,0,14,691
2020-03-21,883,1,36,846
2020-03-22,1071,1,37,1033
2020-03-23,1442,1,41,1400
2020-03-24,1930,3,53,1874
2020-03-25,2369,5,58,2306
2020-03-26,2693,8,68,2617
2020-03-27,3035,12,79,2944
2020-03-28,3619,12,89,3518
2020-03-29,4247,15,132,4100
2020-03-30,4695,16,161,4518
2020-03-31,5358,20,224,5114
2020-04-01,6092,26,241,5825
2020-04-02,6857,36,338,6483
2020-04-03,7428,40,403,6985
2020-04-04,7851,44,427,7380
2020-04-05,8430,49,477,7904
2020-04-06,8904,57,585,8262
2020-04-07,9248,65,770,8413
2020-04-08,9404,73,801,8530
2020-04-09,9968,86,1011,8871
2020-04-10,10408,95,1183,9130
2020-04-11,10743,101,1341,9301
2020-04-12,11145,103,1627,9415
2020-04-13,11586,116,1855,9615
2020-04-14,12046,123,2195,9728
2020-04-15,12501,130,2563,9808
2020-04-16,12758,142,2818,9798
2020-04-17,12982,151,3126,9705
2020-04-18,13265,164,3456,9645
2020-04-19,13491,172,3754,9565
2020-04-20,13713,177,4049,9487
2020-04-21,13942,184,4507,9251
2020-04-22,14498,189,5215,9094
2020-04-23,14803,192,5611,9000
2020-04-24,15058,194,6003,8861
2020-04-25,15298,199,6435,8664
2020-04-26,15443,201,6731,8511
2020-04-27,15555,204,7200,8151
2020-04-28,15728,210,7746,7772
2020-04-29,15834,215,8233,7386
2020-04-30,15946,222,8561,7163
2020-05-01,16101,225,9156,6720
2020-05-02,16185,229,9593,6363
2020-05-03,16208,232,9749,6227
2020-05-04,16246,235,10064,5947
2020-05-05,16289,238,10465,5586
2020-05-06,16310,239,10637,5434
2020-05-07,16381,240,10873,5268
2020-05-08,16436,245,11229,4962
2020-05-09,16454,247,11376,4831
2020-05-10,16477,252,11430,4795
2020-05-11,16506,258,11843,4405
2020-05-12,16529,260,12083,4186
2020-05-13,16548,264,12232,4052
2020-05-14,16579,265,12521,3793
2020-05-15,16589,266,12587,3736
2020-05-16,16608,268,12855,3485
2020-05-17,16617,272,12942,3403
2020-05-18,16643,276,13253,3114
2020-05-19,16659,278,13435,2946
2020-05-20,16667,279,13504,2884
2020-05-21,16683,279,13724,2680
2020-05-22,16690,279,13915,2496
2020-05-23,16712,279,14090,2343
2020-05-24,16717,279,14153,2285
2020-05-25,16734,281,14307,2146
2020-05-26,16757,281,14457,2019
2020-05-27,16793,281,14570,1942
2020-05-28,16872,284,14679,1909
2020-05-29,16987,284,14776,1927
2020-05-30,17012,284,14811,1917
2020-05-31,17071,285,14812,1974
2020-06-01,17169,285,14878,2006
2020-06-02,17285,290,14940,2055
2020-06-03,17377,291,14983,2103
2020-06-04,17495,291,15013,2191
2020-06-05,17562,291,15026,2245
2020-06-06,17752,295,15042,2415
2020-06-07,17863,298,15091,2474
2020-06-08,18032,298,15102,2632
2020-06-09,18180,299,15159,2722
2020-06-10,18355,299,15168,2888
2020-06-11,18569,300,15250,3019
2020-06-12,18795,300,15288,3207
2020-06-13,18972,300,15357,3315
2020-06-14,19055,300,15375,3380
2020-06-15,19237,302,15415,3520
2020-06-16,19495,302,15449,3744
2020-06-17,19783,303,15459,4021
2020-06-18,20036,303,15518,4215
2020-06-19,20339,304,15586,4449
2020-06-20,20633,305,15586,4742
2020-06-21,20778,306,15694,4778
