Day,Confirmed,Deaths,Recovered,Active
2020-03-13,1,0,0,1
2020-03-14,1,0,0,1
2020-03-15,3,0,0,3
2020-03-16,3,0,0,3
2020-03-17,3,0,0,3
2020-03-18,3,0,0,3
2020-03-19,7,0,0,7
2020-03-20,7,0,0,7
2020-03-21,7,0,0,7
2020-03-22,15,0,0,15
2020-03-23,16,0,0,16
2020-03-24,25,0,0,25
2020-03-25,28,0,1,27
2020-03-26,31,1,1,29
2020-03-27,31,1,1,29
2020-03-28,38,1,1,36
2020-03-29,42,1,1,40
2020-03-30,50,1,1,48
2020-03-31,59,1,1,57
2020-04-01,81,1,3,77
2020-04-02,110,3,4,103
2020-04-03,122,4,4,114
2020-04-04,126,4,4,118
2020-04-05,142,4,4,134
2020-04-06,158,6,4,148
2020-04-07,172,6,7,159
2020-04-08,179,6,9,164
2020-04-09,184,7,12,165
2020-04-10,189,7,22,160
2020-04-11,191,7,24,160
2020-04-12,197,8,25,164
2020-04-13,208,9,40,159
2020-04-14,216,9,41,166
2020-04-15,225,10,53,162
2020-04-16,234,11,53,170
2020-04-17,246,11,53,182
2020-04-18,262,12,60,190
2020-04-19,270,14,67,189
2020-04-20,281,14,69,198
2020-04-21,296,14,74,208
2020-04-22,303,14,74,215
2020-04-23,320,14,89,217
2020-04-24,336,14,94,228
2020-04-25,343,14,98,231
2020-04-26,355,14,106,235
2020-04-27,363,14,114,235
2020-04-28,374,14,124,236
2020-04-29,384,15,129,240
2020-04-30,396,17,144,235
2020-05-01,411,21,150,240
2020-05-02,435,22,152,261
2020-05-03,465,24,167,274
2020-05-04,490,24,173,293
2020-05-05,535,24,182,329
2020-05-06,582,26,190,366
2020-05-07,607,29,197,381
2020-05-08,621,29,202,390
2020-05-09,649,30,207,412
2020-05-10,672,32,239,401
2020-05-11,700,33,251,416
2020-05-12,715,36,259,420
2020-05-13,737,40,281,416
2020-05-14,758,42,284,432
2020-05-15,781,45,284,452
2020-05-16,830,50,301,479
2020-05-17,887,50,313,524
2020-05-18,912,50,336,526
2020-05-19,963,50,358,555
2020-05-20,1029,50,366,613
2020-05-21,1109,50,375,684
2020-05-22,1161,50,380,731
2020-05-23,1192,50,380,762
2020-05-24,1214,51,383,780
2020-05-25,1286,52,402,832
2020-05-26,1348,52,405,891
2020-05-27,1471,55,408,1008
2020-05-28,1618,58,421,1139
2020-05-29,1745,62,438,1245
2020-05-30,1888,63,464,1361
2020-05-31,1962,64,478,1420
2020-06-01,2021,69,482,1470
2020-06-02,2093,71,499,1523
2020-06-03,2216,74,553,1589
2020-06-04,2340,78,592,1670
2020-06-05,2474,79,643,1752
2020-06-06,2600,83,706,1811
2020-06-07,2767,84,752,1931
2020-06-08,2872,85,849,1938
2020-06-09,2989,88,873,2028
2020-06-10,3094,89,1048,1957
2020-06-11,3215,92,1092,2031
2020-06-12,3305,96,1164,2045
2020-06-13,3457,100,1221,2136
2020-06-14,3594,103,1253,2238
2020-06-15,3727,104,1286,2337
2020-06-16,3860,105,1328,2427
2020-06-17,4044,107,1353,2584
2020-06-18,4257,117,1459,2681
2020-06-19,4374,119,1550,2705
2020-06-20,4478,121,1586,2771
2020-06-21,4738,123,1607,3008
2020-06-22,4797,125,1680,2992
2020-06-23,4952,128,1782,3042
2020-06-24,5206,130,1823,3253
2020-06-25,5384,132,1857,3395
2020-06-26,5533,137,1905,3491
2020-06-27,5811,141,1936,3734
2020-06-28,6070,143,1971,3956
2020-06-29,6190,144,2013,4033
2020-06-30,6366,148,2039,4179
2020-07-01,6673,149,2089,4435
2020-07-02,6941,152,2109,4680
2020-07-03,7188,154,2148,4886
2020-07-04,7577,159,2236,5182
2020-07-05,7886,160,2287,5439
2020-07-06,8067,164,2414,5489
2020-07-07,8250,167,2504,5579
2020-07-08,8528,169,2593,5766
2020-07-09,8975,173,2657,6145
2020-07-10,9448,181,2733,6534
2020-07-11,9726,184,2832,6710
2020-07-12,10105,185,2881,7039
2020-07-13,10294,197,2946,7151
2020-07-14,10791,202,3017,7572
2020-07-15,11252,209,3068,7975
2020-07-16,11673,217,3638,7818
2020-07-17,12062,222,3983,7857
2020-07-18,12750,225,4440,8085
