Day,Confirmed,Deaths,Recovered,Active
2020-02-28,1,0,0,1
2020-02-29,1,0,0,1
2020-03-01,1,0,0,1
2020-03-02,1,0,0,1
2020-03-03,1,0,0,1
2020-03-04,1,0,0,1
2020-03-05,1,0,0,1
2020-03-06,1,0,0,1
2020-03-07,1,0,0,1
2020-03-08,1,0,0,1
2020-03-09,1,0,0,1
2020-03-10,1,0,0,1
2020-03-11,3,0,0,3
2020-03-12,3,0,0,3
2020-03-13,6,0,0,6
2020-03-14,8,0,0,8
2020-03-15,12,0,1,11
2020-03-16,17,0,1,16
2020-03-17,25,0,1,24
2020-03-18,27,0,1,26
2020-03-19,36,0,1,35
2020-03-20,49,0,1,48
2020-03-21,83,1,1,81
2020-03-22,129,1,1,127
2020-03-23,179,1,1,177
2020-03-24,209,2,1,206
2020-03-25,274,4,1,269
2020-03-26,299,4,1,294
2020-03-27,358,5,1,352
2020-03-28,394,7,1,386
2020-03-29,460,7,1,452
2020-03-30,491,7,7,477
2020-03-31,537,8,7,522
2020-04-01,581,8,7,566
2020-04-02,649,9,7,633
2020-04-03,696,9,7,680
2020-04-04,771,11,7,753
2020-04-05,811,13,7,791
2020-04-06,843,15,8,820
2020-04-07,880,15,8,857
2020-04-08,912,15,8,889
2020-04-09,955,16,8,931
2020-04-10,999,22,54,923
2020-04-11,1026,23,54,949
2020-04-12,1053,23,97,933
2020-04-13,1062,24,101,937
2020-04-14,1070,29,101,940
2020-04-15,1091,30,138,923
2020-04-16,1128,32,178,918
2020-04-17,1149,33,210,906
2020-04-18,1239,33,228,978
2020-04-19,1298,35,242,1021
2020-04-20,1326,37,242,1047
2020-04-21,1350,38,298,1014
2020-04-22,1370,38,357,975
2020-04-23,1398,40,399,959
2020-04-24,1410,40,430,940
2020-04-25,1426,41,460,925
2020-04-26,1438,41,467,930
2020-04-27,1449,41,474,934
2020-04-28,1344,44,536,764
2020-04-29,1375,45,563,767
2020-04-30,1385,45,589,751
2020-05-01,1399,45,594,760
2020-05-02,1406,46,632,728
2020-05-03,1410,46,635,729
2020-05-04,1419,46,638,735
2020-05-05,1423,46,678,699
2020-05-06,1428,48,718,662
2020-05-07,1433,49,739,645
2020-05-08,1436,49,765,622
2020-05-09,1444,49,828,567
2020-05-10,1479,50,828,601
2020-05-11,1485,50,833,602
2020-05-12,1491,50,850,591
2020-05-13,1505,54,908,543
2020-05-14,1511,54,934,523
2020-05-15,1523,54,965,504
2020-05-16,1534,55,988,491
2020-05-17,1541,56,997,488
2020-05-18,1547,59,997,491
2020-05-19,1562,60,1025,477
2020-05-20,1577,60,1049,468
2020-05-21,1593,61,1049,483
2020-05-22,1604,61,1111,432
2020-05-23,1616,63,1135,418
2020-05-24,1623,63,1138,422
2020-05-25,1635,63,1138,434
2020-05-26,1639,65,1165,409
2020-05-27,1647,66,1184,397
2020-05-28,1656,68,1193,395
2020-05-29,1662,68,1216,378
2020-05-30,1670,70,1229,371
2020-05-31,1675,70,1236,369
2020-06-01,1678,70,1236,372
2020-06-02,1682,71,1249,362
2020-06-03,1684,71,1260,353
2020-06-04,1687,71,1273,343
2020-06-05,1694,71,1302,321
2020-06-06,1705,71,1321,313
2020-06-07,1714,71,1328,315
2020-06-08,1720,71,1331,318
2020-06-09,1727,72,1338,317
2020-06-10,1733,74,1369,290
2020-06-11,1752,74,1372,306
2020-06-12,1756,74,1400,282
2020-06-13,1763,75,1416,272
2020-06-14,1768,75,1427,266
2020-06-15,1773,76,1429,268
2020-06-16,1776,76,1441,259
2020-06-17,1778,76,1447,255
2020-06-18,1784,76,1449,259
2020-06-19,1792,76,1462,254
2020-06-20,1795,76,1470,249
2020-06-21,1798,76,1475,247
2020-06-22,1801,76,1475,250
2020-06-23,1803,77,1483,243
2020-06-24,1804,78,1484,242
2020-06-25,1806,78,1494,234
2020-06-26,1808,78,1501,229
2020-06-27,1813,78,1503,232
2020-06-28,1815,78,1503,234
2020-06-29,1816,78,1512,226
2020-06-30,1817,78,1515,224
2020-07-01,1818,78,1524,216
2020-07-02,1825,78,1536,211
2020-07-03,1828,79,1539,210
2020-07-04,1831,79,1545,207
2020-07-05,1836,79,1545,212
2020-07-06,1841,79,1547,215
2020-07-07,1844,79,1547,218
2020-07-08,1854,79,1552,223
2020-07-09,1857,79,1564,214
2020-07-10,1861,79,1569,213
2020-07-11,1865,79,1579,207
2020-07-12,1869,79,1571,219
2020-07-13,1874,79,1571,224
2020-07-14,1875,79,1571,225
2020-07-15,1882,79,1582,221
2020-07-16,1902,79,1593,230
2020-07-17,1908,79,1595,234
2020-07-18,1915,80,1600,235
2020-07-19,1932,80,1600,252
2020-07-20,1947,80,1601,266
2020-07-21,1949,80,1601,268
2020-07-22,1951,80,1607,264
2020-07-23,1960,80,1611,269
2020-07-24,1986,80,1616,290
2020-07-25,2001,80,1616,305
2020-07-26,2008,80,1616,312
2020-07-27,2019,80,1620,319
2020-07-28,2027,80,1623,324
2020-07-29,2043,80,1643,320
2020-07-30,2062,80,1643,339
2020-07-31,2075,80,1644,351
2020-08-01,2093,80,1644,369
2020-08-02,2110,80,1644,386
2020-08-03,2120,80,1645,395
2020-08-04,2137,80,1647,410
2020-08-05,2147,81,1650,416
2020-08-06,2171,81,1656,434
2020-08-07,2194,81,1658,455
2020-08-08,2231,81,1668,482
2020-08-09,2252,81,1670,501
2020-08-10,2265,81,1670,514
2020-08-11,2283,81,1679,523
2020-08-12,2309,81,1683,545
2020-08-13,2330,81,1689,560
2020-08-14,2352,81,1691,580
2020-08-15,2386,81,1704,601
2020-08-16,2416,81,1704,631
2020-08-17,2436,81,1705,650
2020-08-18,2474,81,1733,660
2020-08-19,2496,81,1739,676
2020-08-20,2528,82,1747,699
2020-08-21,2564,83,1755,726
2020-08-22,2594,84,1766,744
2020-08-23,2635,84,1766,785
2020-08-24,2673,85,1766,822
2020-08-25,2694,85,1785,824
2020-08-26,2726,85,1794,847
2020-08-27,2762,85,1802,875
2020-08-28,2810,86,1816,908
2020-08-29,2839,86,1833,920
2020-08-30,2874,86,1837,951
2020-08-31,2906,86,1840,980
2020-09-01,2929,86,1857,986
2020-09-02,2958,86,1874,998
2020-09-03,2978,86,1901,991
2020-09-04,3004,86,1920,998
2020-09-05,3040,86,1952,1002
2020-09-06,3083,86,1954,1043
2020-09-07,3100,86,1955,1059
2020-09-08,3131,86,1994,1051
2020-09-09,3163,86,2008,1069
2020-09-10,3199,86,2030,1083
2020-09-11,3243,86,2049,1108
2020-09-12,3296,86,2070,1140
2020-09-13,3335,87,2070,1178
2020-09-14,3386,87,2071,1228
2020-09-15,3397,87,2094,1216
2020-09-16,3442,87,2125,1230
2020-09-17,3504,87,2149,1268
2020-09-18,3565,87,2181,1297
2020-09-19,3664,87,2197,1380
2020-09-20,3744,87,2198,1459
2020-09-21,3814,87,2199,1528
2020-09-22,3859,87,2225,1547
2020-09-23,3932,87,2246,1599
