Day,Confirmed,Deaths,Recovered,Active
2020-02-29,1,0,0,1
2020-03-01,1,0,0,1
2020-03-02,1,0,0,1
2020-03-03,1,0,0,1
2020-03-04,1,0,0,1
2020-03-05,1,0,0,1
2020-03-06,2,0,0,2
2020-03-07,2,0,0,2
2020-03-08,3,0,0,3
2020-03-09,3,0,0,3
2020-03-10,5,0,0,5
2020-03-11,7,0,0,7
2020-03-12,19,0,0,19
2020-03-13,34,0,0,34
2020-03-14,51,1,0,50
2020-03-15,59,1,0,58
2020-03-16,77,1,0,76
2020-03-17,140,1,0,139
2020-03-18,203,2,0,201
2020-03-19,335,4,0,331
2020-03-20,484,4,0,480
2020-03-21,670,8,0,662
2020-03-22,798,8,6,784
2020-03-23,875,8,6,861
2020-03-24,1099,8,6,1085
2020-03-25,1333,8,6,1319
2020-03-26,1453,9,6,1438
2020-03-27,1605,15,40,1550
2020-03-28,1831,18,40,1773
2020-03-29,1950,21,40,1889
2020-03-30,1988,22,40,1926
2020-03-31,2178,23,80,2075
2020-04-01,2319,29,80,2210
2020-04-02,2487,30,80,2377
2020-04-03,2612,31,500,2081
2020-04-04,2729,31,500,2198
2020-04-05,2804,36,500,2268
2020-04-06,2843,41,500,2302
2020-04-07,2970,44,500,2426
2020-04-08,3034,46,500,2488
2020-04-09,3115,52,500,2563
2020-04-10,3223,54,500,2669
2020-04-11,3270,62,500,2708
2020-04-12,3281,66,500,2715
2020-04-13,3292,69,500,2723
2020-04-14,3307,67,500,2740
2020-04-15,3373,69,526,2778
2020-04-16,3444,69,552,2823
2020-04-17,3480,72,579,2829
2020-04-18,3537,72,601,2864
2020-04-19,3550,73,627,2850
2020-04-20,3558,75,637,2846
2020-04-21,3618,78,670,2870
2020-04-22,3654,80,711,2863
2020-04-23,3665,83,728,2854
2020-04-24,3695,85,3007,603
2020-04-25,3711,85,3088,538
2020-04-26,3723,88,3104,531
2020-04-27,3729,88,3123,518
2020-04-28,3741,89,3123,529
