Day,Confirmed,Deaths,Recovered,Active
2020-04-12,9,2,0,7
2020-04-13,9,2,0,7
2020-04-14,9,2,0,7
2020-04-15,9,2,0,7
2020-04-16,9,2,0,7
2020-04-17,9,2,0,7
2020-04-18,9,2,0,7
2020-04-19,9,2,0,7
2020-04-20,9,2,0,7
2020-04-21,9,2,0,7
2020-04-22,9,2,0,7
2020-04-23,9,2,0,7
2020-04-24,9,2,0,7
2020-04-25,9,2,0,7
2020-04-26,9,2,0,7
2020-04-27,9,2,0,7
2020-04-28,9,2,0,7
2020-04-29,9,2,0,7
2020-04-30,9,2,0,7
2020-05-01,9,2,0,7
2020-05-02,9,2,0,7
2020-05-03,9,2,0,7
2020-05-04,9,2,0,7
2020-05-05,9,2,0,7
2020-05-06,9,2,0,7
2020-05-07,9,2,0,7
2020-05-08,9,2,0,7
2020-05-09,9,2,0,7
2020-05-10,9,2,0,7
2020-05-11,9,2,0,7
2020-05-12,9,2,0,7
2020-05-13,9,2,0,7
2020-05-14,9,2,0,7
2020-05-15,9,2,0,7
2020-05-16,9,2,0,7
2020-05-17,9,2,0,7
2020-05-18,9,2,0,7
2020-05-19,9,2,0,7
2020-05-20,9,2,0,7
2020-05-21,9,2,0,7
2020-05-22,9,2,0,7
2020-05-23,9,2,0,7
2020-05-24,9,2,0,7
2020-05-25,9,2,0,7
2020-05-26,9,2,0,7
2020-05-27,9,2,0,7
2020-05-28,9,2,0,7
2020-05-29,9,2,0,7
2020-05-30,9,2,0,7
2020-05-31,9,2,0,7
2020-06-01,9,2,0,7
2020-06-02,9,2,0,7
2020-06-03,9,2,0,7
2020-06-04,9,2,0,7
2020-06-05,9,2,0,7
2020-06-06,9,2,0,7
2020-06-07,9,2,0,7
2020-06-08,9,2,0,7
2020-06-09,9,2,0,7
2020-06-10,9,2,0,7
2020-06-11,9,2,0,7
2020-06-12,9,2,0,7
2020-06-13,9,2,0,7
2020-06-14,9,2,0,7
2020-06-15,9,2,0,7
2020-06-16,9,2,0,7
2020-06-17,9,2,0,7
2020-06-18,9,2,0,7
2020-06-19,9,2,0,7
2020-06-20,9,2,0,7
2020-06-21,9,2,0,7
2020-06-22,9,2,0,7
2020-06-23,9,2,0,7
2020-06-24,9,2,0,7
2020-06-25,9,2,0,7
2020-06-26,9,2,0,7
2020-06-27,9,2,0,7
2020-06-28,9,2,0,7
2020-06-29,9,2,0,7
2020-06-30,9,2,0,7
2020-07-01,9,2,0,7
2020-07-02,9,2,0,7
2020-07-03,9,2,0,7
2020-07-04,9,2,0,7
2020-07-05,9,2,0,7
2020-07-06,9,2,0,7
2020-07-07,9,2,0,7
2020-07-08,9,2,0,7
2020-07-09,9,2,0,7
2020-07-10,9,2,0,7
2020-07-11,9,2,0,7
2020-07-12,9,2,0,7
2020-07-13,9,2,0,7
2020-07-14,9,2,0,7
2020-07-15,9,2,0,7
2020-07-16,9,2,0,7
2020-07-17,9,2,0,7
2020-07-18,9,2,0,7
2020-07-19,9,2,0,7
2020-07-20,9,2,0,7
2020-07-21,9,2,0,7
2020-07-22,9,2,0,7
2020-07-23,9,2,0,7
2020-07-24,9,2,0,7
2020-07-25,9,2,0,7
2020-07-26,9,2,0,7
2020-07-27,9,2,0,7
2020-07-28,9,2,0,7
2020-07-29,9,2,0,7
2020-07-30,9,2,0,7
2020-07-31,9,2,0,7
2020-08-01,9,2,0,7
2020-08-02,9,2,0,7
2020-08-03,9,2,0,7
2020-08-04,9,2,0,7
2020-08-05,9,2,0,7
2020-08-06,9,2,0,7
2020-08-07,9,2,0,7
2020-08-08,9,2,0,7
2020-08-09,9,2,0,7
2020-08-10,9,2,0,7
2020-08-11,9,2,0,7
2020-08-12,9,2,0,7
2020-08-13,9,2,0,7
2020-08-14,9,2,0,7
2020-08-15,9,2,0,7
2020-08-16,9,2,0,7
2020-08-17,9,2,0,7
2020-08-18,9,2,0,7
2020-08-19,9,2,0,7
2020-08-20,9,2,0,7
2020-08-21,9,2,0,7
2020-08-22,9,2,0,7
2020-08-23,9,2,0,7
2020-08-24,9,2,0,7
2020-08-25,9,2,0,7
2020-08-26,9,2,0,7
2020-08-27,9,2,0,7
2020-08-28,9,2,0,7
2020-08-29,9,2,0,7
2020-08-30,9,2,0,7
2020-08-31,9,2,0,7
2020-09-01,9,2,0,7
2020-09-02,9,2,0,7
2020-09-03,9,2,0,7
2020-09-04,9,2,0,7
2020-09-05,9,2,0,7
2020-09-06,9,2,0,7
2020-09-07,9,2,0,7
2020-09-08,9,2,0,7
2020-09-09,9,2,0,7
2020-09-10,9,2,0,7
2020-09-11,9,2,0,7
2020-09-12,9,2,0,7
2020-09-13,9,2,0,7
2020-09-14,9,2,0,7
2020-09-15,9,2,0,7
2020-09-16,9,2,0,7
2020-09-17,9,2,0,7
2020-09-18,9,2,0,7
2020-09-19,9,2,0,7
2020-09-20,9,2,0,7
2020-09-21,9,2,0,7
2020-09-22,9,2,0,7
2020-09-23,9,2,0,7
2020-09-24,9,2,0,7
2020-09-25,9,2,0,7
2020-09-26,9,2,0,7
2020-09-27,9,2,0,7
2020-09-28,9,2,0,7
2020-09-29,9,2,0,7
2020-09-30,9,2,0,7
2020-10-01,9,2,0,7
2020-10-02,9,2,0,7
2020-10-03,9,2,0,7
2020-10-04,9,2,0,7
2020-10-05,9,2,0,7
2020-10-06,9,2,0,7
2020-10-07,9,2,0,7
2020-10-08,9,2,0,7
2020-10-09,9,2,0,7
2020-10-10,9,2,0,7
2020-10-11,9,2,0,7
2020-10-12,9,2,0,7
2020-10-13,9,2,0,7
2020-10-14,9,2,0,7
2020-10-15,9,2,0,7
2020-10-16,9,2,0,7
2020-10-17,9,2,0,7
2020-10-18,9,2,0,7
2020-10-19,9,2,0,7
2020-10-20,9,2,0,7
2020-10-21,9,2,0,7
2020-10-22,9,2,0,7
2020-10-23,9,2,0,7
2020-10-24,9,2,0,7
2020-10-25,9,2,0,7
