Day,Confirmed,Deaths,Recovered,Active
2020-01-22,6,0,0,6
2020-01-23,9,0,0,9
2020-01-24,27,0,0,27
2020-01-25,57,0,0,57
2020-01-26,75,0,0,75
2020-01-27,110,0,0,110
2020-01-28,132,0,0,132
2020-01-29,147,0,1,146
2020-01-30,182,0,1,181
2020-01-31,211,0,1,210
2020-02-01,247,1,3,243
2020-02-02,300,2,7,291
2020-02-03,337,2,9,326
2020-02-04,366,2,9,355
2020-02-05,389,2,15,372
2020-02-06,411,2,24,385
2020-02-07,426,2,31,393
2020-02-08,428,2,39,387
2020-02-09,468,2,51,415
2020-02-10,486,2,66,418
2020-02-11,505,3,79,423
2020-02-12,518,3,102,413
2020-02-13,529,4,128,397
2020-02-14,537,5,152,380
2020-02-15,544,5,184,355
2020-02-16,551,5,207,339
2020-02-17,553,5,225,323
2020-02-18,555,5,254,296
2020-02-19,560,5,274,281
2020-02-20,567,6,299,262
2020-02-21,572,6,316,250
2020-02-22,573,6,328,239
2020-02-23,575,6,335,234
2020-02-24,576,6,349,221
2020-02-25,576,6,372,198
2020-02-26,576,6,384,186
2020-02-27,576,6,401,169
2020-02-28,576,6,422,148
2020-02-29,576,6,438,132
2020-03-01,576,6,450,120
2020-03-02,576,6,469,101
2020-03-03,576,6,490,80
2020-03-04,576,6,502,68
2020-03-05,576,6,512,58
2020-03-06,576,6,513,57
2020-03-07,576,6,526,44
2020-03-08,576,6,527,43
2020-03-09,576,6,542,28
2020-03-10,576,6,547,23
