Day,Confirmed,Deaths,Recovered,Active
2020-01-22,2,0,0,2
2020-01-23,5,0,0,5
2020-01-24,23,0,0,23
2020-01-25,23,0,0,23
2020-01-26,36,0,0,36
2020-01-27,46,0,0,46
2020-01-28,51,0,2,49
2020-01-29,58,0,2,56
2020-01-30,78,0,2,76
2020-01-31,87,0,2,85
2020-02-01,100,0,2,98
2020-02-02,111,0,2,109
2020-02-03,127,0,7,120
2020-02-04,139,0,10,129
2020-02-05,150,0,13,137
2020-02-06,168,0,14,154
2020-02-07,172,0,17,155
2020-02-08,183,0,17,166
2020-02-09,195,1,18,176
2020-02-10,210,1,24,185
2020-02-11,215,1,33,181
2020-02-12,222,1,32,189
2020-02-13,222,2,33,187
2020-02-14,226,2,36,188
2020-02-15,235,2,44,189
2020-02-16,237,2,49,186
2020-02-17,238,2,53,183
2020-02-18,242,2,69,171
2020-02-19,244,2,86,156
2020-02-20,245,2,90,153
2020-02-21,246,2,97,147
2020-02-22,249,2,104,143
2020-02-23,249,2,106,141
2020-02-24,251,2,112,137
2020-02-25,252,2,134,116
2020-02-26,252,2,147,103
2020-02-27,252,2,161,89
2020-02-28,252,2,168,82
2020-02-29,252,2,176,74
2020-03-01,252,2,181,69
2020-03-02,252,2,192,58
2020-03-03,252,2,202,48
2020-03-04,252,2,210,40
2020-03-05,252,2,214,36
2020-03-06,252,2,217,33
2020-03-07,252,2,218,32
2020-03-08,252,2,223,27
2020-03-09,252,2,230,20
2020-03-10,252,2,234,16
