Day,Confirmed,Deaths,Recovered,Active
2020-01-22,1,0,0,1
2020-01-23,3,0,0,3
2020-01-24,3,0,0,3
2020-01-25,4,0,0,4
2020-01-26,5,0,0,5
2020-01-27,7,0,0,7
2020-01-28,9,0,0,9
2020-01-29,9,0,1,8
2020-01-30,12,0,1,11
2020-01-31,29,0,2,27
2020-02-01,29,0,2,27
2020-02-02,38,0,2,36
2020-02-03,46,0,2,44
2020-02-04,58,0,2,56
2020-02-05,64,1,9,54
2020-02-06,71,1,6,64
2020-02-07,81,1,6,74
2020-02-08,89,1,7,81
2020-02-09,99,1,7,91
2020-02-10,109,1,10,98
2020-02-11,127,1,17,109
2020-02-12,133,1,18,114
2020-02-13,135,1,27,107
2020-02-14,140,1,28,111
2020-02-15,143,1,41,101
2020-02-16,144,1,46,97
2020-02-17,146,1,57,88
2020-02-18,146,2,66,78
2020-02-19,146,2,70,74
2020-02-20,146,2,72,72
2020-02-21,146,2,77,67
2020-02-22,146,2,90,54
2020-02-23,146,2,102,42
2020-02-24,146,2,102,42
2020-02-25,146,2,104,40
2020-02-26,146,2,104,40
2020-02-27,146,2,112,32
2020-02-28,146,2,112,32
2020-02-29,146,2,112,32
2020-03-01,146,2,112,32
2020-03-02,146,2,114,30
2020-03-03,146,2,114,30
2020-03-04,146,2,114,30
2020-03-05,146,2,114,30
2020-03-06,146,2,114,30
2020-03-07,146,2,115,29
2020-03-08,146,2,117,27
2020-03-09,146,2,123,21
2020-03-10,146,2,129,15
