Day,Confirmed,Deaths,Recovered,Active
2020-01-22,0,0,0,0
2020-01-23,2,0,0,2
2020-01-24,4,1,0,3
2020-01-25,9,1,0,8
2020-01-26,15,1,0,14
2020-01-27,21,1,0,20
2020-01-28,33,1,0,32
2020-01-29,38,1,0,37
2020-01-30,44,2,0,42
2020-01-31,59,2,0,57
2020-02-01,80,2,2,76
2020-02-02,95,2,2,91
2020-02-03,121,2,2,117
2020-02-04,155,2,4,149
2020-02-05,190,2,7,181
2020-02-06,227,3,8,216
2020-02-07,277,3,12,262
2020-02-08,295,5,13,277
2020-02-09,307,6,14,287
2020-02-10,331,7,30,294
2020-02-11,360,8,28,324
2020-02-12,378,8,31,339
2020-02-13,395,9,33,353
2020-02-14,419,11,47,361
2020-02-15,425,11,68,346
2020-02-16,445,11,79,355
2020-02-17,457,11,85,361
2020-02-18,464,11,111,342
2020-02-19,470,12,120,338
2020-02-20,476,12,136,328
2020-02-21,479,12,175,292
2020-02-22,479,12,204,263
2020-02-23,480,12,222,246
2020-02-24,480,12,227,241
2020-02-25,480,12,243,225
2020-02-26,480,12,249,219
2020-02-27,480,13,270,197
2020-02-28,480,13,283,184
2020-02-29,480,13,301,166
2020-03-01,480,13,342,125
2020-03-02,480,13,356,111
2020-03-03,480,13,366,101
2020-03-04,480,13,373,94
2020-03-05,481,13,379,89
2020-03-06,481,13,396,72
2020-03-07,481,13,403,65
2020-03-08,481,13,412,56
2020-03-09,481,13,430,38
2020-03-10,481,13,434,34
