Day,Confirmed,Deaths,Recovered,Active
2020-01-22,5,0,0,5
2020-01-23,5,0,0,5
2020-01-24,9,0,0,9
2020-01-25,32,0,0,32
2020-01-26,83,1,0,82
2020-01-27,128,1,0,127
2020-01-28,168,1,0,167
2020-01-29,206,2,1,203
2020-01-30,278,2,2,274
2020-01-31,352,2,3,347
2020-02-01,422,2,3,417
2020-02-02,493,2,10,481
2020-02-03,566,2,16,548
2020-02-04,675,2,27,646
2020-02-05,764,2,47,715
2020-02-06,851,2,56,793
2020-02-07,914,3,86,825
2020-02-08,981,4,116,861
2020-02-09,1033,6,153,874
2020-02-10,1073,6,191,876
2020-02-11,1105,7,218,880
2020-02-12,1135,8,246,881
2020-02-13,1169,10,296,863
2020-02-14,1184,11,357,816
2020-02-15,1212,13,391,808
2020-02-16,1231,13,440,778
2020-02-17,1246,16,509,721
2020-02-18,1257,19,522,716
2020-02-19,1262,19,573,670
2020-02-20,1265,19,637,609
2020-02-21,1267,19,736,512
2020-02-22,1270,19,830,421
2020-02-23,1271,19,868,384
2020-02-24,1271,19,943,309
2020-02-25,1271,19,1002,250
2020-02-26,1271,19,1033,219
2020-02-27,1272,20,1068,184
2020-02-28,1272,20,1112,140
2020-02-29,1272,21,1170,81
2020-03-01,1272,22,1198,52
2020-03-02,1272,22,1205,45
2020-03-03,1272,22,1231,19
2020-03-04,1272,22,1234,16
2020-03-05,1272,22,1239,11
2020-03-06,1272,22,1244,6
2020-03-07,1272,22,1244,6
2020-03-08,1272,22,1247,3
2020-03-09,1272,22,1247,3
2020-03-10,1272,22,1247,3
