Day,Confirmed,Deaths,Recovered,Active
2020-01-22,444,17,28,399
2020-01-23,444,17,28,399
2020-01-24,549,24,31,494
2020-01-25,761,40,32,689
2020-01-26,1058,52,42,964
2020-01-27,1423,76,45,1302
2020-01-28,3554,125,80,3349
2020-01-29,3554,125,88,3341
2020-01-30,4903,162,90,4651
2020-01-31,5806,204,141,5461
2020-02-01,7153,249,168,6736
2020-02-02,11177,350,295,10532
2020-02-03,13522,414,386,12722
2020-02-04,16678,479,522,15677
2020-02-05,19665,549,633,18483
2020-02-06,22112,618,817,20677
2020-02-07,24953,699,1115,23139
2020-02-08,27100,780,1439,24881
2020-02-09,29631,871,1795,26965
2020-02-10,31728,974,2222,28532
2020-02-11,33366,1068,2639,29659
2020-02-12,33366,1068,2686,29612
2020-02-13,48206,1310,3459,43437
2020-02-14,54406,1457,4774,48175
2020-02-15,56249,1596,5623,49030
2020-02-16,58182,1696,6639,49847
2020-02-17,59989,1789,7862,50338
2020-02-18,61682,1921,9128,50633
2020-02-19,62031,2029,10337,49665
2020-02-20,62442,2144,11788,48510
2020-02-21,62662,2144,11881,48637
2020-02-22,64084,2346,15299,46439
2020-02-23,64084,2346,15343,46395
2020-02-24,64287,2495,16748,45044
2020-02-25,64786,2563,18971,43252
2020-02-26,65187,2615,20969,41603
2020-02-27,65596,2641,23383,39572
2020-02-28,65914,2682,26403,36829
2020-02-29,66337,2727,28993,34617
2020-03-01,66907,2761,31536,32610
2020-03-02,67103,2803,33934,30366
2020-03-03,67217,2835,36208,28174
2020-03-04,67332,2871,38557,25904
2020-03-05,67466,2902,40592,23972
2020-03-06,67592,2931,42033,22628
2020-03-07,67666,2959,43500,21207
2020-03-08,67707,2986,45235,19486
2020-03-09,67743,3008,46488,18247
2020-03-10,67760,3024,47743,16993
