Day,Confirmed,Deaths,Recovered,Active
2020-01-22,4,0,0,4
2020-01-23,9,0,0,9
2020-01-24,24,0,0,24
2020-01-25,43,0,0,43
2020-01-26,69,0,0,69
2020-01-27,100,0,0,100
2020-01-28,143,0,0,143
2020-01-29,221,0,0,221
2020-01-30,277,0,2,275
2020-01-31,332,0,2,330
2020-02-01,389,0,8,381
2020-02-02,463,0,16,447
2020-02-03,521,0,22,499
2020-02-04,593,0,31,562
2020-02-05,661,0,54,607
2020-02-06,711,0,81,630
2020-02-07,772,0,112,660
2020-02-08,803,1,156,646
2020-02-09,838,1,186,651
2020-02-10,879,1,208,670
2020-02-11,912,1,247,664
2020-02-12,946,2,304,640
2020-02-13,968,2,339,627
2020-02-14,988,2,364,622
2020-02-15,1001,2,425,574
2020-02-16,1004,3,464,537
2020-02-17,1006,3,498,505
2020-02-18,1007,4,527,476
2020-02-19,1008,4,561,443
2020-02-20,1010,4,634,372
2020-02-21,1011,4,661,346
2020-02-22,1013,4,692,317
2020-02-23,1016,4,714,298
2020-02-24,1016,4,731,281
2020-02-25,1016,4,768,244
2020-02-26,1016,4,783,229
2020-02-27,1017,4,804,209
2020-02-28,1017,4,830,183
2020-02-29,1018,4,846,168
2020-03-01,1018,4,866,148
2020-03-02,1018,4,887,127
2020-03-03,1018,4,906,108
2020-03-04,1018,4,916,98
2020-03-05,1018,4,938,76
2020-03-06,1018,4,955,59
2020-03-07,1018,4,960,54
2020-03-08,1018,4,968,46
2020-03-09,1018,4,979,35
2020-03-10,1018,4,990,24
