Day,Confirmed,Deaths,Recovered,Active
2020-01-22,1,0,0,1
2020-01-23,5,0,0,5
2020-01-24,9,0,0,9
2020-01-25,18,0,1,17
2020-01-26,33,0,1,32
2020-01-27,47,0,1,46
2020-01-28,70,0,1,69
2020-01-29,99,0,1,98
2020-01-30,129,0,1,128
2020-01-31,168,0,5,163
2020-02-01,202,0,6,196
2020-02-02,236,0,7,229
2020-02-03,271,0,8,263
2020-02-04,308,0,12,296
2020-02-05,341,0,23,318
2020-02-06,373,0,34,339
2020-02-07,408,0,43,365
2020-02-08,439,0,51,388
2020-02-09,468,0,71,397
2020-02-10,492,0,81,411
2020-02-11,515,0,93,422
2020-02-12,543,0,125,418
2020-02-13,570,0,139,431
2020-02-14,593,0,157,436
2020-02-15,604,0,186,418
2020-02-16,617,0,218,399
2020-02-17,626,0,258,368
2020-02-18,629,0,280,349
2020-02-19,631,0,318,313
2020-02-20,631,0,356,275
2020-02-21,631,0,373,258
2020-02-22,631,0,401,230
2020-02-23,631,0,418,213
2020-02-24,631,0,452,179
2020-02-25,631,0,458,173
2020-02-26,631,0,478,153
2020-02-27,631,0,498,133
2020-02-28,631,0,515,116
2020-02-29,631,0,523,108
2020-03-01,631,0,536,95
2020-03-02,631,0,543,88
2020-03-03,631,0,562,69
2020-03-04,631,0,577,54
2020-03-05,631,0,583,48
2020-03-06,631,0,594,37
2020-03-07,631,0,606,25
2020-03-08,631,0,612,19
2020-03-09,631,0,621,10
2020-03-10,631,0,627,4
