Day,Confirmed,Deaths,Recovered,Active
2020-01-22,0,0,0,0
2020-01-23,1,0,0,1
2020-01-24,3,0,0,3
2020-01-25,4,0,0,4
2020-01-26,4,0,0,4
2020-01-27,6,0,0,6
2020-01-28,8,0,0,8
2020-01-29,9,0,0,9
2020-01-30,14,0,1,13
2020-01-31,14,0,1,13
2020-02-01,17,0,1,16
2020-02-02,23,0,1,22
2020-02-03,31,0,1,30
2020-02-04,42,0,1,41
2020-02-05,54,0,2,52
2020-02-06,59,0,4,55
2020-02-07,65,1,4,60
2020-02-08,69,1,4,64
2020-02-09,78,1,12,65
2020-02-10,80,1,13,66
2020-02-11,81,1,18,62
2020-02-12,83,1,22,60
2020-02-13,84,1,24,59
2020-02-14,86,1,25,60
2020-02-15,88,1,26,61
2020-02-16,89,1,30,58
2020-02-17,89,1,34,54
2020-02-18,89,1,36,52
2020-02-19,90,1,37,52
2020-02-20,91,1,43,47
2020-02-21,91,1,45,45
2020-02-22,91,1,52,38
2020-02-23,91,1,54,36
2020-02-24,93,1,60,32
2020-02-25,93,1,63,29
2020-02-26,93,1,65,27
2020-02-27,93,1,67,25
2020-02-28,93,1,73,19
2020-02-29,93,1,75,17
2020-03-01,93,1,78,14
2020-03-02,93,1,83,9
2020-03-03,93,1,83,9
2020-03-04,93,1,86,6
2020-03-05,93,1,88,4
2020-03-06,93,1,90,2
2020-03-07,93,1,90,2
2020-03-08,93,1,90,2
2020-03-09,93,1,91,1
2020-03-10,93,1,91,1
