Day,Confirmed,Deaths,Recovered,Active
2020-01-22,2,0,0,2
2020-01-23,3,0,0,3
2020-01-24,4,0,0,4
2020-01-25,17,0,0,17
2020-01-26,21,0,0,21
2020-01-27,27,0,0,27
2020-01-28,34,0,0,34
2020-01-29,39,0,1,38
2020-01-30,41,0,1,40
2020-01-31,48,0,1,47
2020-02-01,64,0,1,63
2020-02-02,70,0,1,69
2020-02-03,74,0,1,73
2020-02-04,81,0,2,79
2020-02-05,89,0,4,85
2020-02-06,94,0,5,89
2020-02-07,99,0,7,92
2020-02-08,105,0,8,97
2020-02-09,107,0,12,95
2020-02-10,108,0,13,95
2020-02-11,111,0,19,92
2020-02-12,116,1,20,95
2020-02-13,117,1,22,94
2020-02-14,119,1,29,89
2020-02-15,119,1,31,87
2020-02-16,121,1,40,80
2020-02-17,121,1,43,77
2020-02-18,121,1,53,67
2020-02-19,121,1,55,65
2020-02-20,121,1,59,61
2020-02-21,121,1,61,59
2020-02-22,121,1,66,54
2020-02-23,121,1,73,47
2020-02-24,121,1,80,40
2020-02-25,121,1,83,37
2020-02-26,121,1,88,32
2020-02-27,121,1,93,27
2020-02-28,121,1,93,27
2020-02-29,121,1,96,24
2020-03-01,122,1,103,18
2020-03-02,122,1,103,18
2020-03-03,125,1,106,18
2020-03-04,125,1,106,18
2020-03-05,125,1,106,18
2020-03-06,125,1,106,18
2020-03-07,125,1,107,17
2020-03-08,125,1,109,15
2020-03-09,125,1,109,15
2020-03-10,125,1,111,13
