Day,Confirmed,Deaths,Recovered,Active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,1,0,0,1
2020-01-26,1,0,0,1
2020-01-27,6,0,0,6
2020-01-28,6,0,0,6
2020-01-29,6,0,0,6
2020-01-30,8,0,0,8
2020-01-31,8,0,0,8
2020-02-01,9,0,0,9
2020-02-02,11,0,0,11
2020-02-03,13,0,0,13
2020-02-04,15,0,0,15
2020-02-05,17,0,3,14
2020-02-06,18,0,3,15
2020-02-07,18,0,3,15
2020-02-08,18,0,3,15
2020-02-09,18,0,3,15
2020-02-10,18,0,3,15
2020-02-11,18,0,5,13
2020-02-12,18,0,9,9
2020-02-13,18,0,11,7
2020-02-14,18,0,11,7
2020-02-15,18,0,13,5
2020-02-16,18,0,13,5
2020-02-17,18,0,13,5
2020-02-18,18,0,15,3
2020-02-19,18,0,16,2
2020-02-20,18,0,16,2
2020-02-21,18,0,18,0
2020-02-22,18,0,18,0
2020-02-23,18,0,18,0
2020-02-24,18,0,18,0
2020-02-25,18,0,18,0
2020-02-26,18,0,18,0
2020-02-27,18,0,18,0
2020-02-28,18,0,18,0
2020-02-29,18,0,18,0
2020-03-01,18,0,18,0
2020-03-02,18,0,18,0
2020-03-03,18,0,18,0
2020-03-04,18,0,18,0
2020-03-05,18,0,18,0
2020-03-06,18,0,18,0
2020-03-07,18,0,18,0
2020-03-08,18,0,18,0
2020-03-09,18,0,18,0
2020-03-10,18,0,18,0
