Day,Confirmed,Deaths,Recovered,Active
2020-01-22,2,0,0,2
2020-01-23,6,0,0,6
2020-01-24,15,0,0,15
2020-01-25,27,0,0,27
2020-01-26,46,0,0,46
2020-01-27,75,0,0,75
2020-01-28,95,0,0,95
2020-01-29,130,0,1,129
2020-01-30,158,0,1,157
2020-01-31,184,0,2,182
2020-02-01,206,0,3,203
2020-02-02,230,0,6,224
2020-02-03,259,0,7,252
2020-02-04,275,0,11,264
2020-02-05,307,0,15,292
2020-02-06,347,0,27,320
2020-02-07,386,0,37,349
2020-02-08,416,0,44,372
2020-02-09,444,1,63,380
2020-02-10,466,1,66,399
2020-02-11,487,1,80,406
2020-02-12,497,2,92,403
2020-02-13,509,2,105,402
2020-02-14,523,2,136,385
2020-02-15,532,2,156,374
2020-02-16,537,2,173,362
2020-02-17,541,2,191,348
2020-02-18,543,3,211,329
2020-02-19,544,3,231,310
2020-02-20,546,4,254,288
2020-02-21,749,4,281,464
2020-02-22,750,4,302,444
2020-02-23,754,4,321,429
2020-02-24,755,5,343,407
2020-02-25,756,6,355,395
2020-02-26,756,6,377,373
2020-02-27,756,6,387,363
2020-02-28,756,6,405,345
2020-02-29,756,6,421,329
2020-03-01,758,6,443,309
2020-03-02,758,6,460,292
2020-03-03,758,6,511,241
2020-03-04,758,6,516,236
2020-03-05,758,6,578,174
2020-03-06,758,6,618,134
2020-03-07,758,6,627,125
2020-03-08,758,6,642,110
2020-03-09,758,6,700,52
2020-03-10,758,6,719,33
