Day,Confirmed,Deaths,Recovered,Active
2020-01-22,5,0,0,5
2020-01-23,8,0,0,8
2020-01-24,15,0,0,15
2020-01-25,28,0,0,28
2020-01-26,44,0,0,44
2020-01-27,69,0,0,69
2020-01-28,90,0,0,90
2020-01-29,108,1,1,106
2020-01-30,142,1,1,140
2020-01-31,177,1,1,175
2020-02-01,207,1,3,203
2020-02-02,231,1,11,219
2020-02-03,254,1,14,239
2020-02-04,282,1,14,267
2020-02-05,301,1,24,276
2020-02-06,321,1,31,289
2020-02-07,344,1,42,301
2020-02-08,364,1,60,303
2020-02-09,386,1,71,314
2020-02-10,405,1,80,324
2020-02-11,417,1,85,331
2020-02-12,436,1,92,343
2020-02-13,451,1,104,346
2020-02-14,463,1,114,348
2020-02-15,470,1,119,350
2020-02-16,481,3,131,347
2020-02-17,495,3,156,336
2020-02-18,508,3,169,336
2020-02-19,514,3,188,323
2020-02-20,520,3,217,300
2020-02-21,525,3,231,291
2020-02-22,526,3,250,273
2020-02-23,526,3,261,262
2020-02-24,527,3,276,248
2020-02-25,529,3,289,237
2020-02-26,531,3,307,221
2020-02-27,534,3,321,210
2020-02-28,538,3,338,197
2020-02-29,538,3,351,184
2020-03-01,538,3,365,170
2020-03-02,538,3,386,149
2020-03-03,538,3,394,141
2020-03-04,538,3,406,129
2020-03-05,539,3,425,111
2020-03-06,539,3,442,94
2020-03-07,539,3,454,82
2020-03-08,539,3,464,72
2020-03-09,539,3,466,70
2020-03-10,539,3,478,58
