Day,Confirmed,Deaths,Recovered,Active
2020-01-22,10,0,0,10
2020-01-23,27,0,0,27
2020-01-24,43,0,1,42
2020-01-25,62,0,1,61
2020-01-26,104,0,1,103
2020-01-27,128,0,1,127
2020-01-28,173,0,3,170
2020-01-29,296,0,3,293
2020-01-30,428,0,4,424
2020-01-31,538,0,14,524
2020-02-01,599,0,21,578
2020-02-02,661,0,32,629
2020-02-03,724,0,43,681
2020-02-04,829,0,62,767
2020-02-05,895,0,78,817
2020-02-06,954,0,94,860
2020-02-07,1006,0,123,883
2020-02-08,1048,0,175,873
2020-02-09,1075,0,201,874
2020-02-10,1092,0,242,850
2020-02-11,1117,0,270,847
2020-02-12,1131,0,321,810
2020-02-13,1145,0,360,785
2020-02-14,1155,0,403,752
2020-02-15,1162,0,428,734
2020-02-16,1167,0,456,711
2020-02-17,1171,0,507,664
2020-02-18,1172,0,535,637
2020-02-19,1174,0,604,570
2020-02-20,1175,1,633,541
2020-02-21,1203,1,679,523
2020-02-22,1205,1,719,485
2020-02-23,1205,1,760,444
2020-02-24,1205,1,782,422
2020-02-25,1205,1,808,396
2020-02-26,1205,1,867,337
2020-02-27,1205,1,932,272
2020-02-28,1205,1,975,229
2020-02-29,1205,1,1016,188
2020-03-01,1205,1,1046,158
2020-03-02,1206,1,1069,136
2020-03-03,1213,1,1093,119
2020-03-04,1213,1,1114,98
2020-03-05,1215,1,1124,90
2020-03-06,1215,1,1147,67
2020-03-07,1215,1,1154,60
2020-03-08,1215,1,1161,53
2020-03-09,1215,1,1176,38
2020-03-10,1215,1,1191,23
