Day,Confirmed,Deaths,Recovered,Active
2020-02-26,1,0,0,1
2020-02-27,1,0,0,1
2020-02-28,1,0,0,1
2020-02-29,1,0,0,1
2020-03-01,1,0,0,1
2020-03-02,1,0,0,1
2020-03-03,1,0,0,1
2020-03-04,1,0,0,1
2020-03-05,1,0,0,1
2020-03-06,3,0,0,3
2020-03-07,3,0,0,3
2020-03-08,3,0,0,3
2020-03-09,3,0,0,3
2020-03-10,7,0,0,7
2020-03-11,7,0,0,7
2020-03-12,7,0,0,7
2020-03-13,14,0,1,13
2020-03-14,14,0,1,13
2020-03-15,14,0,1,13
2020-03-16,18,0,1,17
2020-03-17,26,0,1,25
2020-03-18,35,0,1,34
2020-03-19,48,0,1,47
2020-03-20,67,0,1,66
2020-03-21,85,0,1,84
2020-03-22,115,1,1,113
2020-03-23,136,2,1,133
2020-03-24,148,2,1,145
2020-03-25,177,3,1,173
2020-03-26,201,3,3,195
2020-03-27,219,3,3,213
2020-03-28,241,4,3,234
2020-03-29,259,6,3,250
2020-03-30,285,7,12,266
2020-03-31,329,9,12,308
2020-04-01,354,11,17,326
2020-04-02,384,11,17,356
2020-04-03,430,12,20,398
2020-04-04,483,17,20,446
2020-04-05,555,18,23,514
2020-04-06,570,23,30,517
2020-04-07,599,26,30,543
2020-04-08,617,29,35,553
2020-04-09,663,30,37,596
2020-04-10,711,32,41,638
2020-04-11,760,34,41,685
2020-04-12,828,34,41,753
2020-04-13,854,38,44,772
2020-04-14,908,44,86,778
2020-04-15,974,45,98,831
2020-04-16,1081,46,121,914
2020-04-17,1117,49,139,929
2020-04-18,1170,49,164,957
2020-04-19,1207,51,179,977
2020-04-20,1225,54,200,971
2020-04-21,1231,55,224,952
2020-04-22,1259,56,272,931
2020-04-23,1300,56,301,943
2020-04-24,1326,57,337,932
2020-04-25,1367,59,374,934
2020-04-26,1386,61,500,825
2020-04-27,1399,65,553,781
2020-04-28,1421,71,589,761
2020-04-29,1442,73,627,742
2020-04-30,1465,77,738,650
2020-05-01,1494,81,807,606
2020-05-02,1506,82,852,572
2020-05-03,1511,84,945,482
2020-05-04,1518,85,992,441
2020-05-05,1526,86,1013,427
2020-05-06,1539,88,1057,394
2020-05-07,1572,89,1079,404
2020-05-08,1586,90,1099,397
2020-05-09,1622,91,1112,419
2020-05-10,1642,91,1136,415
2020-05-11,1664,91,1200,373
2020-05-12,1674,92,1205,377
2020-05-13,1694,95,1229,370
2020-05-14,1723,95,1235,393
2020-05-15,1740,97,1251,392
2020-05-16,1762,98,1267,397
2020-05-17,1792,101,1293,398
2020-05-18,1817,104,1301,412
2020-05-19,1839,106,1351,382
2020-05-20,1858,110,1367,381
2020-05-21,1898,111,1378,409
2020-05-22,1921,112,1387,422
2020-05-23,1941,113,1411,417
2020-05-24,1978,113,1422,443
2020-05-25,1999,113,1439,447
2020-05-26,2014,116,1453,445
2020-05-27,2039,119,1470,450
2020-05-28,2077,121,1486,470
