Day,Confirmed,Deaths,Recovered,Active
2020-03-04,1,0,0,1
2020-03-05,1,0,0,1
2020-03-06,5,0,0,5
2020-03-07,5,0,0,5
2020-03-08,11,0,0,11
2020-03-09,16,0,0,16
2020-03-10,22,0,0,22
2020-03-11,31,0,0,31
2020-03-12,49,1,0,48
2020-03-13,68,2,0,66
2020-03-14,103,3,0,100
2020-03-15,119,3,0,116
2020-03-16,177,4,13,160
2020-03-17,238,5,13,220
2020-03-18,251,5,13,233
2020-03-19,355,5,1,349
2020-03-20,425,5,1,419
2020-03-21,536,5,1,530
2020-03-22,634,7,13,614
2020-03-23,749,8,13,728
2020-03-24,901,10,1,890
2020-03-25,1051,14,7,1030
2020-03-26,1221,16,7,1198
2020-03-27,1389,16,7,1366
2020-03-28,1638,18,7,1613
2020-03-29,1862,22,7,1833
2020-03-30,2055,31,7,2017
2020-03-31,2311,33,7,2271
2020-04-01,2554,43,47,2464
2020-04-02,2946,57,56,2833
2020-04-03,3383,71,56,3256
2020-04-04,3627,79,116,3432
2020-04-05,4102,94,134,3874
2020-04-06,4413,107,162,4144
2020-04-07,4848,129,191,4528
2020-04-08,5205,159,222,4824
2020-04-09,5575,174,284,5117
2020-04-10,5955,181,318,5456
2020-04-11,6356,208,375,5773
2020-04-12,6674,232,439,6003
2020-04-13,6934,245,487,6202
2020-04-14,7202,263,618,6321
2020-04-15,7582,286,668,6628
2020-04-16,7918,314,774,6830
2020-04-17,8379,332,866,7181
2020-04-18,8742,347,981,7414
2020-04-19,9287,360,1040,7887
2020-04-20,9593,380,1133,8080
2020-04-21,9856,401,1297,8158
2020-04-22,10169,426,1513,8230
2020-04-23,10511,454,1740,8317
2020-04-24,10892,494,1944,8454
2020-04-25,11273,524,2126,8623
2020-04-26,11617,535,2265,8817
2020-04-27,11902,562,2466,8874
2020-04-28,12218,596,2655,8967
2020-04-29,12640,624,3025,8991
2020-04-30,12877,644,3236,8997
2020-05-01,13105,651,3491,8963
2020-05-02,13375,664,3762,8949
2020-05-03,13693,678,3945,9070
2020-05-04,14006,698,4095,9213
2020-05-05,14431,716,4280,9435
2020-05-06,14740,733,4655,9352
2020-05-07,15047,755,4862,9430
2020-05-08,15366,776,5184,9406
2020-05-09,15651,785,5437,9429
