Day,Confirmed,Deaths,Recovered,Active
2020-03-02,2,0,0,2
2020-03-03,2,0,0,2
2020-03-04,5,0,0,5
2020-03-05,8,0,0,8
2020-03-06,13,0,0,13
2020-03-07,20,0,0,20
2020-03-08,30,0,0,30
2020-03-09,30,0,0,30
2020-03-10,41,0,0,41
2020-03-11,59,0,0,59
2020-03-12,59,0,0,59
2020-03-13,112,0,1,111
2020-03-14,169,0,2,167
2020-03-15,245,0,2,243
2020-03-16,331,0,3,328
2020-03-17,448,1,3,444
2020-03-18,448,2,3,443
2020-03-19,785,3,3,779
2020-03-20,1020,6,5,1009
2020-03-21,1280,12,5,1263
2020-03-22,1600,14,5,1581
2020-03-23,2060,23,14,2023
2020-03-24,2362,33,22,2307
2020-03-25,2995,43,22,2930
2020-03-26,3544,60,43,3441
2020-03-27,4268,76,43,4149
2020-03-28,5170,100,43,5027
2020-03-29,5962,119,43,5800
2020-03-30,6408,140,43,6225
2020-03-31,7443,160,43,7240
2020-04-01,8251,187,43,8021
2020-04-02,9034,209,68,8757
2020-04-03,9886,246,68,9572
2020-04-04,10524,266,75,10183
2020-04-05,11278,295,75,10908
2020-04-06,11730,311,140,11279
2020-04-07,12442,345,184,11913
2020-04-08,13141,380,196,12565
2020-04-09,13956,409,205,13342
2020-04-10,15472,435,233,14804
2020-04-11,15987,470,266,15251
2020-04-12,16585,504,277,15804
2020-04-13,16934,535,277,16122
2020-04-14,17448,567,347,16534
2020-04-15,18091,599,383,17109
2020-04-16,18841,629,493,17719
2020-04-17,19022,657,519,17846
2020-04-18,19685,687,610,18388
2020-04-19,20206,714,610,18882
2020-04-20,20863,735,610,19518
2020-04-21,21379,762,917,19700
2020-04-22,21982,785,1143,20054
2020-04-23,22353,820,1201,20332
2020-04-24,22797,854,1228,20715
2020-04-25,23392,880,1277,21235
2020-04-26,23864,903,1329,21632
2020-04-27,24027,928,1357,21742
2020-04-28,24322,948,1389,21985
2020-04-29,24505,973,1470,22062
2020-04-30,25045,989,1519,22537
2020-05-01,25351,1007,1647,22697
2020-05-02,25190,1023,1671,22496
2020-05-03,25282,1043,1689,22550
2020-05-04,25524,1063,1712,22749
2020-05-05,25702,1074,1743,22885
2020-05-06,26182,1089,2076,23017
2020-05-07,26715,1105,2258,23352
2020-05-08,27268,1114,2422,23732
2020-05-09,27406,1126,2499,23781
2020-05-10,27581,1135,2549,23897
2020-05-11,27679,1144,2549,23986
2020-05-12,27913,1163,3013,23737
2020-05-13,28132,1175,3182,23775
2020-05-14,28319,1184,3198,23937
2020-05-15,28583,1190,3328,24065
2020-05-16,28810,1203,3822,23785
2020-05-17,29036,1218,4636,23182
2020-05-18,29209,1231,6430,21548
2020-05-19,29432,1247,6431,21754
2020-05-20,29660,1263,6452,21945
2020-05-21,29912,1277,6452,22183
2020-05-22,30200,1289,7590,21321
2020-05-23,30471,1302,7705,21464
2020-05-24,30623,1316,17549,11758
2020-05-25,30788,1330,17822,11636
2020-05-26,31007,1342,18096,11569
2020-05-27,31292,1356,18349,11587
2020-05-28,31596,1369,18637,11590
2020-05-29,31946,1383,18911,11652
2020-05-30,32203,1396,19186,11621
2020-05-31,32500,1410,19409,11681
2020-06-01,32700,1424,19552,11724
2020-06-02,32895,1436,19869,11590
2020-06-03,33261,1447,20079,11735
2020-06-04,33592,1455,20323,11814
2020-06-05,33969,1465,20526,11978
2020-06-06,34351,1474,20807,12070
2020-06-07,34693,1479,20995,12219
2020-06-08,34885,1485,21156,12244
2020-06-09,35306,1492,21339,12475
2020-06-10,35600,1497,21742,12361
2020-06-11,35910,1504,22002,12404
2020-06-12,36180,1505,22200,12475
2020-06-13,36463,1512,22438,12513
2020-06-14,36690,1517,22669,12504
2020-06-15,37036,1520,22852,12664
2020-06-16,37336,1522,23212,12602
2020-06-17,37672,1523,23580,12569
2020-06-18,38089,1524,24010,12555
2020-06-19,38464,1527,24477,12460
2020-06-20,38841,1528,24906,12407
2020-06-21,39133,1530,25376,12227
2020-06-22,39392,1534,25548,12310
2020-06-23,39737,1540,25829,12368
2020-06-24,40104,1543,26083,12478
2020-06-25,40415,1549,26382,12484
2020-06-26,40866,1555,26633,12678
2020-06-27,41189,1561,26864,12764
2020-06-28,41646,1564,27066,13016
2020-06-29,41912,1568,27205,13139
2020-06-30,42141,1576,27505,13060
2020-07-01,42454,1579,27798,13077
2020-07-02,42782,1587,28097,13098
2020-07-03,43156,1598,28424,13134
2020-07-04,43569,1605,28772,13192
2020-07-05,43897,1614,29017,13266
2020-07-06,44129,1620,29166,13343
2020-07-07,44416,1629,29445,13342
2020-07-08,44859,1631,29714,13514
2020-07-09,45277,1644,30049,13584
2020-07-10,45679,1646,30350,13683
2020-07-11,46221,1654,30655,13912
2020-07-12,46512,1660,30907,13945
2020-07-13,46818,1662,31065,14091
2020-07-14,47051,1668,31550,13833
2020-07-15,47426,1676,32110,13640
2020-07-16,47765,1679,32476,13610
2020-07-17,48077,1682,32790,13605
2020-07-18,48390,1684,33153,13553
2020-07-19,48636,1689,33369,13578
2020-07-20,48771,1691,33547,13533
2020-07-21,48898,1697,33769,13432
2020-07-22,49150,1702,33999,13449
2020-07-23,49379,1705,34369,13305
2020-07-24,49692,1712,34687,13293
2020-07-25,49955,1716,35010,13229
2020-07-26,50164,1717,35217,13230
2020-07-27,50299,1719,35375,13205
2020-07-28,50410,1722,35626,13062
2020-07-29,50613,1725,35875,13013
2020-07-30,50868,1727,36140,13001
2020-07-31,51072,1735,36483,12854
2020-08-01,51310,1737,36783,12790
2020-08-02,51463,1738,36984,12741
2020-08-03,51569,1738,37111,12720
2020-08-04,51681,1739,37318,12624
