Day,Confirmed,Deaths,Recovered,Active
2020-02-29,1,0,0,1
2020-03-01,3,0,0,3
2020-03-02,3,0,0,3
2020-03-03,7,0,0,7
2020-03-04,8,0,0,8
2020-03-05,8,0,0,8
2020-03-06,8,0,0,8
2020-03-07,8,0,0,8
2020-03-08,15,0,0,15
2020-03-09,18,0,0,18
2020-03-10,24,0,0,24
2020-03-11,262,0,0,262
2020-03-12,262,0,0,262
2020-03-13,320,0,0,320
2020-03-14,337,0,4,333
2020-03-15,401,0,4,397
2020-03-16,439,0,4,435
2020-03-17,439,0,4,435
2020-03-18,452,0,4,448
2020-03-19,460,0,4,456
2020-03-20,470,0,10,460
2020-03-21,481,0,27,454
2020-03-22,494,0,33,461
2020-03-23,501,0,33,468
2020-03-24,526,0,41,485
2020-03-25,537,0,41,496
2020-03-26,549,0,43,506
2020-03-27,562,0,43,519
2020-03-28,590,1,45,544
2020-03-29,634,1,48,585
2020-03-30,693,1,51,641
2020-03-31,781,2,62,717
2020-04-01,835,2,71,762
2020-04-02,949,3,72,874
2020-04-03,1075,3,93,979
2020-04-04,1325,3,109,1213
2020-04-05,1604,4,123,1477
2020-04-06,1832,4,131,1697
2020-04-07,2057,6,150,1901
2020-04-08,2210,6,178,2026
2020-04-09,2376,6,206,2164
2020-04-10,2512,6,227,2279
2020-04-11,2728,6,247,2475
2020-04-12,2979,7,275,2697
2020-04-13,3231,7,334,2890
2020-04-14,3428,7,373,3048
2020-04-15,3711,7,406,3298
2020-04-16,4103,7,415,3681
2020-04-17,4663,7,464,4192
2020-04-18,5008,8,510,4490
2020-04-19,5448,8,518,4922
2020-04-20,6015,9,555,5451
2020-04-21,6533,9,614,5910
2020-04-22,7141,10,689,6442
2020-04-23,7764,10,750,7004
2020-04-24,8525,10,809,7706
2020-04-25,9358,10,929,8419
2020-04-26,10287,10,1012,9265
2020-04-27,11244,10,1066,10168
2020-04-28,11921,10,1134,10777
2020-04-29,12564,10,1243,11311
2020-04-30,13409,10,1372,12027
2020-05-01,14096,12,1436,12648
2020-05-02,14872,12,1534,13326
2020-05-03,15551,12,1664,13875
2020-05-04,16191,12,1810,14369
2020-05-05,17142,12,1924,15206
2020-05-06,17972,12,2070,15890
2020-05-07,18890,12,2286,16592
2020-05-08,20201,12,2370,17819
2020-05-09,21331,13,2449,18869
2020-05-10,22520,14,2753,19753
2020-05-11,23623,14,2840,20769
2020-05-12,25149,14,3019,22116
2020-05-13,26539,14,3143,23382
2020-05-14,28272,14,3356,24902
2020-05-15,29425,14,3546,25865
2020-05-16,30972,15,3788,27169
2020-05-17,32604,15,4370,28219
2020-05-18,33969,15,4899,29055
2020-05-19,35606,15,5634,29957
2020-05-20,37097,16,6600,30481
2020-05-21,38651,17,7288,31346
2020-05-22,40481,19,7893,32569
2020-05-23,42213,21,8513,33679
2020-05-24,43714,23,9170,34521
2020-05-25,45465,26,10363,35076
2020-05-26,47207,28,11844,35335
2020-05-27,48947,30,13283,35634
2020-05-28,50914,33,15399,35482
2020-05-29,52907,36,20604,32267
2020-05-30,55262,36,25839,29387
2020-05-31,56910,38,30290,26582
2020-06-01,58433,40,33437,24956
2020-06-02,60259,43,36036,24180
2020-06-03,62160,45,37542,24573
2020-06-04,63741,45,39468,24228
2020-06-05,65495,49,40935,24511
2020-06-06,67195,51,42527,24617
2020-06-07,68790,54,44338,24398
2020-06-08,70158,57,45935,24166
2020-06-09,71879,62,47569,24248
2020-06-10,73595,66,49413,24116
2020-06-11,75071,69,51331,23671
2020-06-12,76588,70,53296,23222
2020-06-13,78416,70,55252,23094
2020-06-14,79602,73,56898,22631
2020-06-15,80876,76,58681,22119
2020-06-16,82077,80,60461,21536
2020-06-17,83174,82,62172,20920
2020-06-18,84441,86,63642,20713
2020-06-19,85462,93,65409,19960
2020-06-20,86488,94,66763,19631
2020-06-21,87369,98,68319,18952
2020-06-22,88403,99,69956,18348
2020-06-23,89579,99,71501,17979
2020-06-24,90778,104,73083,17591
2020-06-25,91838,106,74544,17188
2020-06-26,92784,109,76072,16603
2020-06-27,93663,110,77225,16328
2020-06-28,94413,110,78702,15601
2020-06-29,95106,113,80170,14823
2020-06-30,96088,113,81564,14411
2020-07-01,97003,115,83965,12923
2020-07-02,97897,118,86597,11182
2020-07-03,98653,121,88583,9949
2020-07-04,99183,123,90387,8673
2020-07-05,99799,128,92284,7387
2020-07-06,100345,133,93898,6314
2020-07-07,100945,134,94903,5908
2020-07-08,101553,138,96107,5308
2020-07-09,102110,142,97272,4696
2020-07-10,102630,146,98233,4251
2020-07-11,103128,146,98934,4048
2020-07-12,103598,147,99743,3708
2020-07-13,104016,149,100627,3240
2020-07-14,104533,150,101160,3223
2020-07-15,104983,151,101637,3195
2020-07-16,105477,152,102168,3157
2020-07-17,105898,153,102597,3148
2020-07-18,106308,154,103023,3131
2020-07-19,106648,157,103377,3114
2020-07-20,107037,159,103782,3096
2020-07-21,107430,160,104191,3079
2020-07-22,107871,163,104641,3067
2020-07-23,108244,164,105018,3062
2020-07-24,108638,164,105420,3054
2020-07-25,109036,164,105750,3122
2020-07-26,109305,165,106024,3116
2020-07-27,109597,165,106328,3104
2020-07-28,109880,167,106603,3110
2020-07-29,110153,169,106849,3135
2020-07-30,110460,171,107135,3154
2020-07-31,110695,174,107377,3144
2020-08-01,110911,174,107578,3159
2020-08-02,111107,177,107779,3151
2020-08-03,111322,177,108002,3143
2020-08-04,111538,177,108254,3107
2020-08-05,111805,178,108539,3088
2020-08-06,112092,178,108831,3083
2020-08-07,112383,180,109142,3061
2020-08-08,112650,182,109438,3030
2020-08-09,112947,184,109709,3054
2020-08-10,113262,188,109993,3081
2020-08-11,113646,188,110324,3134
2020-08-12,113938,190,110627,3121
2020-08-13,114281,190,110957,3134
2020-08-14,114532,190,111258,3084
2020-08-15,114809,192,111505,3112
2020-08-16,115080,193,111794,3093
2020-08-17,115368,193,112088,3087
2020-08-18,115661,193,112355,3113
2020-08-19,115956,193,112658,3105
2020-08-20,116224,193,112924,3107
2020-08-21,116481,193,113216,3072
2020-08-22,116765,193,113531,3041
2020-08-23,117008,193,113808,3007
2020-08-24,117266,194,114099,2973
2020-08-25,117498,194,114318,2986
