Day,Confirmed,Deaths,Recovered,Active
2020-03-14,1,0,0,1
2020-03-15,1,0,0,1
2020-03-16,5,0,0,5
2020-03-17,7,0,0,7
2020-03-18,8,0,0,8
2020-03-19,8,0,0,8
2020-03-20,17,0,0,17
2020-03-21,17,0,0,17
2020-03-22,19,0,0,19
2020-03-23,36,0,0,36
2020-03-24,40,0,0,40
2020-03-25,41,0,0,41
2020-03-26,50,0,0,50
2020-03-27,54,0,0,54
2020-03-28,60,0,0,60
2020-03-29,70,0,0,70
2020-03-30,70,0,0,70
2020-03-31,75,0,0,75
2020-04-01,82,0,0,82
2020-04-02,84,0,0,84
2020-04-03,89,0,0,89
2020-04-04,102,0,0,102
2020-04-05,104,0,4,100
2020-04-06,105,0,4,101
2020-04-07,105,0,7,98
2020-04-08,110,0,7,103
2020-04-09,110,0,7,103
2020-04-10,118,0,7,111
2020-04-11,120,0,18,102
2020-04-12,126,0,25,101
2020-04-13,127,0,42,85
2020-04-14,134,0,49,85
2020-04-15,136,0,54,82
2020-04-16,138,0,60,78
2020-04-17,143,0,65,78
2020-04-18,144,0,69,75
2020-04-19,147,0,76,71
2020-04-20,147,0,76,71
2020-04-21,150,0,84,66
2020-04-22,153,0,84,69
2020-04-23,154,0,87,67
2020-04-24,176,0,87,89
2020-04-25,183,0,88,95
2020-04-26,191,0,92,99
2020-04-27,207,0,93,114
2020-04-28,212,0,95,117
2020-04-29,225,0,98,127
2020-04-30,243,0,104,139
2020-05-01,249,0,109,140
2020-05-02,255,0,120,135
2020-05-03,259,0,124,135
2020-05-04,261,0,128,133
2020-05-05,261,0,129,132
2020-05-06,268,0,130,138
2020-05-07,271,0,133,138
2020-05-08,273,0,136,137
2020-05-09,280,0,140,140
2020-05-10,284,0,140,144
2020-05-11,285,0,150,135
2020-05-12,286,0,153,133
2020-05-13,287,0,164,123
2020-05-14,287,0,168,119
2020-05-15,287,0,177,110
2020-05-16,289,0,178,111
2020-05-17,292,0,197,95
2020-05-18,297,0,203,94
2020-05-19,308,0,209,99
2020-05-20,314,0,216,98
2020-05-21,320,0,217,103
2020-05-22,321,0,222,99
2020-05-23,325,0,227,98
2020-05-24,327,0,237,90
2020-05-25,336,0,238,98
2020-05-26,339,0,244,95
2020-05-27,346,0,245,101
2020-05-28,349,0,245,104
2020-05-29,355,0,247,108
2020-05-30,359,1,250,108
2020-05-31,370,1,256,113
2020-06-01,377,1,262,114
2020-06-02,384,2,269,113
2020-06-03,397,2,271,124
2020-06-04,410,2,280,128
2020-06-05,420,2,282,136
2020-06-06,431,2,283,146
2020-06-07,439,2,290,147
2020-06-08,451,2,297,152
2020-06-09,463,2,300,161
2020-06-10,476,2,307,167
2020-06-11,494,2,313,179
2020-06-12,510,2,321,187
2020-06-13,541,2,332,207
2020-06-14,582,2,332,248
2020-06-15,612,2,338,272
2020-06-16,636,2,338,296
2020-06-17,639,2,347,290
2020-06-18,646,2,350,294
2020-06-19,661,2,351,308
2020-06-20,702,2,357,343
2020-06-21,728,2,359,367
2020-06-22,787,2,370,415
2020-06-23,798,2,371,425
2020-06-24,830,2,376,452
2020-06-25,850,2,385,463
2020-06-26,858,2,398,458
2020-06-27,878,2,413,463
2020-06-28,900,2,443,455
2020-06-29,1001,2,443,556
2020-06-30,1025,2,447,576
2020-07-01,1042,3,480,559
2020-07-02,1063,3,493,567
2020-07-03,1081,3,512,566
2020-07-04,1092,3,523,566
2020-07-05,1105,3,567,535
2020-07-06,1113,3,575,535
2020-07-07,1172,3,595,574
2020-07-08,1194,3,610,581
2020-07-09,1210,3,623,584
2020-07-10,1252,3,635,614
2020-07-11,1299,4,663,632
2020-07-12,1337,4,684,649
2020-07-13,1378,4,710,664
2020-07-14,1416,4,737,675
2020-07-15,1435,4,752,679
2020-07-16,1473,4,770,699
2020-07-17,1485,4,811,670
2020-07-18,1539,5,819,715
2020-07-19,1582,5,834,743
2020-07-20,1629,5,838,786
2020-07-21,1655,5,848,802
2020-07-22,1689,5,867,817
2020-07-23,1710,5,889,816
2020-07-24,1729,5,900,824
2020-07-25,1752,5,907,840
2020-07-26,1821,5,918,898
