Day,Confirmed,Deaths,Recovered,Active
2020-02-27,1,0,0,1
2020-02-28,1,0,0,1
2020-02-29,1,0,0,1
2020-03-01,1,0,0,1
2020-03-02,8,0,0,8
2020-03-03,10,1,0,9
2020-03-04,16,1,0,15
2020-03-05,21,1,0,20
2020-03-06,21,1,0,20
2020-03-07,23,1,0,22
2020-03-08,36,1,0,35
2020-03-09,36,1,0,35
2020-03-10,51,2,0,49
2020-03-11,62,2,0,60
2020-03-12,69,3,0,66
2020-03-13,80,5,0,75
2020-03-14,80,5,4,71
2020-03-15,101,5,4,92
2020-03-16,109,7,4,98
2020-03-17,109,7,4,98
2020-03-18,119,11,4,104
2020-03-19,119,11,4,104
2020-03-20,144,14,4,126
2020-03-21,144,20,4,120
2020-03-22,175,20,4,151
2020-03-23,187,20,4,163
2020-03-24,187,21,4,162
2020-03-25,208,21,4,183
2020-03-26,208,21,4,183
2020-03-27,223,21,4,198
2020-03-28,224,22,6,196
2020-03-29,224,22,6,196
2020-03-30,230,25,13,192
2020-03-31,236,26,13,197
2020-04-01,236,26,13,197
2020-04-02,245,30,21,194
2020-04-03,245,30,21,194
2020-04-04,259,32,27,200
2020-04-05,266,32,35,199
2020-04-06,266,32,35,199
2020-04-07,279,34,40,205
2020-04-08,279,34,40,205
2020-04-09,333,34,49,250
2020-04-10,344,34,50,260
2020-04-11,356,35,53,268
2020-04-12,356,35,53,268
2020-04-13,356,35,53,268
2020-04-14,371,36,53,282
2020-04-15,372,36,53,283
2020-04-16,426,38,55,333
2020-04-17,435,39,57,339
2020-04-18,455,39,60,356
2020-04-19,461,39,60,362
2020-04-20,462,39,61,362
2020-04-21,476,40,62,374
2020-04-22,488,40,62,386
2020-04-23,501,40,63,398
2020-04-24,513,40,64,409
2020-04-25,513,40,64,409
2020-04-26,538,41,64,433
2020-04-27,538,41,64,433
2020-04-28,553,41,64,448
2020-04-29,563,41,69,453
2020-04-30,569,41,78,450
2020-05-01,580,41,82,457
2020-05-02,580,41,83,456
2020-05-03,582,41,86,455
2020-05-04,582,41,86,455
2020-05-05,589,41,92,456
2020-05-06,608,41,97,470
2020-05-07,622,41,106,475
2020-05-08,623,41,114,468
2020-05-09,637,41,126,470
2020-05-10,628,41,126,461
2020-05-11,628,41,130,457
2020-05-12,638,41,161,436
2020-05-13,643,41,161,441
2020-05-14,648,41,172,435
2020-05-15,652,41,189,422
2020-05-16,653,41,198,414
2020-05-17,654,41,201,412
2020-05-18,654,41,203,410
2020-05-19,655,41,211,403
2020-05-20,656,41,220,395
2020-05-21,658,41,235,382
2020-05-22,661,41,254,366
2020-05-23,665,42,266,357
2020-05-24,665,42,266,357
2020-05-25,666,42,270,354
2020-05-26,666,42,275,349
2020-05-27,667,42,294,331
2020-05-28,670,42,322,306
2020-05-29,671,42,344,285
2020-05-30,671,42,357,272
2020-05-31,671,42,357,272
2020-06-01,671,42,359,270
2020-06-02,672,42,384,246
2020-06-03,674,42,391,241
2020-06-04,678,42,408,228
2020-06-05,680,42,428,210
2020-06-06,680,42,428,210
2020-06-07,680,42,428,210
2020-06-08,687,42,478,167
2020-06-09,688,42,483,163
2020-06-10,691,42,496,153
2020-06-11,691,42,496,153
2020-06-12,694,42,520,132
2020-06-13,694,42,520,132
2020-06-14,694,42,520,132
2020-06-15,694,42,575,77
2020-06-16,694,42,590,62
2020-06-17,696,42,591,63
2020-06-18,696,42,609,45
2020-06-19,696,42,610,44
2020-06-20,696,42,610,44
2020-06-21,696,42,610,44
2020-06-22,697,42,627,28
2020-06-23,698,42,632,24
2020-06-24,698,42,647,9
2020-06-25,698,42,653,3
2020-06-26,698,42,656,0
2020-06-27,698,42,656,0
2020-06-28,698,42,656,0
2020-06-29,698,42,656,0
2020-06-30,698,42,656,0
2020-07-01,698,42,656,0
2020-07-02,698,42,656,0
2020-07-03,698,42,656,0
2020-07-04,698,42,656,0
2020-07-05,698,42,656,0
2020-07-06,698,42,656,0
2020-07-07,698,42,656,0
2020-07-08,698,42,656,0
2020-07-09,699,42,656,1
2020-07-10,699,42,656,1
2020-07-11,699,42,656,1
2020-07-12,699,42,656,1
2020-07-13,699,42,656,1
2020-07-14,699,42,656,1
2020-07-15,699,42,656,1
2020-07-16,699,42,656,1
2020-07-17,699,42,656,1
2020-07-18,699,42,656,1
2020-07-19,699,42,656,1
2020-07-20,699,42,656,1
2020-07-21,699,42,656,1
2020-07-22,699,42,656,1
2020-07-23,699,42,656,1
2020-07-24,699,42,657,0
2020-07-25,699,42,657,0
2020-07-26,699,42,657,0
2020-07-27,699,42,657,0
2020-07-28,699,42,657,0
2020-07-29,699,42,657,0
2020-07-30,699,42,657,0
2020-07-31,699,42,657,0
2020-08-01,699,42,657,0
2020-08-02,699,42,657,0
2020-08-03,699,42,657,0
2020-08-04,699,42,657,0
2020-08-05,699,42,657,0
2020-08-06,699,42,657,0
2020-08-07,699,42,657,0
2020-08-08,699,42,657,0
2020-08-09,699,42,657,0
2020-08-10,699,42,657,0
2020-08-11,699,42,657,0
2020-08-12,699,42,657,0
2020-08-13,699,42,657,0
2020-08-14,699,42,657,0
2020-08-15,699,42,657,0
2020-08-16,699,42,657,0
2020-08-17,699,42,657,0
2020-08-18,702,42,657,3
2020-08-19,704,42,657,5
2020-08-20,704,42,657,5
2020-08-21,704,42,657,5
2020-08-22,704,42,657,5
2020-08-23,704,42,657,5
2020-08-24,704,42,657,5
2020-08-25,710,42,658,10
2020-08-26,710,42,658,10
2020-08-27,710,42,658,10
2020-08-28,710,42,658,10
2020-08-29,710,42,658,10
2020-08-30,710,42,658,10
2020-08-31,715,42,660,13
2020-09-01,715,42,660,13
2020-09-02,735,42,660,33
2020-09-03,735,42,660,33
2020-09-04,735,42,660,33
2020-09-05,716,42,660,14
2020-09-06,716,42,660,14
2020-09-07,716,42,660,14
2020-09-08,716,42,660,14
2020-09-09,722,42,662,18
2020-09-10,722,42,662,18
2020-09-11,722,42,662,18
2020-09-12,722,42,662,18
2020-09-13,722,42,662,18
2020-09-14,722,42,662,18
2020-09-15,723,42,663,18
2020-09-16,723,42,663,18
2020-09-17,723,42,663,18
2020-09-18,723,42,669,12
2020-09-19,723,42,669,12
2020-09-20,723,42,669,12
2020-09-21,723,42,669,12
2020-09-22,723,42,669,12
2020-09-23,723,42,669,12
2020-09-24,727,42,676,9
2020-09-25,727,42,676,9
2020-09-26,727,42,676,9
2020-09-27,727,42,676,9
2020-09-28,727,42,676,9
2020-09-29,727,42,676,9
2020-09-30,732,42,680,10
2020-10-01,732,42,680,10
2020-10-02,732,42,680,10
2020-10-03,732,42,680,10
2020-10-04,732,42,680,10
2020-10-05,732,42,680,10
2020-10-06,732,42,680,10
2020-10-07,732,42,680,10
2020-10-08,741,42,682,17
2020-10-09,741,42,682,17
2020-10-10,741,42,682,17
2020-10-11,741,42,682,17
2020-10-12,741,42,682,17
2020-10-13,741,42,682,17
2020-10-14,741,42,682,17
2020-10-15,759,42,685,32
2020-10-16,759,42,685,32
2020-10-17,759,42,685,32
2020-10-18,759,42,685,32
2020-10-19,766,42,688,36
2020-10-20,766,42,688,36
2020-10-21,774,42,690,42
2020-10-22,802,42,711,49
2020-10-23,819,42,716,61
2020-10-24,819,42,716,61
2020-10-25,819,42,716,61
