Day,Confirmed,Deaths,Recovered,Active
2020-03-31,1,0,0,1
2020-04-01,2,0,0,2
2020-04-02,2,0,0,2
2020-04-03,2,0,0,2
2020-04-04,4,0,0,4
2020-04-05,6,0,0,6
2020-04-06,6,0,0,6
2020-04-07,6,0,0,6
2020-04-08,7,0,0,7
2020-04-09,7,0,0,7
2020-04-10,8,0,0,8
2020-04-11,8,0,0,8
2020-04-12,10,0,0,10
2020-04-13,10,0,0,10
2020-04-14,11,0,0,11
2020-04-15,13,0,0,13
2020-04-16,15,0,0,15
2020-04-17,26,0,0,26
2020-04-18,30,0,0,30
2020-04-19,35,0,6,29
2020-04-20,43,0,6,37
2020-04-21,50,0,6,44
2020-04-22,61,0,6,55
2020-04-23,64,1,10,53
2020-04-24,82,2,10,70
2020-04-25,82,2,10,70
2020-04-26,93,4,10,79
2020-04-27,93,4,10,79
2020-04-28,104,4,12,88
2020-04-29,104,4,12,88
2020-04-30,124,7,21,96
2020-05-01,136,7,21,108
2020-05-02,155,8,21,126
2020-05-03,166,8,29,129
2020-05-04,178,9,37,132
2020-05-05,199,11,43,145
2020-05-06,225,14,54,157
2020-05-07,231,16,54,161
2020-05-08,257,17,54,186
2020-05-09,291,18,58,215
2020-05-10,307,18,67,222
2020-05-11,338,19,72,247
2020-05-12,338,19,72,247
2020-05-13,387,26,97,264
2020-05-14,408,26,97,285
2020-05-15,447,27,97,323
2020-05-16,462,29,106,327
2020-05-17,505,32,141,332
2020-05-18,519,33,148,338
2020-05-19,534,33,167,334
2020-05-20,570,34,205,331
2020-05-21,585,35,205,345
2020-05-22,606,38,230,338
2020-05-23,621,39,241,341
2020-05-24,707,40,241,426
2020-05-25,735,42,293,400
2020-05-26,754,44,297,413
2020-05-27,782,45,297,440
2020-05-28,812,45,361,406
2020-05-29,829,45,386,398
2020-05-30,852,46,415,391
2020-05-31,861,46,454,361
2020-06-01,865,46,475,344
2020-06-02,896,46,480,370
2020-06-03,909,47,491,371
2020-06-04,914,47,491,376
2020-06-05,929,47,580,302
2020-06-06,946,48,600,298
2020-06-07,969,48,608,313
2020-06-08,1001,49,611,341
2020-06-09,1025,50,621,354
2020-06-10,1062,50,637,375
2020-06-11,1085,50,642,393
2020-06-12,1103,51,648,404
2020-06-13,1132,51,670,411
2020-06-14,1169,51,680,438
2020-06-15,1176,51,683,442
2020-06-16,1225,51,686,488
2020-06-17,1249,51,707,491
2020-06-18,1272,51,710,511
2020-06-19,1298,53,732,513
2020-06-20,1309,53,746,510
2020-06-21,1327,55,788,484
2020-06-22,1340,55,788,497
2020-06-23,1347,55,853,439
2020-06-24,1354,55,869,430
2020-06-25,1354,56,869,429
2020-06-26,1394,59,914,421
2020-06-27,1410,59,937,414
2020-06-28,1427,60,943,424
2020-06-29,1450,60,961,429
2020-06-30,1462,60,974,428
2020-07-01,1498,60,999,439
2020-07-02,1518,60,1007,451
2020-07-03,1524,62,1042,420
2020-07-04,1533,62,1051,420
2020-07-05,1542,62,1062,418
2020-07-06,1547,62,1086,399
2020-07-07,1572,63,1088,421
2020-07-08,1584,63,1122,399
2020-07-09,1598,63,1123,412
2020-07-10,1613,63,1133,417
2020-07-11,1618,63,1141,414
2020-07-12,1635,63,1154,418
2020-07-13,1642,63,1175,404
2020-07-14,1651,64,1190,397
2020-07-15,1668,64,1200,404
2020-07-16,1678,64,1213,401
2020-07-17,1688,65,1219,404
2020-07-18,1701,65,1237,399
2020-07-19,1711,65,1237,409
2020-07-20,1711,66,1261,384
2020-07-21,1727,66,1273,388
2020-07-22,1731,66,1288,377
2020-07-23,1752,66,1292,394
2020-07-24,1765,66,1297,402
2020-07-25,1768,66,1297,405
2020-07-26,1783,66,1313,404
2020-07-27,1783,66,1317,400
2020-07-28,1786,66,1336,384
2020-07-29,1803,67,1355,381
2020-07-30,1818,67,1362,389
2020-07-31,1823,67,1362,394
2020-08-01,1823,67,1362,394
2020-08-02,1843,67,1375,401
2020-08-03,1848,67,1375,406
2020-08-04,1855,67,1397,391
2020-08-05,1860,67,1401,392
2020-08-06,1877,67,1427,383
2020-08-07,1887,68,1435,384
2020-08-08,1895,68,1442,385
2020-08-09,1916,68,1445,403
2020-08-10,1917,69,1447,401
2020-08-11,1932,69,1478,385
2020-08-12,1937,69,1483,385
2020-08-13,1940,69,1496,375
2020-08-14,1947,69,1502,376
2020-08-15,1954,69,1505,380
2020-08-16,1956,69,1506,381
2020-08-17,1956,69,1506,381
2020-08-18,1959,69,1529,361
2020-08-19,1961,69,1531,361
2020-08-20,1969,69,1536,364
2020-08-21,1972,69,1542,361
2020-08-22,1980,69,1545,366
2020-08-23,1992,69,1550,373
2020-08-24,1997,69,1557,371
2020-08-25,2001,69,1569,363
2020-08-26,2003,69,1577,357
2020-08-27,2013,70,1581,362
2020-08-28,2013,70,1581,362
2020-08-29,2019,70,1591,358
2020-08-30,2022,70,1594,358
2020-08-31,2022,70,1594,358
2020-09-01,2028,71,1594,363
2020-09-02,2029,71,1600,358
2020-09-03,2035,71,1600,364
2020-09-04,2041,71,1602,368
2020-09-05,2041,71,1602,368
2020-09-06,2054,71,1611,372
2020-09-07,2055,71,1611,373
2020-09-08,2064,72,1613,379
2020-09-09,2067,72,1622,373
2020-09-10,2069,72,1622,375
2020-09-11,2087,72,1622,393
2020-09-12,2096,72,1634,390
2020-09-13,2109,72,1636,401
2020-09-14,2111,72,1636,403
2020-09-15,2126,72,1640,414
2020-09-16,2133,72,1646,415
2020-09-17,2133,72,1646,415
2020-09-18,2153,72,1649,432
2020-09-19,2159,72,1650,437
2020-09-20,2168,72,1650,446
2020-09-21,2168,72,1650,446
2020-09-22,2174,72,1652,450
2020-09-23,2183,72,1665,446
2020-09-24,2188,72,1666,450
2020-09-25,2199,72,1678,449
2020-09-26,2208,72,1679,457
2020-09-27,2215,72,1681,462
2020-09-28,2215,72,1681,462
2020-09-29,2222,72,1685,465
2020-09-30,2231,72,1687,472
2020-10-01,2238,72,1695,471
2020-10-02,2252,72,1697,483
2020-10-03,2259,72,1704,483
2020-10-04,2269,72,1706,491
2020-10-05,2269,72,1706,491
2020-10-06,2277,72,1710,495
2020-10-07,2287,72,1716,499
2020-10-08,2293,72,1721,500
2020-10-09,2295,72,1723,500
2020-10-10,2300,72,1725,503
2020-10-11,2306,72,1736,498
2020-10-12,2306,72,1736,498
2020-10-13,2309,72,1738,499
2020-10-14,2315,73,1743,499
2020-10-15,2323,73,1746,504
2020-10-16,2325,73,1750,502
2020-10-17,2327,73,1753,501
2020-10-18,2330,73,1760,497
2020-10-19,2331,73,1760,498
2020-10-20,2336,73,1765,498
2020-10-21,2337,73,1771,493
2020-10-22,2340,73,1777,490
2020-10-23,2343,74,1782,487
2020-10-24,2345,74,1784,487
2020-10-25,2346,74,1787,485
