Day,Confirmed,Deaths,Recovered,Active
2020-03-06,1,0,0,1
2020-03-07,1,0,0,1
2020-03-08,3,0,0,3
2020-03-09,3,0,0,3
2020-03-10,7,0,0,7
2020-03-11,10,0,0,10
2020-03-12,16,0,0,16
2020-03-13,32,0,0,32
2020-03-14,44,0,0,44
2020-03-15,54,0,0,54
2020-03-16,63,0,0,63
2020-03-17,72,0,0,72
2020-03-18,105,1,0,104
2020-03-19,123,1,0,122
2020-03-20,137,1,0,136
2020-03-21,178,1,0,177
2020-03-22,185,0,7,178
2020-03-23,186,0,7,179
2020-03-24,204,0,7,197
2020-03-25,216,0,7,209
2020-03-26,226,0,2,224
2020-03-27,269,0,2,267
2020-03-28,292,0,2,290
2020-03-29,314,0,2,312
2020-03-30,336,0,7,329
2020-03-31,363,0,3,360
2020-04-01,400,1,3,396
2020-04-02,426,1,5,420
2020-04-03,450,1,10,439
2020-04-04,471,1,10,460
2020-04-05,485,1,10,474
2020-04-06,534,2,8,524
2020-04-07,581,2,13,566
2020-04-08,682,2,16,664
2020-04-09,701,2,23,676
2020-04-10,715,2,23,690
2020-04-11,728,2,23,703
2020-04-12,742,2,23,717
2020-04-13,769,2,107,660
2020-04-14,835,2,113,720
2020-04-15,863,6,151,706
2020-04-16,977,8,167,802
2020-04-17,1049,9,175,865
2020-04-18,1089,11,213,865
2020-04-19,1161,12,229,920
2020-04-20,1173,13,251,909
2020-04-21,1199,14,258,927
2020-04-22,1244,14,284,946
2020-04-23,1325,15,288,1022
2020-04-24,1360,17,355,988
2020-04-25,1373,17,386,970
2020-04-26,1379,18,394,967
2020-04-27,1381,18,403,960
2020-04-28,1384,20,423,941
2020-04-29,1391,22,484,885
2020-04-30,1396,23,524,849
2020-05-01,1403,23,558,822
2020-05-02,1407,24,608,775
2020-05-03,1408,24,619,765
2020-05-04,1413,25,643,745
2020-05-05,1421,25,741,655
2020-05-06,1429,25,762,642
2020-05-07,1445,26,806,613
2020-05-08,1455,26,905,524
2020-05-09,1455,26,919,510
2020-05-10,1457,26,941,490
2020-05-11,1457,26,959,472
