Day,Confirmed,Deaths,Recovered,Active
2020-03-05,2,0,0,2
2020-03-06,7,0,0,7
2020-03-07,7,0,0,7
2020-03-08,16,0,0,16
2020-03-09,16,0,0,16
2020-03-10,31,0,0,31
2020-03-11,57,0,0,57
2020-03-12,89,0,0,89
2020-03-13,141,0,0,141
2020-03-14,181,1,0,180
2020-03-15,219,1,0,218
2020-03-16,253,1,0,252
2020-03-17,275,1,0,274
2020-03-18,275,1,0,274
2020-03-19,286,1,0,285
2020-03-20,341,1,0,340
2020-03-21,383,1,0,382
2020-03-22,414,2,0,412
2020-03-23,442,3,0,439
2020-03-24,480,4,3,473
2020-03-25,528,5,10,513
2020-03-26,562,6,10,546
2020-03-27,632,9,10,613
2020-03-28,684,9,10,665
2020-03-29,730,11,10,709
2020-03-30,756,11,10,735
2020-03-31,802,15,10,777
2020-04-01,841,15,10,816
2020-04-02,897,17,70,810
2020-04-03,934,20,70,844
2020-04-04,977,22,79,876
2020-04-05,997,28,79,890
2020-04-06,1021,30,102,889
2020-04-07,1059,36,102,921
2020-04-08,1091,40,120,931
2020-04-09,1124,43,128,953
2020-04-10,1160,45,137,978
2020-04-11,1188,50,148,990
2020-04-12,1205,53,150,1002
2020-04-13,1212,55,152,1005
2020-04-14,1220,56,152,1012
2020-04-15,1248,61,165,1022
2020-04-16,1268,61,174,1033
2020-04-17,1304,66,174,1064
2020-04-18,1317,70,190,1057
2020-04-19,1330,74,192,1064
2020-04-20,1335,77,193,1065
2020-04-21,1344,77,197,1070
2020-04-22,1353,79,205,1069
2020-04-23,1366,79,211,1076
2020-04-24,1373,80,211,1082
2020-04-25,1388,81,219,1088
2020-04-26,1396,82,221,1093
2020-04-27,1402,83,221,1098
2020-04-28,1408,86,223,1099
2020-04-29,1418,89,230,1099
2020-04-30,1429,91,233,1105
2020-05-01,1434,92,233,1109
2020-05-02,1439,94,239,1106
2020-05-03,1439,96,241,1102
2020-05-04,1439,97,241,1101
2020-05-05,1445,98,244,1103
2020-05-06,1448,99,246,1103
2020-05-07,1449,99,247,1103
2020-05-08,1450,100,252,1098
2020-05-09,1454,101,255,1098
2020-05-10,1457,102,256,1099
2020-05-11,1460,102,256,1102
2020-05-12,1461,102,259,1100
2020-05-13,1463,103,260,1100
2020-05-14,1464,103,267,1094
2020-05-15,1465,103,270,1092
2020-05-16,1465,103,272,1090
2020-05-17,1466,104,273,1089
2020-05-18,1466,104,1335,27
2020-05-19,1467,104,1338,25
2020-05-20,1468,105,1340,23
2020-05-21,1468,106,1340,22
2020-05-22,1468,106,1340,22
2020-05-23,1468,106,1340,22
2020-05-24,1468,107,1340,21
2020-05-25,1469,107,1346,16
2020-05-26,1469,108,1346,15
2020-05-27,1471,108,1354,9
2020-05-28,1473,108,1356,9
2020-05-29,1473,108,1357,8
2020-05-30,1473,108,1357,8
2020-05-31,1473,108,1358,7
2020-06-01,1473,109,1358,6
2020-06-02,1475,109,1358,8
2020-06-03,1477,109,1358,10
2020-06-04,1477,109,1359,9
2020-06-05,1479,109,1359,11
2020-06-06,1484,109,1359,16
2020-06-07,1485,109,1359,17
2020-06-08,1485,109,1359,17
2020-06-09,1486,109,1359,18
2020-06-10,1488,109,1359,20
2020-06-11,1488,109,1359,20
2020-06-12,1490,109,1359,22
2020-06-13,1492,109,1359,24
2020-06-14,1495,109,1359,27
2020-06-15,1496,109,1359,28
2020-06-16,1499,109,1359,31
2020-06-17,1503,109,1359,35
2020-06-18,1511,109,1359,43
2020-06-19,1513,109,1359,45
2020-06-20,1519,109,1359,51
2020-06-21,1520,109,1376,35
2020-06-22,1521,109,1376,36
