Day,Confirmed,Deaths,Recovered,Active
2020-04-30,15,0,0,15
2020-05-01,15,0,0,15
2020-05-02,76,2,0,74
2020-05-03,128,2,0,126
2020-05-04,230,3,0,227
2020-05-05,293,5,0,288
2020-05-06,379,8,0,371
2020-05-07,461,12,0,449
2020-05-08,522,12,0,510
2020-05-09,612,20,0,592
2020-05-10,612,20,0,592
2020-05-11,661,21,0,640
2020-05-12,729,21,0,708
2020-05-13,801,23,0,778
2020-05-14,907,29,0,878
2020-05-15,1118,33,0,1085
2020-05-16,1322,36,0,1286
2020-05-17,1524,39,0,1485
2020-05-18,1729,41,0,1688
2020-05-19,1936,41,641,1254
2020-05-20,2140,41,470,1629
2020-05-21,2350,44,470,1836
2020-05-22,2551,44,1089,1418
2020-05-23,2738,44,1223,1471
2020-05-24,2929,46,1301,1582
2020-05-25,3100,46,1395,1659
2020-05-26,3266,47,1417,1802
2020-05-27,3424,47,1575,1802
2020-05-28,3563,47,1674,1842
2020-05-29,3686,47,1769,1870
2020-05-30,3807,47,1865,1895
2020-05-31,3930,47,2004,1879
2020-06-01,4013,47,2089,1877
2020-06-02,4100,47,2217,1836
2020-06-03,4191,48,2347,1796
2020-06-04,4289,48,2401,1840
2020-06-05,4370,48,2491,1831
2020-06-06,4453,48,2583,1822
2020-06-07,4529,48,2673,1808
2020-06-08,4609,48,2763,1798
2020-06-09,4690,48,2815,1827
2020-06-10,4763,48,2947,1768
2020-06-11,4834,49,3062,1723
2020-06-12,4902,49,3158,1695
2020-06-13,4971,50,3288,1633
2020-06-14,5035,50,3409,1576
2020-06-15,5097,50,3503,1544
2020-06-16,5160,50,3624,1486
2020-06-17,5221,51,3700,1470
2020-06-18,5279,51,3762,1466
2020-06-19,5338,51,3830,1457
2020-06-20,5399,52,3894,1453
2020-06-21,5457,52,3995,1410
2020-06-22,5513,52,4039,1422
2020-06-23,5567,52,4109,1406
2020-06-24,5630,52,4194,1384
2020-06-25,5691,52,4267,1372
2020-06-26,5747,52,4331,1364
2020-06-27,5799,52,4391,1356
2020-06-28,5849,52,4448,1349
2020-06-29,5900,52,4506,1342
2020-06-30,5900,52,4506,1342
2020-07-01,6005,52,4627,1326
2020-07-02,6058,52,4690,1316
2020-07-03,6058,52,4690,1316
2020-07-04,6159,52,4809,1298
2020-07-05,6213,53,4858,1302
2020-07-06,6262,53,4914,1295
2020-07-07,6315,53,4965,1297
2020-07-08,6364,54,5011,1299
2020-07-09,6410,54,5067,1289
2020-07-10,6457,55,5115,1287
2020-07-11,6506,55,5176,1275
2020-07-12,6552,55,5228,1269
2020-07-13,6596,55,5278,1263
2020-07-14,6643,56,5332,1255
2020-07-15,6695,56,5383,1256
2020-07-16,6741,56,5431,1254
2020-07-17,6786,56,5483,1247
2020-07-18,6834,57,5529,1248
2020-07-19,6878,57,5578,1243
