Day,Confirmed,Deaths,Recovered,Active
2020-03-21,1,0,0,1
2020-03-22,1,0,0,1
2020-03-23,9,0,0,9
2020-03-24,9,0,0,9
2020-03-25,14,0,0,14
2020-03-26,14,0,0,14
2020-03-27,23,0,0,23
2020-03-28,30,0,0,30
2020-03-29,33,0,0,33
2020-03-30,33,0,0,33
2020-03-31,44,0,0,44
2020-04-01,44,0,0,44
2020-04-02,45,0,0,45
2020-04-03,48,0,0,48
2020-04-04,48,0,0,48
2020-04-05,52,0,0,52
2020-04-06,52,0,0,52
2020-04-07,52,0,0,52
2020-04-08,53,0,0,53
2020-04-09,53,0,0,53
2020-04-10,53,0,0,53
2020-04-11,53,0,4,49
2020-04-12,54,0,4,50
2020-04-13,54,0,7,47
2020-04-14,55,0,8,47
2020-04-15,55,0,12,43
2020-04-16,55,0,20,35
2020-04-17,56,0,20,36
2020-04-18,55,0,22,33
2020-04-19,55,0,28,27
2020-04-20,56,0,38,18
2020-04-21,61,0,38,23
2020-04-22,63,0,45,18
2020-04-23,74,0,46,28
2020-04-24,75,0,46,29
2020-04-25,75,0,46,29
2020-04-26,79,0,46,33
2020-04-27,79,0,47,32
2020-04-28,79,0,52,27
2020-04-29,81,0,52,29
2020-04-30,83,0,52,31
2020-05-01,85,0,52,33
2020-05-02,88,0,52,36
2020-05-03,89,0,52,37
2020-05-04,97,0,55,42
2020-05-05,98,0,55,43
2020-05-06,100,0,55,45
2020-05-07,101,0,55,46
2020-05-08,101,0,55,46
2020-05-09,116,0,55,61
2020-05-10,121,0,55,66
2020-05-11,121,0,55,66
2020-05-12,129,0,55,74
2020-05-13,139,0,55,84
2020-05-14,160,0,63,97
2020-05-15,203,0,63,140
2020-05-16,227,0,63,164
2020-05-17,227,0,63,164
2020-05-18,248,0,63,185
2020-05-19,260,0,63,197
2020-05-20,264,0,65,199
2020-05-21,160,0,66,94
2020-05-22,175,0,68,107
2020-05-23,198,0,68,130
2020-05-24,198,0,68,130
2020-05-25,222,0,69,153
2020-05-26,253,0,69,184
2020-05-27,281,0,69,212
2020-05-28,317,0,69,248
2020-05-29,329,0,72,257
2020-05-30,413,0,72,341
2020-05-31,417,0,72,345
2020-06-01,457,0,72,385
2020-06-02,489,0,82,407
2020-06-03,507,0,82,425
2020-06-04,522,0,82,440
2020-06-05,557,0,82,475
2020-06-06,593,0,82,511
2020-06-07,616,0,96,520
2020-06-08,646,0,103,543
2020-06-09,657,0,118,539
2020-06-10,665,0,119,546
2020-06-11,679,0,161,518
2020-06-12,686,0,161,525
2020-06-13,694,0,219,475
2020-06-14,696,0,240,456
2020-06-15,705,0,299,406
2020-06-16,724,0,351,373
2020-06-17,732,0,420,312
2020-06-18,741,0,486,255
2020-06-19,755,0,492,263
2020-06-20,763,0,492,271
2020-06-21,770,0,578,192
2020-06-22,774,0,631,143
2020-06-23,797,0,699,98
2020-06-24,805,0,717,88
2020-06-25,821,0,731,90
2020-06-26,833,0,761,72
2020-06-27,848,0,761,87
2020-06-28,859,0,794,65
2020-06-29,870,0,808,62
2020-06-30,889,0,819,70
2020-07-01,893,0,837,56
2020-07-02,902,0,847,55
2020-07-03,911,0,849,62
2020-07-04,927,0,868,59
2020-07-05,939,0,891,48
2020-07-06,953,0,892,61
2020-07-07,971,0,896,75
2020-07-08,977,0,904,73
2020-07-09,1000,0,908,92
2020-07-10,1006,0,938,68
2020-07-11,1013,0,952,61
2020-07-12,1025,0,972,53
2020-07-13,1029,0,977,52
2020-07-14,1040,0,984,56
2020-07-15,1043,0,1004,39
2020-07-16,1051,0,1014,37
2020-07-17,1056,0,1023,33
2020-07-18,1062,0,1023,39
2020-07-19,1065,0,1023,42
2020-07-20,1069,0,1071,-2
2020-07-21,1072,0,958,114
2020-07-22,1075,0,958,117
2020-07-23,1079,0,971,108
2020-07-24,1089,1,975,113
2020-07-25,1103,1,982,120
2020-07-26,1115,2,982,131
2020-07-27,1128,2,986,140
2020-07-28,1135,2,989,144
2020-07-29,1140,2,1028,110
2020-07-30,1147,2,1028,117
2020-07-31,1154,3,1028,123
2020-08-01,1176,4,1045,127
2020-08-02,1182,4,1045,133
2020-08-03,1195,5,1070,120
2020-08-04,1203,5,1073,125
2020-08-05,1213,5,1102,106
2020-08-06,1223,5,1102,116
2020-08-07,1254,6,1113,135
2020-08-08,1267,6,1115,146
2020-08-09,1283,7,1115,161
2020-08-10,1297,9,1137,151
2020-08-11,1313,9,1138,166
2020-08-12,1332,9,1139,184
2020-08-13,1353,11,1141,201
2020-08-14,1385,12,1142,231
2020-08-15,1434,13,1142,279
2020-08-16,1500,13,1142,345
2020-08-17,1560,15,1165,380
2020-08-18,1603,15,1165,423
2020-08-19,1656,16,1188,452
2020-08-20,1750,19,1194,537
2020-08-21,1848,19,1199,630
2020-08-22,2166,20,1199,947
2020-08-23,2263,20,1199,1044
2020-08-24,2362,22,1248,1092
2020-08-25,2426,25,1267,1134
2020-08-26,2524,26,1268,1230
2020-08-27,2679,28,1268,1383
2020-08-28,2756,28,1288,1440
2020-08-29,2847,29,1288,1530
2020-08-30,2928,30,1288,1610
2020-08-31,2972,32,1288,1652
2020-09-01,3037,32,1489,1516
2020-09-02,3112,32,1528,1552
2020-09-03,3288,33,1532,1723
2020-09-04,3353,35,1564,1754
2020-09-05,3539,39,1564,1936
2020-09-06,3667,41,1564,2062
2020-09-07,3776,44,1741,1991
2020-09-08,3900,46,1817,2037
2020-09-09,4101,46,1876,2179
2020-09-10,4291,48,1998,2245
2020-09-11,4377,49,1998,2330
2020-09-12,4703,52,1998,2653
