Day,Confirmed,Deaths,Recovered,Active
2020-01-29,4,0,0,4
2020-01-30,4,0,0,4
2020-01-31,4,0,0,4
2020-02-01,4,0,0,4
2020-02-02,5,0,0,5
2020-02-03,5,0,0,5
2020-02-04,5,0,0,5
2020-02-05,5,0,0,5
2020-02-06,5,0,0,5
2020-02-07,5,0,0,5
2020-02-08,7,0,0,7
2020-02-09,7,0,0,7
2020-02-10,8,0,0,8
2020-02-11,8,0,0,8
2020-02-12,8,0,1,7
2020-02-13,8,0,1,7
2020-02-14,8,0,1,7
2020-02-15,8,0,3,5
2020-02-16,9,0,4,5
2020-02-17,9,0,4,5
2020-02-18,9,0,4,5
2020-02-19,9,0,4,5
2020-02-20,9,0,4,5
2020-02-21,9,0,4,5
2020-02-22,13,0,4,9
2020-02-23,13,0,4,9
2020-02-24,13,0,4,9
2020-02-25,13,0,4,9
2020-02-26,13,0,4,9
2020-02-27,13,0,4,9
2020-02-28,19,0,5,14
2020-02-29,21,0,5,16
2020-03-01,21,0,5,16
2020-03-02,21,0,5,16
2020-03-03,27,0,5,22
2020-03-04,27,0,5,22
2020-03-05,29,0,5,24
2020-03-06,29,0,5,24
2020-03-07,45,0,7,38
2020-03-08,45,0,7,38
2020-03-09,45,0,7,38
2020-03-10,74,0,12,62
2020-03-11,74,0,17,57
2020-03-12,85,0,17,68
2020-03-13,85,0,17,68
2020-03-14,85,0,17,68
2020-03-15,98,0,23,75
2020-03-16,98,0,23,75
2020-03-17,98,0,23,75
2020-03-18,113,0,26,87
2020-03-19,140,0,31,109
2020-03-20,140,2,31,107
2020-03-21,153,2,38,113
2020-03-22,153,2,38,113
2020-03-23,198,2,41,155
2020-03-24,248,2,45,201
2020-03-25,333,2,52,279
2020-03-26,333,2,52,279
2020-03-27,405,2,52,351
2020-03-28,468,2,52,414
2020-03-29,570,3,58,509
2020-03-30,611,5,61,545
2020-03-31,664,6,61,597
2020-04-01,814,8,61,745
2020-04-02,1024,8,96,920
2020-04-03,1264,9,108,1147
2020-04-04,1505,10,125,1370
2020-04-05,1799,10,144,1645
2020-04-06,2076,11,167,1898
2020-04-07,2359,12,186,2161
2020-04-08,2659,12,239,2408
2020-04-09,2990,14,268,2708
2020-04-10,3360,16,418,2926
2020-04-11,3736,20,588,3128
2020-04-12,4123,22,680,3421
2020-04-13,4521,25,852,3644
2020-04-14,4933,28,933,3972
2020-04-15,5365,33,1034,4298
2020-04-16,5825,35,1095,4695
2020-04-17,6302,37,1188,5077
2020-04-18,6302,37,1188,5077
2020-04-19,6781,41,1286,5454
2020-04-20,7265,43,1360,5862
2020-04-21,7755,46,1443,6266
2020-04-22,8238,52,1546,6640
2020-04-23,8756,56,1637,7063
2020-04-24,9281,64,1760,7457
2020-04-25,9813,71,1887,7855
2020-04-26,10349,76,1978,8295
2020-04-27,10839,82,2090,8667
2020-04-28,11380,89,2181,9110
2020-04-29,11929,98,2329,9502
2020-04-30,12481,105,2429,9947
2020-05-01,13038,111,2543,10384
2020-05-02,13599,119,2664,10816
2020-05-03,14163,126,2763,11274
2020-05-04,14730,137,2966,11627
2020-05-05,15192,146,3153,11893
2020-05-06,15738,157,3359,12222
2020-05-07,16240,165,3572,12503
2020-05-08,16793,174,3837,12782
2020-05-09,17417,185,4295,12937
2020-05-10,18198,198,4804,13196
2020-05-11,18878,201,5381,13296
2020-05-12,19661,203,6012,13446
2020-05-13,20386,206,6523,13657
2020-05-14,21084,208,6930,13946
2020-05-15,21831,210,7328,14293
2020-05-16,22627,214,7931,14482
2020-05-17,23358,220,8512,14626
2020-05-18,24190,224,9577,14389
2020-05-19,25063,227,10791,14045
2020-05-20,26004,233,11809,13962
2020-05-21,26898,237,12755,13906
2020-05-22,27892,241,13798,13853
2020-05-23,28704,244,14495,13965
2020-05-24,29485,245,15056,14184
2020-05-25,30307,248,15657,14402
2020-05-26,31086,253,15982,14851
2020-05-27,31969,255,16371,15343
2020-05-28,32532,258,16685,15589
2020-05-29,33170,260,17097,15813
2020-05-30,33896,262,17546,16088
2020-05-31,34557,264,17932,16361
2020-06-01,35192,266,18338,16588
2020-06-02,35788,269,18726,16793
2020-06-03,36359,270,19153,16936
2020-06-04,37018,273,19572,17173
2020-06-05,37642,274,20337,17031
2020-06-06,38268,275,21061,16932
2020-06-07,38808,276,21806,16726
2020-06-08,39376,281,22275,16820
2020-06-09,39904,283,22740,16881
2020-06-10,40507,284,24017,16206
2020-06-11,40986,286,25234,15466
2020-06-12,41499,287,25946,15266
2020-06-13,41990,288,26761,14941
2020-06-14,42294,289,27462,14543
2020-06-15,42636,291,28129,14216
2020-06-16,42982,293,28861,13828
2020-06-17,43364,295,29537,13532
2020-06-18,43752,298,30241,13213
2020-06-19,44145,300,30996,12849
2020-06-20,44533,301,31754,12478
2020-06-21,44925,302,32415,12208
2020-06-22,45303,303,33046,11954
2020-06-23,45683,305,33703,11675
2020-06-24,46133,307,34405,11421
2020-06-25,46563,308,35165,11090
2020-06-26,46973,310,35469,11194
2020-06-27,47360,311,35834,11215
2020-06-28,47797,313,36411,11073
2020-06-29,48246,314,37076,10856
2020-06-30,48667,315,37566,10786
2020-07-01,49069,316,38160,10593
2020-07-02,49469,317,38664,10488
2020-07-03,50141,318,39153,10670
2020-07-04,50857,321,39857,10679
2020-07-05,51540,323,40297,10920
2020-07-06,52068,324,40721,11023
2020-07-07,52600,326,41714,10560
2020-07-08,53045,327,42282,10436
2020-07-09,53577,328,43570,9679
2020-07-10,54050,330,43969,9751
2020-07-11,54453,331,44648,9474
2020-07-12,54854,333,45140,9381
2020-07-13,55198,334,45513,9351
2020-07-14,55573,335,46025,9213
2020-07-15,55848,335,46418,9095
2020-07-16,56129,335,47412,8382
2020-07-17,56422,337,48448,7637
2020-07-18,56711,338,48917,7456
2020-07-19,56922,339,49269,7314
2020-07-20,57193,340,49621,7232
2020-07-21,57498,341,49964,7193
2020-07-22,57734,342,50354,7038
2020-07-23,57988,342,50848,6798
2020-07-24,58249,343,51235,6671
2020-07-25,58562,343,51628,6591
2020-07-26,58913,344,52182,6387
2020-07-27,59177,345,52510,6322
2020-07-28,59546,347,52905,6294
2020-07-29,59921,347,53202,6372
2020-07-30,60223,349,53626,6248
2020-07-31,60506,351,53909,6246
2020-08-01,60760,351,54255,6154
2020-08-02,60999,351,54615,6033
2020-08-03,61163,351,54863,5949
2020-08-04,61352,351,55090,5911
2020-08-05,61606,353,55385,5868
2020-08-06,61845,354,55739,5752
2020-08-07,62061,356,56015,5690
2020-08-08,62300,356,56245,5699
2020-08-09,62525,357,56568,5600
2020-08-10,62704,357,56766,5581
2020-08-11,62966,358,56961,5647
2020-08-12,63212,358,57193,5661
2020-08-13,63489,358,57372,5759
2020-08-14,63819,359,57473,5987
2020-08-15,64102,361,57571,6170
2020-08-16,64312,364,57694,6254
2020-08-17,64541,364,57794,6383
2020-08-18,64906,366,57909,6631
2020-08-19,65341,367,58022,6952
2020-08-20,65802,369,58153,7280
2020-08-21,66193,370,58296,7527
2020-08-22,66617,372,58408,7837
2020-08-23,67007,375,58488,8144
2020-08-24,67282,376,58582,8324
2020-08-25,67621,377,58754,8490
2020-08-26,68020,378,59070,8572
2020-08-27,68511,378,59472,8661
2020-08-28,68901,379,59861,8661
2020-08-29,69328,379,60202,8747
2020-08-30,69690,382,60600,8708
2020-08-31,70231,384,60931,8916
2020-09-01,70805,384,61491,8930
2020-09-02,71540,387,62029,9124
2020-09-03,72154,387,62668,9099
2020-09-04,72766,387,63158,9221
2020-09-05,73471,388,63652,9431
2020-09-06,73984,388,66095,7501
2020-09-07,74454,390,66533,7531
2020-09-08,75098,391,66943,7764
2020-09-09,75981,393,67359,8229
2020-09-10,76911,398,67945,8568
2020-09-11,77842,398,68462,8982
2020-09-12,78849,399,68983,9467
2020-09-13,79489,399,69451,9639
2020-09-14,80266,399,69981,9886
2020-09-15,80940,401,70635,9904
2020-09-16,81782,402,71456,9924
2020-09-17,82568,402,72117,10049
2020-09-18,83433,403,72790,10240
2020-09-19,84242,404,73512,10326
2020-09-20,84916,404,74273,10239
2020-09-21,85595,405,75086,10104
2020-09-22,86447,405,76025,10017
2020-09-23,87530,406,76995,10129
2020-09-24,88532,407,77937,10188
2020-09-25,89540,409,78819,10312
2020-09-26,90618,411,79676,10531
2020-09-27,91469,412,80544,10513
2020-09-28,92095,413,81462,10220
2020-09-29,93090,416,82538,10136
2020-09-30,94190,419,83724,10047
2020-10-01,95348,421,84903,10024
2020-10-02,96529,424,86071,10034
2020-10-03,97760,426,87122,10212
2020-10-04,98801,426,88123,10252
2020-10-05,99733,429,89410,9894
2020-10-06,100794,435,90556,9803
2020-10-07,101840,436,91710,9694
2020-10-08,102929,438,93479,9012
2020-10-09,104004,442,94903,8659
2020-10-10,105133,443,95973,8717
2020-10-11,106229,445,97284,8500
2020-10-12,107293,446,98555,8292
2020-10-13,108608,448,100007,8153
2020-10-14,110039,450,101659,7930
2020-10-15,111437,452,103325,7660
2020-10-16,112849,455,104943,7451
2020-10-17,114387,459,106354,7574
2020-10-18,115602,463,107516,7623
2020-10-19,116517,466,108811,7240
2020-10-20,117594,470,110313,6811
2020-10-21,119132,472,111814,6846
2020-10-22,120710,474,113364,6872
2020-10-23,122273,475,115068,6730
2020-10-24,123764,475,116894,6395
2020-10-25,125123,477,118931,5715
