Day,Confirmed,Deaths,Recovered,Active
2020-03-22,5683,281,93,5309
2020-03-23,6650,335,135,6180
2020-03-24,8077,422,135,7520
2020-03-25,9529,465,135,8929
2020-03-26,11658,578,135,10945
2020-03-27,14543,759,135,13649
2020-03-28,17089,1019,135,15935
2020-03-29,19522,1228,135,18159
2020-03-30,22141,1408,135,20598
2020-03-31,25150,1789,135,23226
2020-04-01,29474,2352,135,26987
2020-04-02,33718,2921,135,30662
2020-04-03,38168,3605,135,34428
2020-04-04,41903,4313,135,37455
2020-04-05,47806,4934,135,42737
2020-04-06,51608,5373,135,46100
2020-04-07,55242,6159,135,48948
2020-04-08,60733,7097,135,53501
2020-04-09,65077,7978,135,56964
2020-04-10,73758,8958,344,64456
2020-04-11,78991,9875,344,68772
2020-04-12,84279,10612,344,73323
2020-04-13,88621,11329,0,77292
2020-04-14,93873,12107,0,81766
2020-04-15,98476,12868,0,85608
2020-04-16,103093,13729,0,89364
2020-04-17,108692,14576,0,94116
2020-04-18,114217,15464,0,98753
2020-04-19,120067,16060,0,104007
2020-04-20,124743,16509,0,108234
2020-04-21,129044,17337,0,111707
2020-04-22,133495,18100,0,115395
2020-04-23,138078,18738,0,119340
2020-04-24,143464,19506,0,123958
2020-04-25,148377,20319,0,128058
2020-04-26,152840,20732,0,132108
2020-04-27,157149,21092,0,136057
2020-04-28,161145,21678,0,139467
2020-04-29,165221,26097,0,139124
2020-04-30,171253,26771,0,144482
2020-05-01,177454,27510,0,149944
2020-05-02,182260,28131,0,154129
2020-05-03,186599,28446,0,158153
2020-05-04,190584,28734,0,161850
2020-05-05,194990,29427,0,165563
2020-05-06,201101,30076,0,171025
2020-05-07,206715,30615,0,176100
2020-05-08,211364,31241,0,180123
2020-05-09,215260,31587,0,183673
2020-05-10,219183,31855,0,187328
2020-05-11,223060,32065,0,190995
2020-05-12,226463,32692,0,193771
2020-05-13,229705,33186,0,196519
2020-05-14,233151,33614,0,199537
2020-05-15,236711,33998,0,202713
2020-05-16,240161,34466,0,205695
2020-05-17,243695,34636,0,209059
2020-05-18,246406,34796,0,211610
2020-05-19,248818,35341,0,213477
2020-05-20,248293,35704,0,212589
2020-05-21,250908,36042,0,214866
2020-05-22,254195,36393,0,217802
2020-05-23,257154,36675,0,220479
2020-05-24,259559,36793,0,222766
2020-05-25,261184,36914,0,224270
2020-05-26,265227,37048,0,228179
2020-05-27,267240,37460,0,229780
2020-05-28,269127,37837,0,231290
2020-05-29,271222,38161,0,233061
2020-05-30,272826,38376,0,234450
2020-05-31,274762,38489,0,236273
2020-06-01,276332,39045,0,237287
2020-06-02,277985,39369,0,238616
2020-06-03,279856,39728,0,240128
2020-06-04,281661,39904,0,241757
2020-06-05,283311,40261,0,243050
2020-06-06,284868,40465,0,244403
2020-06-07,286194,40542,0,245652
2020-06-08,287399,40597,0,246802
2020-06-09,289140,40883,0,248257
2020-06-10,290143,41128,0,249015
