Day,Confirmed,Deaths,Recovered,Active
2020-03-15,1,0,0,1
2020-03-16,6,0,0,6
2020-03-17,10,0,0,10
2020-03-18,15,0,0,15
2020-03-19,23,0,0,23
2020-03-20,33,0,0,33
2020-03-21,43,0,0,43
2020-03-22,43,0,0,43
2020-03-23,46,0,0,46
2020-03-24,50,0,0,50
2020-03-25,60,0,0,60
2020-03-26,75,0,0,75
2020-03-27,88,1,5,82
2020-03-28,104,2,5,97
2020-03-29,144,2,7,135
2020-03-30,149,2,7,140
2020-03-31,172,2,7,163
2020-04-01,181,2,12,167
2020-04-02,205,2,25,178
2020-04-03,227,2,25,200
2020-04-04,266,2,25,239
2020-04-05,342,2,30,310
2020-04-06,457,2,30,425
2020-04-07,520,2,30,488
2020-04-08,545,3,30,512
2020-04-09,582,3,38,541
2020-04-10,624,3,42,579
2020-04-11,767,4,42,721
2020-04-12,865,4,66,795
2020-04-13,998,4,85,909
2020-04-14,1165,4,99,1062
2020-04-15,1302,4,107,1191
2020-04-16,1349,4,129,1216
2020-04-17,1405,4,156,1245
2020-04-18,1490,5,194,1291
2020-04-19,1565,5,225,1335
2020-04-20,1627,5,261,1361
2020-04-21,1678,6,357,1315
2020-04-22,1716,7,450,1259
2020-04-23,1758,7,561,1190
2020-04-24,1804,8,621,1175
2020-04-25,1862,8,707,1147
2020-04-26,1869,8,789,1072
2020-04-27,1904,8,892,1004
2020-04-28,1939,8,992,939
2020-04-29,2002,9,1096,897
2020-04-30,2039,9,1133,897
2020-05-01,2086,9,1212,865
2020-05-02,2118,9,1271,838
2020-05-03,2149,10,1319,820
2020-05-04,2189,10,1405,774
2020-05-05,2207,10,1501,696
2020-05-06,2233,10,1577,646
2020-05-07,2298,10,1656,632
2020-05-08,2325,10,1775,540
2020-05-09,2349,10,1846,493
2020-05-10,2418,10,1881,527
2020-05-11,2486,10,1988,488
2020-05-12,2519,10,2010,499
2020-05-13,2612,11,2076,525
2020-05-14,2645,11,2136,498
2020-05-15,2686,11,2158,517
2020-05-16,2738,11,2213,514
2020-05-17,2753,12,2247,494
2020-05-18,2791,13,2314,464
2020-05-19,2855,13,2338,504
2020-05-20,2939,13,2372,554
2020-05-21,2964,13,2407,544
2020-05-22,3028,13,2492,523
2020-05-23,3115,13,2532,570
2020-05-24,3164,13,2565,586
2020-05-25,3189,13,2607,569
2020-05-26,3290,14,2636,640
2020-05-27,3369,14,2668,687
2020-05-28,3444,14,2694,736
2020-05-29,3468,14,2728,726
2020-05-30,3546,14,2783,749
2020-05-31,3623,15,2837,771
2020-06-01,3702,15,2859,828
2020-06-02,3760,15,2908,837
2020-06-03,3843,16,3014,813
2020-06-04,3939,16,3087,836
2020-06-05,4007,16,3247,744
2020-06-06,4094,17,3268,809
2020-06-07,4331,17,3354,960
2020-06-08,4440,18,3357,1065
2020-06-09,4520,18,3459,1043
2020-06-10,4623,19,3532,1072
2020-06-11,4741,19,3637,1085
2020-06-12,4869,19,3758,1092
2020-06-13,4966,19,3874,1073
2020-06-14,5080,19,3943,1118
2020-06-15,5263,19,4019,1225
2020-06-16,5493,19,4096,1378
2020-06-17,5682,19,4131,1532
2020-06-18,5767,19,4166,1582
2020-06-19,5946,19,4273,1654
2020-06-20,6153,19,4290,1844
2020-06-21,6315,19,4377,1919
2020-06-22,6461,19,4450,1992
2020-06-23,6662,19,4560,2083
2020-06-24,6990,19,4685,2286
2020-06-25,7177,20,4877,2280
2020-06-26,7427,20,5038,2369
2020-06-27,7682,20,5240,2422
2020-06-28,7948,22,5329,2597
2020-06-29,8222,23,5496,2703
2020-06-30,8503,26,5682,2795
2020-07-01,8781,26,5847,2908
2020-07-02,9078,27,6034,3017
2020-07-03,9396,29,6251,3116
2020-07-04,9708,31,6425,3252
2020-07-05,10020,34,6584,3402
2020-07-06,10362,37,6628,3697
2020-07-07,10838,41,6811,3986
2020-07-08,11092,45,7060,3987
2020-07-09,11564,51,7287,4226
2020-07-10,12027,54,7530,4443
2020-07-11,12513,57,7723,4733
2020-07-12,12997,60,7852,5085
2020-07-13,13591,64,8030,5497
2020-07-14,14085,67,8327,5691
2020-07-15,14581,71,8655,5855
2020-07-16,15066,75,8783,6208
2020-07-17,15607,79,9003,6525
2020-07-18,16186,83,9127,6976
2020-07-19,16752,87,9279,7386
2020-07-20,17149,90,9387,7672
2020-07-21,17881,95,9521,8265
2020-07-22,18379,98,9872,8409
2020-07-23,18986,103,10149,8734
2020-07-24,19360,106,10472,8782
2020-07-25,19952,111,10831,9010
2020-07-26,20531,116,11105,9310
2020-07-27,21209,121,11674,9414
