Day,Confirmed,Deaths,Recovered,Active
2020-03-14,2,0,0,2
2020-03-15,10,0,0,10
2020-03-16,17,0,0,17
2020-03-17,33,0,0,33
2020-03-18,36,0,0,36
2020-03-19,42,0,0,42
2020-03-20,42,0,0,42
2020-03-21,70,0,0,70
2020-03-22,70,0,15,55
2020-03-23,77,0,15,62
2020-03-24,84,0,15,69
2020-03-25,91,0,15,76
2020-03-26,107,0,15,92
2020-03-27,107,1,31,75
2020-03-28,119,2,39,78
2020-03-29,119,2,39,78
2020-03-30,135,3,39,93
2020-03-31,135,3,39,93
2020-04-01,143,3,41,99
2020-04-02,146,5,43,98
2020-04-03,153,7,52,94
2020-04-04,155,7,52,96
2020-04-05,159,7,52,100
2020-04-06,165,7,65,93
2020-04-07,165,7,65,93
2020-04-08,167,9,65,93
2020-04-09,171,9,84,78
2020-04-10,171,9,84,78
2020-04-11,175,9,93,73
2020-04-12,181,9,93,79
2020-04-13,189,9,110,70
2020-04-14,189,9,110,70
2020-04-15,197,9,111,77
2020-04-16,204,9,111,84
2020-04-17,204,9,111,84
2020-04-18,227,9,113,105
2020-04-19,256,9,117,130
2020-04-20,256,9,117,130
2020-04-21,285,10,117,158
2020-04-22,288,10,122,156
2020-04-23,311,10,126,175
2020-04-24,318,10,132,176
2020-04-25,323,10,132,181
2020-04-26,325,10,137,178
2020-04-27,329,10,142,177
2020-04-28,329,10,142,177
2020-04-29,331,10,142,179
2020-04-30,333,16,142,175
2020-05-01,335,10,148,177
2020-05-02,345,10,148,187
2020-05-03,357,10,158,189
2020-05-04,357,10,158,189
2020-05-05,361,10,158,193
2020-05-06,379,10,176,193
2020-05-07,381,10,185,186
2020-05-08,388,10,190,188
2020-05-09,402,10,190,202
2020-05-10,414,10,193,211
2020-05-11,422,10,205,207
2020-05-12,423,10,220,193
2020-05-13,423,10,220,193
2020-05-14,455,10,220,225
2020-05-15,459,10,229,220
2020-05-16,504,10,241,253
2020-05-17,541,10,241,290
2020-05-18,618,10,253,355
2020-05-19,749,10,253,486
2020-05-20,824,10,262,552
2020-05-21,882,10,262,610
2020-05-22,944,10,262,672
2020-05-23,1010,10,262,738
2020-05-24,1121,10,262,849
2020-05-25,1177,10,302,865
2020-05-26,1211,11,302,898
2020-05-27,1245,11,302,932
2020-05-28,1325,11,302,1012
