Day,Confirmed,Deaths,Recovered,Active
2020-03-26,84,1,17,66
2020-03-27,91,1,17,73
2020-03-28,98,1,18,79
2020-03-29,109,1,18,90
2020-03-30,116,1,18,97
2020-03-31,119,1,18,100
2020-04-01,134,1,18,115
2020-04-02,161,1,18,142
2020-04-03,194,1,21,172
2020-04-04,217,1,21,195
2020-04-05,237,1,25,211
2020-04-06,254,1,24,229
2020-04-07,261,1,42,218
2020-04-08,263,1,44,218
2020-04-09,263,1,44,218
2020-04-10,267,2,45,220
2020-04-11,268,2,57,209
2020-04-12,290,2,58,230
2020-04-13,308,2,58,248
2020-04-14,308,2,62,244
2020-04-15,374,2,63,309
2020-04-16,374,2,63,309
2020-04-17,402,2,69,331
2020-04-18,418,2,69,347
2020-04-19,437,3,71,363
2020-04-20,449,3,71,375
2020-04-21,466,4,71,391
2020-04-22,474,4,71,399
2020-04-23,480,4,92,384
2020-04-24,484,4,92,388
2020-04-25,342,2,92,248
2020-04-26,342,2,83,257
2020-04-27,342,2,83,257
2020-04-28,343,2,71,270
2020-04-29,344,2,71,271
2020-04-30,344,2,76,266
2020-05-01,353,2,76,275
2020-05-02,353,2,76,275
2020-05-03,353,2,77,274
2020-05-04,362,2,102,258
2020-05-05,371,2,127,242
2020-05-06,374,2,174,198
2020-05-07,375,2,176,197
2020-05-08,375,2,228,145
2020-05-09,375,2,228,145
2020-05-10,375,2,263,110
2020-05-11,375,2,301,72
2020-05-12,375,2,308,65
2020-05-13,375,2,310,63
2020-05-14,375,2,310,63
2020-05-15,375,2,315,58
2020-05-16,376,2,329,45
2020-05-17,381,2,335,44
2020-05-18,388,2,337,49
2020-05-19,391,2,346,43
2020-05-20,398,2,346,50
2020-05-21,423,2,346,75
2020-05-22,423,2,346,75
2020-05-23,423,3,348,72
2020-05-24,423,3,357,63
2020-05-25,423,3,357,63
2020-05-26,429,3,365,61
2020-05-27,434,3,365,66
2020-05-28,446,3,368,75
2020-05-29,446,3,368,75
2020-05-30,447,3,368,76
2020-05-31,448,3,372,73
2020-06-01,449,3,372,74
2020-06-02,451,3,372,76
2020-06-03,457,3,372,82
2020-06-04,464,3,377,84
2020-06-05,464,3,377,84
2020-06-06,464,3,400,61
2020-06-07,472,3,403,66
2020-06-08,473,3,404,66
2020-06-09,481,3,404,74
2020-06-10,485,3,410,72
2020-06-11,487,3,410,74
2020-06-12,489,3,414,72
2020-06-13,489,3,415,71
2020-06-14,492,3,415,74
2020-06-15,505,3,415,87
2020-06-16,514,3,415,96
2020-06-17,555,3,415,137
2020-06-18,600,3,415,182
2020-06-19,675,3,437,235
2020-06-20,784,3,437,344
2020-06-21,833,3,439,391
2020-06-22,1001,3,442,556
2020-06-23,1169,3,442,724
2020-06-24,1328,3,442,883
2020-06-25,1382,3,446,933
2020-06-26,1557,3,446,1108
2020-06-27,1815,4,446,1365
2020-06-28,1990,4,447,1539
2020-06-29,2185,5,447,1733
2020-06-30,2428,8,451,1969
2020-07-01,2758,8,460,2290
2020-07-02,3080,9,460,2611
2020-07-03,3334,11,463,2860
2020-07-04,3835,13,463,3359
2020-07-05,4277,16,491,3770
2020-07-06,4341,17,491,3833
2020-07-07,4647,18,494,4135
2020-07-08,5029,20,494,4515
2020-07-09,5220,24,525,4671
2020-07-10,5551,27,536,4988
2020-07-11,5931,33,536,5362
2020-07-12,6230,36,942,5252
2020-07-13,6566,39,1084,5443
2020-07-14,6764,44,1084,5636
2020-07-15,7064,44,1084,5936
2020-07-16,7412,51,1313,6048
2020-07-17,7764,53,1492,6219
2020-07-18,8204,59,1596,6549
2020-07-19,8549,62,1921,6566
2020-07-20,8916,63,1921,6932
2020-07-21,9228,64,1932,7232
2020-07-22,9398,66,1950,7382
2020-07-23,9744,67,2720,6957
2020-07-24,10093,70,2720,7303
2020-07-25,10306,75,3282,6949
2020-07-26,10469,76,3752,6641
