Day,Confirmed,Deaths,Recovered,Active
2020-04-10,1,0,0,1
2020-04-11,1,0,0,1
2020-04-12,1,0,0,1
2020-04-13,1,0,0,1
2020-04-14,1,0,0,1
2020-04-15,1,0,0,1
2020-04-16,1,0,0,1
2020-04-17,1,0,0,1
2020-04-18,1,0,0,1
2020-04-19,1,0,0,1
2020-04-20,1,0,0,1
2020-04-21,1,0,0,1
2020-04-22,1,0,0,1
2020-04-23,1,0,0,1
2020-04-24,1,0,1,0
2020-04-25,1,0,1,0
2020-04-26,1,0,1,0
2020-04-27,1,0,1,0
2020-04-28,1,0,1,0
2020-04-29,6,0,1,5
2020-04-30,6,2,1,3
2020-05-01,7,2,1,4
2020-05-02,10,2,1,7
2020-05-03,10,2,1,7
2020-05-04,12,2,1,9
2020-05-05,22,4,1,17
2020-05-06,25,5,1,19
2020-05-07,25,5,1,19
2020-05-08,34,7,1,26
2020-05-09,34,7,1,26
2020-05-10,51,8,1,42
2020-05-11,56,9,1,46
2020-05-12,65,10,1,54
2020-05-13,70,12,1,57
2020-05-14,85,12,1,72
2020-05-15,106,15,1,90
2020-05-16,122,18,1,103
2020-05-17,128,20,1,107
2020-05-18,130,20,1,109
2020-05-19,167,28,5,134
2020-05-20,184,30,5,149
2020-05-21,197,33,5,159
2020-05-22,209,33,11,165
2020-05-23,212,39,11,162
2020-05-24,222,42,10,170
2020-05-25,233,44,10,179
2020-05-26,249,49,10,190
2020-05-27,256,53,10,193
2020-05-28,278,57,11,210
2020-05-29,283,65,11,207
2020-05-30,310,77,13,220
2020-05-31,323,80,14,229
2020-06-01,354,84,14,256
2020-06-02,399,87,15,297
2020-06-03,419,95,17,307
2020-06-04,453,103,17,333
2020-06-05,469,111,23,335
2020-06-06,482,111,23,348
2020-06-07,484,112,23,349
2020-06-08,496,112,23,361
2020-06-09,524,127,23,374
2020-06-10,560,129,23,408
2020-06-11,591,136,23,432
2020-06-12,632,139,28,465
2020-06-13,705,160,39,506
2020-06-14,728,164,53,511
2020-06-15,844,208,79,557
2020-06-16,885,214,91,580
2020-06-17,902,244,271,387
2020-06-18,909,248,273,388
2020-06-19,919,251,288,380
2020-06-20,922,254,328,340
2020-06-21,941,256,347,338
2020-06-22,967,257,350,360
2020-06-23,992,261,356,375
2020-06-24,1015,274,379,362
2020-06-25,1076,288,386,402
2020-06-26,1089,293,402,394
2020-06-27,1103,296,417,390
2020-06-28,1118,302,430,386
2020-06-29,1128,304,432,392
2020-06-30,1158,312,488,358
2020-07-01,1190,318,504,368
2020-07-02,1221,325,513,383
2020-07-03,1240,335,536,369
2020-07-04,1248,337,537,374
2020-07-05,1265,338,552,375
2020-07-06,1284,345,575,364
2020-07-07,1297,348,591,358
2020-07-08,1318,351,595,372
2020-07-09,1356,361,619,376
2020-07-10,1380,364,630,386
2020-07-11,1389,365,642,382
