Day,Confirmed,Deaths,Recovered,Active
2020-03-20,1,0,0,1
2020-03-21,3,0,0,3
2020-03-22,3,0,0,3
2020-03-23,3,1,0,2
2020-03-24,3,1,0,2
2020-03-25,3,1,0,2
2020-03-26,3,1,0,2
2020-03-27,5,1,0,4
2020-03-28,7,1,0,6
2020-03-29,7,1,0,6
2020-03-30,7,1,0,6
2020-03-31,8,1,0,7
2020-04-01,8,1,0,7
2020-04-02,9,1,0,8
2020-04-03,9,1,0,8
2020-04-04,9,1,0,8
2020-04-05,9,1,0,8
2020-04-06,10,1,0,9
2020-04-07,11,2,0,9
2020-04-08,11,3,0,8
2020-04-09,11,3,0,8
2020-04-10,13,3,0,10
2020-04-11,14,3,0,11
2020-04-12,14,3,0,11
2020-04-13,17,3,0,14
2020-04-14,17,3,0,14
2020-04-15,23,3,1,19
2020-04-16,23,3,1,19
2020-04-17,24,3,2,19
2020-04-18,25,3,2,20
2020-04-19,25,3,2,20
2020-04-20,25,3,2,20
2020-04-21,28,3,2,23
2020-04-22,28,4,2,22
2020-04-23,28,4,2,22
2020-04-24,29,4,2,23
2020-04-25,31,4,2,25
2020-04-26,31,4,2,25
2020-04-27,32,4,5,23
2020-04-28,32,4,5,23
2020-04-29,32,4,5,23
2020-04-30,40,4,5,31
2020-05-01,40,4,5,31
2020-05-02,34,4,5,25
2020-05-03,34,4,5,25
2020-05-04,34,4,5,25
2020-05-05,34,4,5,25
2020-05-06,34,4,5,25
2020-05-07,34,4,5,25
2020-05-08,34,4,9,21
2020-05-09,35,4,9,22
2020-05-10,36,4,9,23
2020-05-11,36,4,9,23
2020-05-12,36,4,9,23
2020-05-13,37,4,12,21
2020-05-14,37,4,13,20
2020-05-15,42,4,13,25
2020-05-16,42,4,13,25
2020-05-17,44,4,17,23
2020-05-18,46,4,18,24
2020-05-19,46,4,18,24
2020-05-20,48,4,18,26
2020-05-21,51,4,18,29
2020-05-22,51,4,18,29
2020-05-23,56,4,18,34
2020-05-24,56,4,25,27
2020-05-25,56,4,25,27
2020-05-26,56,4,25,27
2020-05-27,132,4,25,103
2020-05-28,149,4,28,117
2020-05-29,149,4,28,117
2020-05-30,174,4,29,141
2020-05-31,178,4,29,145
2020-06-01,203,4,29,170
2020-06-02,206,4,29,173
2020-06-03,222,4,29,189
2020-06-04,237,4,31,202
2020-06-05,265,4,33,228
2020-06-06,279,4,33,242
2020-06-07,282,4,34,244
2020-06-08,287,4,46,237
2020-06-09,314,4,46,264
2020-06-10,320,4,49,267
2020-06-11,332,4,51,277
2020-06-12,343,4,51,288
2020-06-13,356,4,54,298
2020-06-14,383,4,54,325
2020-06-15,387,4,54,329
2020-06-16,391,4,62,325
2020-06-17,401,4,63,334
2020-06-18,463,4,63,396
2020-06-19,479,4,63,412
2020-06-20,479,4,63,412
2020-06-21,489,6,64,419
2020-06-22,512,6,64,442
2020-06-23,525,6,64,455
2020-06-24,530,6,123,401
2020-06-25,551,6,128,417
2020-06-26,561,6,135,420
2020-06-27,567,6,142,419
2020-06-28,567,6,142,419
2020-06-29,574,7,152,415
2020-06-30,591,7,162,422
2020-07-01,605,7,166,432
2020-07-02,617,7,173,437
2020-07-03,625,7,176,442
2020-07-04,698,8,181,509
2020-07-05,716,8,181,527
2020-07-06,734,9,197,528
2020-07-07,787,9,201,577
2020-07-08,885,9,206,670
2020-07-09,885,9,206,670
2020-07-10,942,13,320,609
2020-07-11,982,18,320,644
2020-07-12,985,18,328,639
2020-07-13,1034,19,343,672
2020-07-14,1064,20,343,701
2020-07-15,1089,20,395,674
2020-07-16,1362,23,425,914
2020-07-17,1420,24,438,958
2020-07-18,1478,25,439,1014
2020-07-19,1611,25,472,1114
2020-07-20,1713,26,472,1215
2020-07-21,1820,26,488,1306
2020-07-22,2034,26,510,1498
2020-07-23,2124,28,510,1586
2020-07-24,2296,32,514,1750
2020-07-25,2434,34,518,1882
2020-07-26,2512,34,518,1960
2020-07-27,2704,36,542,2126
2020-07-28,2817,40,604,2173
2020-07-29,2879,41,887,1951
2020-07-30,3092,53,924,2115
2020-07-31,3169,67,1004,2098
2020-08-01,3659,69,1011,2579
2020-08-02,3921,70,1016,2835
2020-08-03,4075,80,1057,2938
2020-08-04,4221,81,1238,2902
2020-08-05,4221,81,1238,2902
2020-08-06,4339,84,1264,2991
2020-08-07,4451,102,1345,3004
2020-08-08,4575,102,1416,3057
2020-08-09,4649,104,1437,3108
2020-08-10,4748,104,1524,3120
2020-08-11,4818,104,1524,3190
2020-08-12,4893,122,1620,3151
2020-08-13,4990,128,1927,2935
2020-08-14,5072,128,1998,2946
2020-08-15,5176,130,2047,2999
2020-08-16,5261,132,2092,3037
2020-08-17,5308,135,3848,1325
2020-08-18,5378,141,4105,1132
2020-08-19,5643,150,4442,1051
2020-08-20,5745,151,4525,1069
2020-08-21,5815,152,4587,1076
2020-08-22,5893,153,4629,1111
2020-08-23,5930,155,4872,903
2020-08-24,6070,155,4950,965
2020-08-25,6196,166,4961,1069
2020-08-26,6251,179,5001,1071
2020-08-27,6292,189,5010,1093
2020-08-28,6388,195,5043,1150
2020-08-29,6406,196,5056,1154
2020-08-30,6412,196,5061,1155
2020-08-31,6497,202,5221,1074
2020-09-01,6559,203,5241,1115
2020-09-02,6638,206,5250,1182
2020-09-03,6678,206,5263,1209
2020-09-04,6837,206,5345,1286
2020-09-05,6837,206,5345,1286
2020-09-06,6837,206,5345,1286
2020-09-07,7298,210,5455,1633
2020-09-08,7388,218,5477,1693
2020-09-09,7429,222,5542,1665
2020-09-10,7453,222,5635,1596
2020-09-11,7479,224,5660,1595
2020-09-12,7508,224,5675,1609
2020-09-13,7526,224,5678,1624
2020-09-14,7531,224,5690,1617
2020-09-15,7576,224,5783,1569
2020-09-16,7598,224,5823,1551
2020-09-17,7633,224,5841,1568
2020-09-18,7647,224,5883,1540
2020-09-19,7672,225,5914,1533
2020-09-20,7683,225,5924,1534
2020-09-21,7683,225,5924,1534
2020-09-22,7711,226,5979,1506
2020-09-23,7725,227,6007,1491
2020-09-24,7752,227,6043,1482
2020-09-25,7787,227,6057,1503
2020-09-26,7803,227,6067,1509
2020-09-27,7812,227,6106,1479
2020-09-28,7816,228,6112,1476
2020-09-29,7837,228,6122,1487
2020-09-30,7838,228,6303,1307
2020-10-01,7850,228,6312,1310
2020-10-02,7858,228,6322,1308
2020-10-03,7885,228,6327,1330
2020-10-04,7888,228,6359,1301
2020-10-05,7898,228,6424,1246
2020-10-06,7915,229,6440,1246
2020-10-07,7919,229,6441,1249
2020-10-08,7951,229,6446,1276
2020-10-09,7994,229,6474,1291
2020-10-10,8010,230,6492,1288
2020-10-11,8011,230,6504,1277
2020-10-12,8021,230,7627,164
2020-10-13,8036,230,7632,174
2020-10-14,8055,231,7640,184
2020-10-15,8075,231,7669,175
2020-10-16,8099,231,7673,195
2020-10-17,8110,231,7673,206
2020-10-18,8147,231,7678,238
2020-10-19,8159,232,7683,244
2020-10-20,8187,233,7692,262
2020-10-21,8215,236,7725,254
2020-10-22,8242,236,7742,264
2020-10-23,8257,236,7771,250
2020-10-24,8269,236,7785,248
2020-10-25,8276,237,7797,242
